uniocc	veu_m	veu_f
781	35.34	39.89
782	35.34	39.89
783	35.34	39.89
789	35.34	39.89
791	39.8	42.99
792	38.13	39.89
793	38.13	39.89
794	39.63	39.89
795	39.63	39.89
796	34.31	39.89
799	39.63	39.89
801	34.25	35.93
802	40.1	39.32
803	40.1	39.32
811	41.17	39.32
812	41.17	39.32
819	41.17	39.32
820	43.57	39.32
831	35.64	39.32
832	35.64	39.32
833	47.43	39.32
834	35.64	39.32
835	35.64	39.32
839	35.64	39.32
841	43.57	42.5
842	52.96	42.5
843	43.57	42.5
844	43.57	42.5
849	43.5	42.5
851	44.94	49.46
852	46.7	49.46
853	46.7	49.46
854	46.7	49.46
855	46.7	49.46
856	46.7	49.46
857	47.32	49.46
859	41.09	49.46
861	53.75	39.32
862	53.75	39.32
871	32.63	39.32
872	37.65	39.32
873	31.41	39.32
874	37.65	39.32
880	43.57	39.32
891	42.01	40.3
892	42.01	40.3
893	42.01	40.3
895	42.01	40.3
899	42.01	40.3
901	42.06	34.19
902	37.01	34.19
910	42.09	41.53
921	47.91	46.49
922	47.91	46.49
923	47.91	46.49
924	44.37	46.49
925	47.91	46.49
926	47.91	46.49
927	47.91	46.49
929	50.6	46.49
931	22.95	41.53
939	34.56	41.53
941	46.31	41.53
942	46.31	41.53
943	46.31	41.53
949	46.31	41.53
951	25.69	43.72
952	23.23	43.72
953	25.69	43.72
954	33.68	43.72
955	31.58	43.72
956	25.69	43.72
957	25.69	43.72
959	37.58	43.72
961	48.72	41.53
969	48.72	41.53
971	38.56	35.67
972	38.56	35.67
973	36.64	35.67
974	38.13	35.67
979	38.56	35.67
981	47.98	44.92
982	42.09	44.92
983	42.09	44.92
984	42.09	44.92
985	42.09	44.92
986	42.09	44.92
989	42.09	44.92
991	46.58	47.38
992	46.58	47.38
10011	85.97	83.12
10013	85.97	83.12
10014	85.97	83.12
10020	91.48	99
10021	91.48	99
10022	91.48	99
10023	86.99	99
10024	91.48	99
10025	91.48	99
10026	91.48	99
10027	91.48	99
10028	91.48	99
10029	91.83	99
10031	69.44	83.12
10032	69.44	83.12
10033	69.44	83.12
10034	69.44	83.12
10035	69.44	83.12
10036	69.44	83.12
10039	69.44	83.12
10041	85.97	88.42
10042	85.97	88.42
10051	85.97	92.62
10052	85.97	92.62
10054	85.97	92.62
10059	85.97	92.62
10061	85.97	83.12
10063	85.97	83.12
10064	85.97	83.12
10065	85.97	83.12
10067	85.97	83.12
10068	85.97	83.12
10069	85.97	83.12
10071	85.97	83.12
10072	85.97	83.12
10075	85.97	83.12
10076	85.97	83.12
10077	85.97	83.12
10079	85.97	83.12
10081	85.97	83.12
10082	85.97	83.12
10083	85.97	83.12
10085	85.97	83.12
10090	86.2	89.59
10092	86.2	89.59
10093	86.2	89.59
10110	77.19	80.67
10121	81.37	90
10122	81.37	90
10131	74.01	73.35
10132	76.82	71.62
10133	72.92	71.16
10134	72.92	71.16
10135	76.82	71.16
10139	72.34	79.18
10141	76.82	71.16
10149	76.82	71.16
10159	76.82	71.16
10161	76.82	71.16
10162	76.82	71.16
10163	76.82	71.16
10171	76.82	71.16
10173	76.82	71.16
10174	76.82	71.16
10175	76.82	71.16
10179	76.82	71.16
10180	76.82	71.16
10191	88.93	89.23
10192	88.93	89.23
10193	88.93	89.23
10194	88.93	89.23
10195	88.93	89.23
10196	88.93	89.23
10197	88.93	89.23
10199	88.93	89.23
10201	99	96.63
10202	99	96.63
10203	99	96.63
10204	99	96.63
10205	99	96.63
10208	99	96.63
10209	99	96.63
10210	99	96.63
10211	99	96.63
10212	99	96.63
10213	99	96.63
10214	99	96.63
10215	99	96.63
10216	99	96.63
10217	99	96.63
10218	99	96.63
10219	99	96.63
10220	92.65	96.63
10230	84.21	96.63
10240	99	96.63
10250	99	96.63
10260	99	96.63
10290	99	96.63
10300	83.31	89.8
10310	87.22	82.23
10321	83.31	82.23
10331	83.31	79.19
10339	83.31	79.19
10342	83.31	82.23
10351	83.31	81.64
10359	83.31	81.64
10370	83.31	81.64
10391	82.75	75.42
10392	82.75	75.42
10393	82.75	75.42
10394	82.75	75.42
10395	82.75	75.42
10399	82.75	75.42
10401	86.34	87.37
10402	86.34	87.37
10409	86.34	87.37
10410	79.72	87.37
10421	79.72	87.37
10422	79.72	87.37
10431	79.72	87.37
10432	79.72	87.37
10441	79.72	87.37
10442	79.72	87.37
10443	79.72	87.37
10451	71.53	87.37
10452	71.53	87.37
10510	85.97	71.16
10531	85.97	71.16
10532	85.97	71.16
10540	85.97	71.16
10551	85.97	71.16
10552	85.97	71.16
10570	85.97	71.16
10581	85.97	71.16
10582	85.97	71.16
10589	85.97	71.16
10591	85.97	71.16
10593	85.97	71.16
10594	85.97	71.16
10599	85.97	71.16
10601	78.97	71.16
10602	78.97	71.16
10612	78.97	71.16
10613	78.97	71.16
10621	78.97	71.16
10624	78.97	71.16
10627	78.97	71.16
10632	78.97	71.16
10700	85.77	93
10714	85.77	93
10729	85.77	93
10734	85.77	93
10745	85.77	93
10749	85.77	93
10762	85.77	93
10775	85.77	93
10776	85.77	93
10791	85.77	93
10794	85.77	93
10795	85.77	93
10802	85.97	71.16
10842	85.97	71.16
10843	85.97	71.16
10849	85.97	71.16
10851	85.97	71.16
10855	85.97	71.16
10861	85.97	71.16
10892	85.97	71.16
10902	73.35	71.16
10929	73.35	71.16
10939	73.35	71.16
10949	73.35	71.16
10951	73.35	71.16
10954	73.35	71.16
10956	73.35	71.16
10959	73.35	71.16
10983	73.35	71.16
10985	73.35	71.16
10989	73.35	71.16
