secocc	ves_m	ves_f
10194	70.37	67.06
10195	70.37	67.06
10196	70.37	67.06
10197	70.37	67.06
10198	76.24	71.96
10199	70.34	77.47
10201	76.24	71.96
10202	76.24	71.96
10203	76.24	71.96
10204	76.24	71.96
10205	76.24	71.96
10208	76.37	77.68
10209	77.32	77.68
10210	75.39	78.23
10211	76.8	78.23
10212	75.39	78.23
10213	73.23	78.23
10214	75.39	78.23
10215	75.39	78.23
10216	75.5	78.23
10217	78.02	78.23
10218	82.58	78.23
10219	75.39	78.23
10220	76.31	79.2
10230	75.06	76.33
10240	67.98	77.68
10250	77.32	77.68
10260	75.85	70.72
10290	77.32	77.68
10300	69.35	73.43
10309	69.35	73.43
10310	68.53	73.93
10319	68.53	73.93
10321	63.06	61.28
10322	63.06	61.28
10331	65.78	61.09
10339	66.34	70.84
10341	66.57	61.81
10342	66.57	61.81
10351	63.95	61.28
10352	63.95	61.28
10359	63.95	61.28
10360	63.44	61.28
10370	57.05	61.28
10380	63.44	61.28
10391	58.05	64.1
10392	63.44	64.1
10393	63.44	64.1
10394	63.44	61.94
10395	63.44	61.96
10399	62.58	65.81
10401	71.76	80.31
10402	69.86	73.73
10409	69.86	73.73
10410	63.81	65.79
10421	70.7	72.91
10422	70.7	72.91
10431	66.34	79.23
10432	66.34	79.23
10439	66.34	79.23
10441	68.52	77.29
10442	68.52	77.29
10443	68.52	77.29
10451	63.17	61.18
10452	57.15	54.61
10490	63.81	61.18
10510	53.6	57.72
10531	48.21	45.05
10532	48.21	45.05
10540	53.6	44.7
10551	50.74	42.63
10552	56.64	45.2
10560	53.6	57.72
10570	53.6	60.14
10581	53.6	57.72
10582	55.36	57.72
10583	53.6	57.72
10589	53.6	57.72
10591	58.84	57.72
10592	58.84	57.72
10593	58.84	57.72
10594	58.84	57.72
10595	58.84	57.72
10596	58.84	57.72
10597	58.84	57.72
10598	58.84	57.72
10599	58.84	57.72
10601	69.1	58.51
10602	69.1	58.51
10611	69.1	58.51
10612	69.1	58.51
10613	69.1	58.51
10614	69.1	58.51
10621	60.76	58.51
10622	60.76	58.51
10623	60.76	58.51
10624	60.76	58.51
10625	60.76	58.51
10626	60.76	58.51
10627	60.76	58.51
10628	60.76	58.51
10629	60.76	58.51
10631	63.81	58.51
10632	63.81	58.51
10641	63.81	58.51
10700	67.43	68.49
10711	67.43	68.49
10713	67.43	68.49
10714	67.43	68.49
10716	67.43	68.49
10722	67.43	68.49
10724	67.43	68.49
10725	67.43	68.49
10726	67.43	68.49
10727	67.43	68.49
10728	67.43	68.49
10729	67.43	68.49
10732	67.43	68.49
10733	67.43	68.49
10734	67.43	68.49
10741	61.32	68.49
10742	61.32	68.49
10743	61.32	68.49
10745	61.32	68.49
10749	61.32	68.49
10751	67.43	68.49
10752	67.43	68.49
10754	67.43	68.49
10756	67.43	68.49
10759	67.43	68.49
10762	62.7	68.49
10771	50.73	68.49
10772	50.73	68.49
10773	50.73	68.49
10774	50.73	68.49
10775	50.73	68.49
10776	50.73	68.49
10777	50.73	68.49
10778	50.73	68.49
10779	50.73	68.49
10783	67.43	68.49
10789	67.43	68.49
10791	40.62	58.45
10792	40.62	58.45
10793	40.62	58.45
10794	40.62	58.45
10795	40.62	58.45
10796	40.62	58.45
10799	40.62	58.45
10801	56.61	56.34
10802	56.61	56.34
10811	56.61	56.34
10812	56.61	56.34
10819	56.61	56.34
10820	56.61	56.34
10831	53.47	56.34
10832	53.47	56.34
10833	53.47	56.34
10839	53.47	56.34
10841	57.18	56.34
10842	57.18	56.34
10843	57.18	56.34
10844	57.18	56.34
10849	57.02	56.34
10851	58.64	56.34
10852	56.61	56.34
10853	56.61	56.34
10854	56.61	56.34
10855	56.61	56.34
10856	56.61	56.34
10857	56.61	56.34
10859	56.61	56.34
10861	56.61	56.34
10862	56.61	56.34
10871	51.66	56.34
10872	51.66	56.34
10873	51.66	56.34
10874	51.66	56.34
10880	56.61	56.34
10891	56.61	56.34
10892	56.61	56.34
10893	56.61	56.34
10895	56.61	56.34
10899	56.61	56.34
10901	55.15	58.59
10902	55.15	58.59
10910	55.15	58.59
10921	55.52	58.59
10922	55.52	58.59
10924	55.52	58.59
10925	55.52	58.59
10926	55.52	58.59
10927	55.52	58.59
10929	55.52	58.59
10931	55.15	58.59
10939	55.15	58.59
10943	59.27	58.59
10949	59.27	58.59
10951	55.03	58.59
10952	58.26	58.59
10953	58.26	58.59
10954	59.68	58.59
10955	57.32	58.59
10956	58.26	58.59
10957	58.26	58.59
10959	58.26	58.59
10961	55.15	58.59
10969	55.15	58.59
10971	55.15	58.59
10973	55.15	58.59
10974	55.15	58.59
10981	55.15	58.59
10982	55.15	58.59
10983	55.15	58.59
10985	55.15	58.59
10989	55.15	58.59
