SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1212	7	-6	59.04	65.03	2	5	1.1	2	2	2.2	5
1219	-3	2	52.46	60.52	-999	-999	-999	-999	-999	-999	-999
1219	-2	4	52.56	66.3	-999	-999	-999	-999	-999	-999	-999
1219	-1	6	52.27	66.87	-999	-999	-999	-999	-999	-999	-999
1219	0	0	52.26	61.71	4	9.2	-999	-999	2	14	0
1219	1	-1	52.78	66.87	1.1	1	-999	-999	2	1.1	1
1219	2	-2	52.34	66.3	4	8.2	4	8.2	2	13	2
1219	3	3	52.41	56.85	4	9.2	4	9.2	2	14	3
1219	4	-3	52.27	66.87	2	5	2	5	2	2.2	4
1219	5	-4	52.27	66.87	2	5	-999	-999	2	2.2	5
1219	6	-5	52.47	66.3	2	5	2	5	2	2.2	5
1219	7	-6	52.33	66.3	2	5	2	5	2	2.2	5
1221	-3	2	57	52.8	-999	-999	-999	-999	-999	-999	-999
1221	-2	4	59.2	56.2	-999	-999	-999	-999	-999	-999	-999
1221	-1	6	56	50.6	-999	-999	-999	-999	-999	-999	-999
1221	0	0	56.5	51.9	4	9.1	-999	-999	3.2	12	0
1221	1	-1	56	50.6	1.1	1	-999	-999	2	1.1	1
1221	2	-2	62.4	56.2	4	8.1	4	8.1	2	2.1	2
1221	3	3	51.2	50.6	4	9.1	4	9.1	3.2	12	3
1221	4	-3	56	50.6	2	5	2	5	2	2.2	4
1221	5	-4	56	50.6	2	5	-999	-999	2	2.2	5
1221	6	-5	56	50.6	2	5	2	5	2	2.2	5
1221	7	-6	56	50.6	2	5	2	5	2	2.2	5
1222	-3	2	59.63	56.84	-999	-999	-999	-999	-999	-999	-999
1222	-2	4	64.86	58.84	-999	-999	-999	-999	-999	-999	-999
1222	-1	6	60.87	58.77	-999	-999	-999	-999	-999	-999	-999
1222	0	0	60.46	58.7	2	5	-999	-999	2	2.2	0
1222	1	-1	67.77	58.95	1.1	1	-999	-999	2	1.1	1
1222	2	-2	61.95	58.84	4	8.1	4	8.1	2	2.1	2
1222	3	3	56.67	54.52	4	9.1	4	9.1	3.2	12	3
1222	4	-3	60.87	58.77	2	5	2	5	2	2.2	4
1222	5	-4	60.87	58.77	2	5	-999	-999	2	2.2	5
1222	6	-5	60.6	58.95	2	5	2	5	2	2.2	5
1222	7	-6	60.6	58.95	2	5	2	5	2	2.2	5
1223	-3	2	59.1	52.7	-999	-999	-999	-999	-999	-999	-999
1223	-2	4	57.3	56.1	-999	-999	-999	-999	-999	-999	-999
1223	-1	6	48.2	43.5	-999	-999	-999	-999	-999	-999	-999
1223	0	0	54	47.1	4	8.1	-999	-999	2	2.1	0
1223	1	-1	52.2	46	1.1	1	-999	-999	2	1.1	1
1223	2	-2	62.4	56.2	4	8.1	4	8.1	2	2.1	2
1223	3	3	51.2	47.8	4	9.1	4	9.1	3.2	12	3
1223	4	-3	48.2	43.5	2	5	2	5	2	2.2	4
1223	5	-4	48.2	43.5	2	5	-999	-999	2	2.2	5
1223	6	-5	52.2	46	2	5	2	5	2	2.2	5
1223	7	-6	52.2	46	2	5	2	5	2	2.2	5
1224	-3	2	54.5	40.02	-999	-999	-999	-999	-999	-999	-999
1224	-2	4	52.59	40.4	-999	-999	-999	-999	-999	-999	-999
1224	-1	6	45.96	39.05	-999	-999	-999	-999	-999	-999	-999
1224	0	0	50.52	39.43	2	5	-999	-999	2	2.2	0
1224	1	-1	48.01	39.31	1.1	1	-999	-999	2	1.1	1
1224	2	-2	57.08	40.41	4	8.1	4	8.1	2	2.1	2
1224	3	3	46.28	39.5	4	9.1	4	9.1	3.2	12	3
1224	4	-3	45.96	39.05	2	5	2	5	2	2.2	4
1224	5	-4	45.96	39.05	2	5	-999	-999	2	2.2	5
