cno94	stdempst	spempst	mcamsis	fcamsis
401	3	2	63.6	62.6
401	4	1	63.6	65.6
401	5	3	63.6	65.5
401	6	4	63.6	66.3
402	0	0	53.3	57.87
402	1	-1	53.3	64.77
402	2	-2	53.3	62.6
402	3	2	53.3	62.6
402	4	1	53.3	57.3
402	5	3	53.3	65.5
402	6	4	53.3	57.3
410	0	0	55.5	57.29
410	1	-1	55.5	64.58
410	2	-2	55.5	64.4
410	3	2	55.5	62.6
410	4	1	55.5	65.6
410	5	3	55.5	65.5
410	6	4	55.5	57
421	0	0	58.1	62.9
421	1	-1	58.1	62.6
421	2	-2	58.1	62.6
421	3	2	58.1	62.6
421	4	1	58.1	65.6
421	5	3	58.1	66.4
421	6	4	58.1	63.2
422	0	0	60.1	63.2
422	1	-1	58.1	64.86
422	2	-2	58.1	64.1
422	3	2	58.1	62.6
422	4	1	58.1	65.6
422	5	3	58.1	66.4
422	6	4	60.1	63.2
430	0	0	60.1	63.28
430	1	-1	60.1	65.4
430	2	-2	60.1	65.1
430	3	2	60.1	62.6
430	4	1	60.1	65.6
430	5	3	60.1	65.5
430	6	4	60.1	63.2
440	0	0	60.4	60.65
440	1	-1	60.4	65.16
440	2	-2	60.4	63.64
440	3	2	60.4	62.6
440	4	1	60.4	65.6
440	5	3	60.4	67.1
440	6	4	60.4	60.4
451	0	0	54.3	54.76
451	1	-1	54.3	66.6
451	2	-2	54.3	65.6
451	3	2	54.3	53.5
451	4	1	54.3	65.6
451	5	3	54.3	67.1
451	6	4	54.3	53.5
452	0	0	54.3	60.71
452	1	-1	54.3	65.6
452	2	-2	54.3	63.8
452	3	2	54.3	62.6
452	4	1	54.3	65.6
452	5	3	54.3	67.1
452	6	4	54.3	60.4
460	0	0	50.3	52.45
460	1	-1	50.3	65.07
460	2	-2	50.3	63.41
460	3	2	50.3	62.6
460	4	1	50.3	65.6
460	5	3	50.3	67.1
460	6	4	50.3	51.5
501	0	0	42.96	43.62
501	1	-1	47.02	52.6
501	2	-2	47.4	52.6
501	3	2	47.4	52.6
