ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
245	6	91.88	94.73	-999	-999
246	0	86.72	76.56	-999	-999
246	1	87.78	76.56	-999	-999
246	6	85.67	76.56	-999	-999
247	0	70	73.97	-999	-999
247	1	70	73.97	-999	-999
247	6	70	73.97	-999	-999
300	0	58.21	54.37	-999	-999
300	1	58.21	54.37	-999	-999
300	6	58.21	54.37	-999	-999
310	0	60.57	57.43	-999	-999
310	1	70.96	65.31	-999	-999
310	6	59.59	57.33	-999	-999
311	0	59.34	59.69	-999	-999
311	1	66.52	59.69	-999	-999
311	6	58.71	59.69	-999	-999
312	0	75.93	56.06	-999	-999
312	1	87.1	56.06	-999	-999
312	6	73.95	56.06	-999	-999
313	0	76.6	70.93	-999	-999
313	1	87.1	70.93	-999	-999
313	6	73.25	70.93	-999	-999
314	0	68.25	57.43	-999	-999
314	1	68.25	65.31	-999	-999
314	6	68.25	57.33	-999	-999
315	0	50.7	42.46	-999	-999
315	1	66.52	42.46	-999	-999
315	6	49.01	42.46	-999	-999
316	0	58.21	54.37	-999	-999
316	1	58.21	54.37	-999	-999
316	6	58.21	54.37	-999	-999
320	0	55.84	58.6	-999	-999
320	1	55.84	74.51	-999	-999
320	6	55.84	58.29	-999	-999
321	0	57.66	55.01	-999	-999
321	1	74.96	74.51	-999	-999
321	6	55.84	54.35	-999	-999
322	0	55.84	68.18	-999	-999
322	1	55.84	74.51	-999	-999
322	6	55.84	67.79	-999	-999
323	0	55.84	57.48	-999	-999
323	1	55.84	74.51	-999	-999
323	6	55.84	57.38	-999	-999
324	0	74.96	58.6	-999	-999
324	1	74.96	74.51	-999	-999
324	6	74.96	58.29	-999	-999
330	0	57.79	71.13	-999	-999
330	1	57.79	71.13	-999	-999
330	6	57.79	71.13	-999	-999
331	0	57.79	54.7	-999	-999
331	1	57.79	54.7	-999	-999
331	6	57.79	54.7	-999	-999
332	0	57.79	69.77	-999	-999
332	1	57.79	69.77	-999	-999
332	6	57.79	69.77	-999	-999
333	0	57.79	63.73	-999	-999
333	1	57.79	63.73	-999	-999
333	6	57.79	63.73	-999	-999
334	0	57.79	71.13	-999	-999
334	1	57.79	71.13	-999	-999
334	6	57.79	71.13	-999	-999
340	0	65.71	63.82	-999	-999
340	1	65.71	63.82	-999	-999
340	6	65.71	63.82	-999	-999
341	0	67.63	66.36	-999	-999
341	1	69.91	77.37	-999	-999
341	6	65.71	63.82	-999	-999
342	0	63.16	64.44	-999	-999
342	1	63.36	77.37	-999	-999
342	6	62.94	62.83	-999	-999
343	0	66.97	60	-999	-999
343	1	63.36	72.05	-999	-999
343	6	67.17	59.12	-999	-999
344	0	59.61	60.72	-999	-999
344	1	59.61	60.72	-999	-999
344	6	59.61	60.72	-999	-999
345	0	53.54	60.72	-999	-999
345	1	53.54	60.72	-999	-999
345	6	53.54	60.72	-999	-999
346	0	64.14	71.44	-999	-999
346	1	67.69	71.44	-999	-999
346	6	62.87	71.44	-999	-999
347	0	65.03	63	-999	-999
347	1	65.03	63	-999	-999
347	6	65.03	63	-999	-999
