ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
412	1	53.89	77.06	-999	-999
412	6	50.52	55.3	-999	-999
413	0	48.48	50.64	-999	-999
413	1	55.78	77.6	-999	-999
413	6	48.42	50.18	-999	-999
414	0	50.56	56.89	-999	-999
414	1	53.89	77.06	-999	-999
414	6	50.52	55.3	-999	-999
419	0	52.84	54.95	-999	-999
419	1	52.84	77.6	-999	-999
419	6	52.84	52.67	-999	-999
420	0	58.01	53.65	-999	-999
420	1	58.49	57.26	-999	-999
420	6	58.01	53.59	-999	-999
421	0	58.06	53.53	-999	-999
421	1	58.49	57.26	-999	-999
421	6	58.06	53.46	-999	-999
422	0	57.64	54.19	-999	-999
422	1	57.64	54.19	-999	-999
422	6	57.64	54.19	-999	-999
500	0	52.44	46.09	-999	-999
500	1	64.9	65.98	-999	-999
500	6	49.41	44.01	-999	-999
510	0	42.8	49.14	-999	-999
510	1	42.8	66.91	-999	-999
510	6	42.8	44.7	-999	-999
511	0	45.7	50.76	-999	-999
511	1	45.7	66.91	-999	-999
511	6	45.7	44.7	-999	-999
512	0	43.67	40.06	-999	-999
512	1	43.4	40.74	-999	-999
512	6	43.69	40.01	-999	-999
513	0	48.78	42.59	-999	-999
513	1	48.24	53.31	-999	-999
513	6	48.82	41.54	-999	-999
514	0	50.73	47.81	-999	-999
514	1	53.32	66.91	-999	-999
514	6	48.78	44.7	-999	-999
515	0	48.78	42.59	-999	-999
515	1	48.24	53.31	-999	-999
515	6	48.82	41.54	-999	-999
516	0	54.72	66.49	-999	-999
516	1	54.72	66.49	-999	-999
516	6	54.72	66.49	-999	-999
520	0	56.11	48.06	-999	-999
520	1	68.41	72.53	-999	-999
520	6	50.23	45.41	-999	-999
521	0	56.11	48.06	-999	-999
521	1	68.41	72.53	-999	-999
521	6	50.23	45.41	-999	-999
522	0	57.2	47.95	-999	-999
522	1	68.41	72.53	-999	-999
522	6	51.58	45.41	-999	-999
523	0	45.3	59.41	-999	-999
523	1	68.41	72.53	-999	-999
523	6	38.74	45.41	-999	-999
600	0	45.09	37.67	-999	-999
600	1	45.35	37.61	-999	-999
600	6	39.07	43.81	-999	-999
610	0	45.1	37.67	-999	-999
610	1	45.35	37.61	-999	-999
610	6	39.07	43.81	-999	-999
611	0	45.1	37.67	-999	-999
611	1	45.35	37.61	-999	-999
611	6	39.07	43.81	-999	-999
612	0	45.1	37.67	-999	-999
612	1	45.35	37.61	-999	-999
612	6	39.07	43.81	-999	-999
613	0	45.29	37.64	-999	-999
613	1	45.35	37.61	-999	-999
613	6	39.07	43.81	-999	-999
614	0	39.26	43.81	-999	-999
614	1	45.35	43.81	-999	-999
614	6	39.07	43.81	-999	-999
615	0	39.07	37.67	-999	-999
615	1	39.07	37.61	-999	-999
615	6	39.07	43.81	-999	-999
620	0	39.07	37.67	-999	-999
620	1	45.35	37.61	-999	-999
620	6	39.07	43.81	-999	-999
621	0	39.07	37.67	-999	-999
621	1	45.35	37.61	-999	-999
621	6	39.07	43.81	-999	-999
625	0	39.07	37.67	-999	-999
625	1	39.07	37.61	-999	-999
625	6	39.07	43.81	-999	-999
700	0	43.54	39.38	-999	-999
700	1	72.9	58.19	-999	-999
700	6	41.05	38.56	-999	-999
710	0	40.11	43.22	-999	-999
710	1	74.57	58.6	-999	-999
710	6	37.75	41.71	-999	-999
711	0	41.12	43.22	-999	-999
711	1	70.7	58.6	-999	-999
711	6	37.42	41.71	-999	-999
712	0	37.58	41.71	-999	-999
712	1	73.06	41.71	-999	-999
712	6	36.79	41.71	-999	-999
713	0	41.77	43.66	-999	-999
713	1	75.04	58.6	-999	-999
713	6	38.82	41.71	-999	-999
714	0	43.07	43.52	-999	-999
714	1	74.51	58.6	-999	-999
714	6	37.48	41.71	-999	-999
720	0	44.53	35.07	-999	-999
720	1	75.23	58.6	-999	-999
720	6	42.76	34.93	-999	-999
721	0	42.84	37.63	-999	-999
721	1	74.13	37.63	-999	-999
721	6	42.33	37.63	-999	-999
722	0	42.72	39.62	-999	-999
722	1	74.13	58.6	-999	-999
722	6	41.41	38.43	-999	-999
723	0	45.13	39.55	-999	-999
723	1	78.94	58.6	-999	-999
723	6	42.13	38.43	-999	-999
724	0	46.49	34.12	-999	-999
724	1	70.86	34.12	-999	-999
724	6	45.19	34.12	-999	-999
730	0	54.22	44.84	-999	-999
730	1	71.78	58.6	-999	-999
730	6	50.58	44.35	-999	-999
731	0	59.05	45.84	-999	-999
731	1	71.36	58.6	-999	-999
731	6	53.87	45.45	-999	-999
732	0	49.81	37.71	-999	-999
732	1	74.68	58.6	-999	-999
732	6	48.68	36.66	-999	-999
733	0	54.22	44.84	-999	-999
733	1	71.78	58.6	-999	-999
733	6	50.58	44.35	-999	-999
734	0	49.18	46.29	-999	-999
734	1	74.68	58.6	-999	-999
734	6	47.99	45.83	-999	-999
740	0	44.41	40.19	-999	-999
740	1	69.69	58.01	-999	-999
740	6	40.34	38.98	-999	-999
741	0	42.15	40.15	-999	-999
741	1	57.38	40.15	-999	-999
741	6	37.65	40.15	-999	-999
742	0	44.15	39.93	-999	-999
742	1	73.91	58.6	-999	-999
742	6	40.12	36.89	-999	-999
743	0	49.22	42.41	-999	-999
743	1	64.96	57.42	-999	-999
743	6	45.48	41.39	-999	-999
744	0	51.33	35.63	-999	-999
744	1	64.96	35.63	-999	-999
744	6	47.56	35.63	-999	-999
750	0	43.54	39.38	-999	-999
750	1	72.9	58.19	-999	-999
750	6	41.05	38.56	-999	-999
751	0	43.54	39.38	-999	-999
751	1	72.9	58.19	-999	-999
751	6	41.05	38.56	-999	-999
752	0	43.54	39.38	-999	-999
752	1	72.9	58.19	-999	-999
752	6	41.05	38.56	-999	-999
753	0	43.54	39.38	-999	-999
753	1	72.9	58.19	-999	-999
