BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
351	2	1	56.66	46.3
351	5	2	56.5	42.7
351	6	3	43.09	49.79
361	0	0	46.4	50.41
361	1	-1	58.26	52.84
361	2	1	58.31	53.87
361	5	2	51.85	50.67
361	6	3	45.74	50.37
362	0	0	83.38	78.6
362	1	-1	84.53	81.13
362	2	1	84.53	81.06
362	5	2	84.62	82.65
362	6	3	79.54	76.27
371	0	0	75.27	75.29
371	1	-1	79.93	78.56
371	2	1	79.98	78.76
371	5	2	76	76.25
371	6	3	72.9	73.32
372	0	0	72.64	74.99
372	1	-1	87.2	79.44
372	2	1	87.2	79.7
372	5	2	74.02	76.7
372	6	3	69.05	74.8
373	0	0	64.05	65
373	1	-1	72.64	68.65
373	2	1	72.56	70.15
373	5	2	76	62.7
373	6	3	57.51	63.28
381	0	0	74.75	79.14
381	1	-1	71.92	81.66
381	2	1	71.9	82.48
381	5	2	76	71.65
381	6	3	77.09	77.97
382	0	0	72.65	70.63
382	1	-1	74.64	71.9
382	2	1	74.65	71.95
382	5	2	74.6	71.1
382	6	3	69.63	69.09
383	0	0	66.21	68.88
383	1	-1	71.02	72.32
383	2	1	71.1	73.03
383	5	2	64.8	66.9
383	6	3	56.8	63.61
384	0	0	54.79	59.55
384	1	-1	58.62	63.06
384	2	1	58.7	66.52
384	5	2	56.89	50.56
384	6	3	50.27	57.18
391	0	0	46.26	38.18
391	1	-1	54.04	41.45
391	2	1	54.39	46.35
391	5	2	49.3	32.73
391	6	3	39.29	36.88
392	0	0	24.39	29.38
392	1	-1	53.62	26.2
392	2	1	54.7	57.03
392	5	2	35.3	22.49
392	6	3	22.8	29.63
411	0	0	38.61	25.54
411	1	-1	44.07	29.46
411	2	1	44.08	29.48
411	5	2	43.97	29.43
411	6	3	38.18	25.41
412	0	0	32.73	46.58
412	1	-1	55.46	43.57
412	2	1	56.21	46
412	5	2	42.1	32.84
412	6	3	30.12	48.12
413	0	0	48.73	47.85
413	1	-1	49.68	48.39
413	2	1	49.66	49.98
413	5	2	50.36	32.2
413	6	3	42.2	47.02
421	0	0	88.65	64.53
421	1	-1	90.45	68.58
421	2	1	90.49	81.72
421	5	2	81.06	54.02
421	6	3	84.43	63.3
422	0	0	66.69	70.61
422	1	-1	70.33	72.39
422	2	1	70.11	73.49
422	5	2	80.08	64.96
422	6	3	62.85	69.84
423	0	0	72.7	58.88
423	1	-1	75.91	65.3
423	2	1	75.87	81.93
423	5	2	80.01	48.35
423	6	3	62.7	57.57
424	0	0	71.65	64.84
424	1	-1	70.85	67.47
424	2	1	70.8	75.3
424	5	2	77.1	60.15
424	6	3	75.65	61.5
425	0	0	50.49	54.02
425	1	-1	74.3	49.91
425	2	1	73.7	61.95
425	5	2	79.36	46
425	6	3	50.28	54.07
431	0	0	71.37	62.02
431	1	-1	76.58	63.33
431	2	1	76.58	66.04
431	5	2	74.6	38.6
431	6	3	70.14	61.91
432	0	0	75.8	69.48
432	1	-1	88.51	82.7
432	2	1	88.51	82.8
432	5	2	73.78	74.9
432	6	3	69.49	68.69
441	0	0	90.74	81.37
441	1	-1	93.72	82.86
441	2	1	93.72	82.86
441	5	2	79.86	75.56
441	6	3	87.69	81
442	0	0	90.9	82.63
442	1	-1	90.93	81.48
442	2	1	91	81.6
442	5	2	61.1	76.8
442	6	3	90.9	82.9
443	0	0	83.82	79.29
443	1	-1	85.3	78.18
443	2	1	85.3	78.2
443	5	2	72.5	76.8
443	6	3	83.7	79.4
444	0	0	73.9	74.09
444	1	-1	74.01	73.91
444	2	1	74.4	72.5
444	5	2	61.1	76.8
444	6	3	73.9	74.1
445	0	0	73.9	68.73
445	1	-1	83.3	65.29
445	2	1	72.2	64.6
445	5	2	61.1	76.8
445	6	3	73.9	68.9
446	0	0	77.99	74.45
446	1	-1	71.61	73.12
446	2	1	71.81	74.77
446	5	2	61.1	50.84
446	6	3	79.39	74.61
447	0	0	71.49	74.61
447	1	-1	77.85	74.09
447	2	1	77.95	74.81
447	5	2	61.1	61.44
447	6	3	69.45	74.69
451	0	0	83.47	84.69
451	1	-1	84.24	86.53
451	2	1	84.44	85.82
451	5	2	61.1	94.7
451	6	3	82.74	83.61
452	0	0	83.39	84.32
452	1	-1	89.94	85.56
452	2	1	89.94	84.8
452	5	2	89.12	94.7
452	6	3	80.23	83.7
453	0	0	82.07	79.53
453	1	-1	83.98	84.13
453	2	1	83.98	83.2
453	5	2	83.1	94.7
453	6	3	81.23	78.9
461	0	0	37.96	37.78
461	1	-1	66.05	61.66
461	2	1	67.02	66.91
461	5	2	50.49	43.55
461	6	3	35.95	36.7
471	0	0	56.7	53.43
471	1	-1	66.1	61.6
471	2	1	59.95	54.1
471	5	2	53.8	46.6
471	6	3	50.2	52.1
10000	0	0	43.8	26.38
10000	1	-1	45.13	24.61
10000	2	1	44.92	41.21
10000	5	2	48.34	17.56
10000	6	3	36.18	40.87
11000	0	0	43.8	26.38
11000	1	-1	45.13	24.61
11000	2	1	44.92	41.21
11000	5	2	48.34	17.56
11000	6	3	36.18	40.87
11100	0	0	43.92	23.46
11100	1	-1	44.33	23.4
11100	2	1	44.11	40.28
11100	5	2	48.04	16.67
11100	6	3	33.92	25.72
11101	0	0	44.21	23.58
11101	1	-1	44.36	23.39
11101	2	1	44.1	40.1
11101	5	2	48.9	16.7
11101	6	3	37	37.2
11102	0	0	28.6	19.66
11102	1	-1	39.78	23.47
11102	2	1	45.1	47.8
11102	5	2	29	15.9
11102	6	3	23.1	10.9
11103	0	0	51.32	50.85
11103	1	-1	50.61	49
11103	2	1	50.8	49
11103	5	2	48.9	16.6
11103	6	3	51.5	51.5
11200	0	0	53.75	34
11200	1	-1	59.02	35.81
