ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
131	1	-1	77.5	62	-999	-999
131	2	1	77.5	62	-999	-999
131	5	2	77.5	62	-999	-999
131	6	3	68.4	63.8	-999	-999
200	0	0	72.94	74.47	-999	-999
200	1	-1	78.35	77.94	-999	-999
200	2	1	78.41	78.5	-999	-999
200	5	2	71.45	72.65	-999	-999
200	6	3	69.34	73.52	-999	-999
210	0	0	70.11	69.46	-999	-999
210	1	-1	74.19	74.3	-999	-999
210	2	1	74.23	76.11	-999	-999
210	5	2	70.93	64.36	-999	-999
210	6	3	67.91	68.4	-999	-999
211	0	0	83.84	81.14	-999	-999
211	1	-1	86.11	85	-999	-999
211	2	1	86.11	85	-999	-999
211	5	2	86.4	85	-999	-999
211	6	3	82.86	80.67	-999	-999
212	0	0	82.87	74.41	-999	-999
212	1	-1	85.6	85	-999	-999
212	2	1	85.6	85	-999	-999
212	5	2	74.83	67.06	-999	-999
212	6	3	81.6	73	-999	-999
213	0	0	64.34	63.97	-999	-999
213	1	-1	70.66	69.69	-999	-999
213	2	1	70.82	70.45	-999	-999
213	5	2	59.8	65.9	-999	-999
213	6	3	62.87	63.35	-999	-999
214	0	0	71.84	75.61	-999	-999
214	1	-1	73.97	75.04	-999	-999
214	2	1	73.97	77.6	-999	-999
214	5	2	74.79	61.3	-999	-999
214	6	3	70.01	76.03	-999	-999
220	0	0	87.53	82.73	-999	-999
220	1	-1	87.31	83.47	-999	-999
220	2	1	87.34	83.73	-999	-999
220	5	2	78.52	81.97	-999	-999
220	6	3	88.07	82.1	-999	-999
221	0	0	83.71	86.31	-999	-999
221	1	-1	82.62	87.95	-999	-999
221	2	1	82.62	88	-999	-999
221	5	2	82.57	87.77	-999	-999
221	6	3	84.35	86	-999	-999
222	0	0	87.84	82.5	-999	-999
222	1	-1	87.5	83.37	-999	-999
222	2	1	87.54	83.64	-999	-999
222	5	2	78.52	81.81	-999	-999
222	6	3	88.8	81.7	-999	-999
223	0	0	80.73	81.83	-999	-999
223	1	-1	86.7	83.9	-999	-999
223	2	1	77.45	81.5	-999	-999
223	5	2	68.2	79.1	-999	-999
223	6	3	87.3	82.5	-999	-999
230	0	0	72.23	74.47	-999	-999
230	1	-1	78.89	74.47	-999	-999
230	2	1	78.93	74.99	-999	-999
230	5	2	72.3	65.1	-999	-999
230	6	3	70.31	74.47	-999	-999
231	0	0	95.32	82.91	-999	-999
231	1	-1	96.6	82.2	-999	-999
231	2	1	96.6	82.2	-999	-999
231	5	2	95.3	83	-999	-999
231	6	3	92.7	83.3	-999	-999
232	0	0	68.81	73.39	-999	-999
232	1	-1	72.3	73.37	-999	-999
232	2	1	72.3	73.9	-999	-999
232	5	2	72.3	65.1	-999	-999
232	6	3	68	73.4	-999	-999
233	0	0	73.73	71.6	-999	-999
233	1	-1	80.8	75.1	-999	-999
233	2	1	74.5	70.1	-999	-999
233	5	2	68.2	65.1	-999	-999
233	6	3	72.2	74.6	-999	-999
234	0	0	83.52	80.16	-999	-999
234	1	-1	81	77.99	-999	-999
234	2	1	81	78.4	-999	-999
234	5	2	83.5	65.1	-999	-999
234	6	3	83.7	80.4	-999	-999
235	0	0	89.13	82.61	-999	-999
235	1	-1	92.16	81.09	-999	-999
235	2	1	92.16	81.09	-999	-999
235	5	2	90.02	73.85	-999	-999
235	6	3	88.62	82.88	-999	-999
240	0	0	71.47	73.41	-999	-999
240	1	-1	77.02	78.09	-999	-999
240	2	1	77.09	78.83	-999	-999
240	5	2	70.15	70.46	-999	-999
240	6	3	66.65	71.54	-999	-999
241	0	0	61.04	64.24	-999	-999
241	1	-1	67.68	68.4	-999	-999
241	2	1	67.75	70.08	-999	-999
241	5	2	62.37	60.31	-999	-999
241	6	3	56.2	63.1	-999	-999
242	0	0	89.38	84.13	-999	-999
242	1	-1	89.5	85.84	-999	-999
242	2	1	89.5	85.8	-999	-999
242	5	2	89.8	86.4	-999	-999
242	6	3	88.62	80.3	-999	-999
243	0	0	73.35	75.51	-999	-999
243	1	-1	86.4	81.1	-999	-999
243	2	1	86.4	81.6	-999	-999
243	5	2	69.76	75.8	-999	-999
243	6	3	70.14	75.27	-999	-999
244	0	0	81.8	80.16	-999	-999
244	1	-1	86.23	84.16	-999	-999
244	2	1	86.23	84.13	-999	-999
244	5	2	86.2	84.49	-999	-999
244	6	3	79.08	78.47	-999	-999
