ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
324	6	57.82	62.04	-999	-999
330	0	60.01	58.7	-999	-999
330	1	60.01	60.61	-999	-999
330	6	60.01	58.66	-999	-999
331	0	60.01	75.61	-999	-999
331	1	60.01	75.61	-999	-999
331	6	60.01	75.61	-999	-999
332	0	60.01	55.61	-999	-999
332	1	60.01	55.61	-999	-999
332	6	60.01	55.61	-999	-999
333	0	60.01	75.61	-999	-999
333	1	60.01	75.61	-999	-999
333	6	60.01	75.61	-999	-999
334	0	60.01	75.61	-999	-999
334	1	60.01	75.61	-999	-999
334	6	60.01	75.61	-999	-999
340	0	64.35	63.66	-999	-999
340	1	67	67.43	-999	-999
340	6	63.97	63.41	-999	-999
341	0	68.38	64.82	-999	-999
341	1	73.59	61.64	-999	-999
341	6	67.46	65.11	-999	-999
342	0	60.39	59.31	-999	-999
342	1	59.95	64.37	-999	-999
342	6	60.48	58.38	-999	-999
343	0	64.45	62.82	-999	-999
343	1	59.95	76.16	-999	-999
343	6	64.73	62.33	-999	-999
344	0	60.33	66.74	-999	-999
344	1	60.33	66.74	-999	-999
344	6	60.33	66.74	-999	-999
345	0	57.61	66.74	-999	-999
345	1	57.61	66.74	-999	-999
345	6	57.61	66.74	-999	-999
346	0	57.61	62.64	-999	-999
346	1	57.61	62.64	-999	-999
346	6	57.61	62.64	-999	-999
347	0	61.38	81.39	-999	-999
347	1	61.38	81.39	-999	-999
347	6	61.38	81.39	-999	-999
348	0	64.35	63.66	-999	-999
348	1	67	67.43	-999	-999
348	6	63.97	63.41	-999	-999
349	0	64.35	63.66	-999	-999
349	1	67	67.43	-999	-999
349	6	63.97	63.41	-999	-999
400	0	47.39	55	-999	-999
400	1	50.95	67.11	-999	-999
400	6	47.34	54.67	-999	-999
410	0	46.36	55.74	-999	-999
410	1	48.88	67.11	-999	-999
410	6	46.33	55.38	-999	-999
411	0	52.05	55.93	-999	-999
411	1	52.06	67.11	-999	-999
411	6	52.05	55.52	-999	-999
412	0	51.34	58.79	-999	-999
412	1	51.34	67.11	-999	-999
412	6	51.34	58.6	-999	-999
413	0	45.7	47.79	-999	-999
413	1	45.7	67.11	-999	-999
413	6	45.7	47.42	-999	-999
414	0	41.64	55.71	-999	-999
414	1	41.64	67.11	-999	-999
414	6	41.64	55.2	-999	-999
419	0	46.36	61.35	-999	-999
419	1	48.88	61.35	-999	-999
419	6	46.33	61.35	-999	-999
420	0	53.14	52.12	-999	-999
420	1	55.09	67.11	-999	-999
420	6	53.08	51.92	-999	-999
421	0	55.09	52.35	-999	-999
421	1	55.09	67.11	-999	-999
421	6	55.09	52.07	-999	-999
422	0	49.15	51.51	-999	-999
422	1	49.15	51.51	-999	-999
422	6	49.15	51.51	-999	-999
500	0	49.32	45.44	-999	-999
500	1	55.01	53.24	-999	-999
500	6	48.01	44.52	-999	-999
510	0	45.32	44.46	-999	-999
510	1	46.77	50.81	-999	-999
510	6	45.01	43.53	-999	-999
511	0	43.98	45.82	-999	-999
511	1	43.98	45.82	-999	-999
511	6	43.98	45.82	-999	-999
512	0	45.61	43.09	-999	-999
512	1	44.95	41.13	-999	-999
512	6	45.98	43.3	-999	-999
513	0	43.98	43.9	-999	-999
513	1	43.98	58.96	-999	-999
513	6	43.98	42.87	-999	-999
514	0	55.25	55.91	-999	-999
514	1	57.13	66.27	-999	-999
514	6	43.98	46.7	-999	-999
515	0	45.32	44.46	-999	-999
515	1	46.77	50.81	-999	-999
515	6	45.01	43.53	-999	-999
516	0	44.6	66.74	-999	-999
516	1	42.27	66.74	-999	-999
516	6	44.61	66.74	-999	-999
520	0	58.15	46.83	-999	-999
520	1	69.48	58.96	-999	-999
520	6	54.98	45.82	-999	-999
521	0	58.15	50.2	-999	-999
521	1	69.48	58.96	-999	-999
521	6	54.98	45.82	-999	-999
522	0	58.03	46.78	-999	-999
522	1	69.48	58.96	-999	-999
522	6	54.98	45.82	-999	-999
523	0	62.23	50.2	-999	-999
523	1	69.48	58.96	-999	-999
523	6	54.98	45.82	-999	-999
600	0	40.13	36.16	-999	-999
600	1	40.45	36.23	-999	-999
600	6	37.66	35.49	-999	-999
610	0	40.13	36.16	-999	-999
610	1	40.45	36.23	-999	-999
610	6	37.66	35.49	-999	-999
611	0	36.64	36.82	-999	-999
611	1	34.89	37.69	-999	-999
611	6	43.22	35.16	-999	-999
612	0	35.16	35.2	-999	-999
612	1	35.36	35.04	-999	-999
612	6	34.08	36.08	-999	-999
613	0	42.71	36.16	-999	-999
613	1	42.82	36.16	-999	-999
613	6	34.08	36.08	-999	-999
614	0	36.86	36.1	-999	-999
614	1	42.82	36.16	-999	-999
614	6	35.51	36.08	-999	-999
615	0	40.38	36.16	-999	-999
615	1	42.82	36.16	-999	-999
615	6	35.51	36.16	-999	-999
620	0	40.13	36.16	-999	-999
620	1	40.45	36.23	-999	-999
620	6	37.66	35.49	-999	-999
621	0	40.13	36.16	-999	-999
621	1	40.45	36.23	-999	-999
621	6	37.66	35.49	-999	-999
625	0	40.13	36.16	-999	-999
625	1	40.45	36.23	-999	-999
625	6	37.66	35.49	-999	-999
700	0	44.02	40.98	-999	-999
700	1	51.5	47.55	-999	-999
700	6	43.09	40.3	-999	-999
710	0	40.39	40.41	-999	-999
710	1	48.33	48.64	-999	-999
710	6	39.03	39.55	-999	-999
711	0	38.95	42.58	-999	-999
711	1	47.2	48.64	-999	-999
711	6	38.21	39.55	-999	-999
712	0	37.77	39.55	-999	-999
712	1	47.2	39.55	-999	-999
712	6	36.62	39.55	-999	-999
713	0	43.22	39.55	-999	-999
713	1	50.67	39.55	-999	-999
713	6	41.49	39.55	-999	-999
714	0	42.22	40.06	-999	-999
714	1	46.08	48.64	-999	-999
714	6	41.29	39.55	-999	-999
720	0	46.03	39.22	-999	-999
720	1	53.93	48.64	-999	-999
720	6	45.39	38.55	-999	-999
721	0	40.49	35.01	-999	-999
721	1	49.87	48.64	-999	-999
721	6	39.7	34.51	-999	-999
722	0	44.59	38.61	-999	-999
722	1	57.91	38.61	-999	-999
722	6	42.48	38.61	-999	-999
723	0	46.23	34.24	-999	-999
723	1	50.07	48.64	-999	-999
723	6	46.02	33.28	-999	-999
724	0	51.44	44.95	-999	-999
724	1	58.18	48.64	-999	-999
724	6	50.85	44.37	-999	-999
730	0	44.13	43.79	-999	-999
730	1	55.11	48.64	-999	-999
730	6	42.26	43.38	-999	-999
731	0	43.87	41.94	-999	-999
731	1	55.11	48.64	-999	-999
731	6	40.5	40.59	-999	-999
732	0	39.19	40.59	-999	-999
732	1	55.11	40.59	-999	-999
732	6	36.92	40.59	-999	-999
733	0	55.11	44.62	-999	-999
733	1	55.11	48.64	-999	-999
733	6	55.11	40.59	-999	-999
734	0	50.73	46.62	-999	-999
734	1	55.11	48.64	-999	-999
734	6	50.23	46.5	-999	-999
740	0	43.68	40.92	-999	-999
740	1	51.78	46.95	-999	-999
740	6	42.22	40.18	-999	-999
741	0	44.8	36.37	-999	-999
741	1	47.56	36.37	-999	-999
741	6	44.6	36.37	-999	-999
742	0	43.55	41.02	-999	-999
742	1	54.6	48.64	-999	-999
742	6	41.24	39.45	-999	-999
743	0	42.5	43.65	-999	-999
743	1	42.5	48.64	-999	-999
743	6	42.5	43.04	-999	-999
744	0	42.5	33.08	-999	-999
744	1	42.5	48.64	-999	-999
744	6	42.5	32.49	-999	-999
750	0	44.02	40.98	-999	-999
750	1	51.5	47.55	-999	-999
750	6	43.09	40.3	-999	-999
751	0	44.02	40.98	-999	-999
751	1	51.5	47.55	-999	-999
751	6	43.09	40.3	-999	-999
752	0	44.02	40.98	-999	-999
752	1	51.5	47.55	-999	-999
752	6	43.09	40.3	-999	-999
753	0	44.02	40.98	-999	-999
753	1	51.5	47.55	-999	-999
753	6	43.09	40.3	-999	-999
800	0	40.52	40.05	-999	-999
800	1	49.75	52.67	-999	-999
800	6	39.56	39.71	-999	-999
810	0	38.76	42.4	-999	-999
810	1	54.77	52.67	-999	-999
810	6	38.27	42.01	-999	-999
811	0	35.56	39.27	-999	-999
811	1	35.56	39.27	-999	-999
811	6	35.56	39.27	-999	-999
812	0	35.56	39.27	-999	-999
812	1	35.56	39.27	-999	-999
812	6	35.56	39.27	-999	-999
813	0	36.97	39.27	-999	-999
813	1	36.97	39.27	-999	-999
813	6	36.97	39.27	-999	-999
814	0	37.86	45.38	-999	-999
814	1	54.77	52.67	-999	-999
814	6	37.37	45.09	-999	-999
815	0	36.97	41.95	-999	-999
815	1	36.97	52.67	-999	-999
815	6	36.97	39.27	-999	-999
816	0	42.92	39.27	-999	-999
