   45    4    1 43.2 62.4
   45    5    3 43.2 62.3
   45    6    0 49.3 57.9
   49    0    9 56.1 61.3
   49    1   -1 57.5 62.3
   49    2   -2 59.2 62.3
   49    3    2 51.0 62.3
   49    4    1 67.3 62.3
   49    5    3 54.3 62.3
   49    6    0 51.7 58.4
   50    0    9 46.7 59.2
   50    1   -1 50.3 62.5
   50    2   -2 51.6 64.4
   50    3    2 46.0 58.1
   50    4    1 57.2 70.6
   50    5    3 47.6 58.8
   50    6    0 36.1 49.4
   51    0    9 50.4 70.6
   51    1   -1 51.0 70.6
   51    2   -2 52.0 70.6
   51    3    2 46.7 70.6
   51    4    1 57.2 70.6
   51    5    3 49.1 70.6
   51    6    0 48.7 70.6
   52    0    9 45.8 59.9
   52    1   -1 50.2 63.2
   52    2   -2 51.5 64.4
   52    3    2 45.7 58.1
   52    4    1 57.2 70.6
   52    5    3 47.6 61.0
   52    6    0 32.5 50.0
   53    0    9 32.3 50.3
   53    1   -1 32.6 50.3
   53    2   -2 33.4 50.5
   53    3    2 33.0 49.7
   53    4    1 33.9 51.3
   53    5    3 31.0 49.9
   53    6    0 31.2 50.2
   54    0    9 31.0 50.6
   54    1   -1 31.0 52.0
   54    2   -2 31.0 52.0
   54    3    2 31.0 52.0
   54    4    1 31.0 52.0
   54    5    3 31.0 52.0
   54    6    0 31.0 46.2
   55    0    9 25.8 49.8
   55    1   -1 26.1 50.1
   55    2   -2 26.7 50.0
   55    3    2 24.9 50.1
   55    4    1 28.5 49.9
   55    5    3 24.9 50.1
   55    6    0 24.9 49.2
   56    0    9 44.6 47.7
   56    1   -1 49.4 49.1
   56    2   -2 50.4 47.7
   56    3    2 43.5 52.0
   56    4    1 57.2 43.4
   56    5    3 47.6 52.0
   56    6    0 30.1 43.4
   57    0    9 40.2 59.6
   57    1   -1 43.5 60.3
   57    2   -2 43.5 60.3
   57    3    2 43.5 60.3
   57    4    1 43.5 60.3
   57    5    3 43.5 60.3
   57    6    0 30.1 57.5
   58    0    9 43.2 67.8
   58    1   -1 43.1 67.8
   58    2   -2 43.1 67.8
   58    3    2 43.1 67.8
   58    4    1 43.1 67.8
   58    5    3 43.1 67.8
   58    6    0 43.4 67.8
   59    0    9 45.1 59.7
   59    1   -1 49.5 63.2
   59    2   -2 50.5 64.4
   59    3    2 43.7 58.1
   59    4    1 57.2 70.6
   59    5    3 47.6 61.0
   59    6    0 32.0 49.2
   60    0    9 44.5 35.6
   60    1   -1 49.1 35.9
   60    2   -2 49.1 35.9
   60    3    2 49.1 35.9
   60    4    1 49.1 35.9
   60    5    3 49.1 35.9
