soc2010	es	gb_csm	gb_csf
2222	0	72.66	73.29
2222	1	72.66	73.29
2222	2	72.66	73.29
2222	3	72.66	73.29
2222	4	72.66	73.29
2222	5	72.66	73.29
2223	0	72.66	72.82
2223	1	72.66	72.82
2223	2	72.66	72.82
2223	3	72.66	72.82
2223	4	72.66	72.82
2223	5	72.66	72.82
2229	0	72.66	73.29
2229	1	72.66	73.29
2229	2	72.66	73.29
2229	3	72.66	73.29
2229	4	72.66	73.29
2229	5	72.66	73.29
2231	0	49.67	52.62
2231	1	49.67	52.74
2231	2	49.67	52.62
2231	3	58.61	52.74
2231	4	44.36	48.55
2231	5	44.36	52.62
2232	0	58.61	56.23
2232	1	58.61	56.23
2232	2	58.61	56.23
2232	3	58.61	56.23
2232	4	58.61	56.23
2232	5	58.61	56.23
2311	0	80.02	82.32
2311	1	80.02	82.32
2311	2	80.02	82.32
2311	3	80.02	82.32
2311	4	80.02	82.32
2311	5	80.02	82.32
2312	0	70.58	74.85
2312	1	70.58	74.85
2312	2	70.58	74.85
2312	3	70.58	74.85
2312	4	70.58	74.85
2312	5	70.58	74.85
2314	0	73.6	69.93
2314	1	73.6	69.93
2314	2	73.6	69.93
2314	3	73.6	69.93
2314	4	73.6	69.93
2314	5	73.6	69.93
2315	0	74.73	63.47
2315	1	74.73	63.47
2315	2	74.73	63.47
2315	3	74.73	63.47
2315	4	74.73	63.47
2315	5	74.73	63.47
2316	0	61.32	61.08
2316	1	61.32	61.08
2316	2	61.32	61.08
2316	3	61.32	61.08
2316	4	61.32	61.08
2316	5	61.32	61.08
2317	0	74.57	66.12
2317	1	74.57	66.12
2317	2	74.57	66.12
2317	3	74.57	66.12
2317	4	74.57	66.12
2317	5	74.57	66.12
2318	0	78.92	73.53
2318	1	78.92	73.53
2318	2	78.92	73.53
2318	3	78.92	73.53
2318	4	78.92	73.53
2318	5	78.92	73.53
2319	0	70.73	67.34
2319	1	65.76	73.82
2319	2	65.76	73.82
2319	3	70.73	64.9
2319	4	70.73	64.9
2319	5	70.73	64.9
2412	0	77.99	74.91
2412	1	76.82	83.3
2412	2	79.44	74.47
2412	3	74.99	74.47
2412	4	74.99	74.47
2412	5	74.99	74.47
2413	0	74.99	76.06
2413	1	76.82	83.3
2413	2	79.44	74.47
2413	3	74.99	74.47
2413	4	74.99	74.47
2413	5	74.99	74.47
2419	0	75.96	74.47
2419	1	76.82	74.47
2419	2	79.44	74.47
2419	3	74.99	74.47
2419	4	74.99	74.47
2419	5	74.99	74.47
2421	0	67.74	66.11
2421	1	75.83	83.3
2421	2	73.82	66.11
2421	3	64.99	66.95
2421	4	66.8	66.11
2421	5	66.8	66.11
2423	0	70.38	68.71
