isco08	es	gb_csm	gb_csf
2619	0	75.36	75.81
2619	1	76.82	80.58
2619	2	79.44	74.47
2619	3	74.99	74.47
2619	4	74.99	74.47
2619	5	74.99	74.47
2621	0	62.08	76.87
2621	1	62.08	76.87
2621	2	62.08	76.87
2621	3	62.08	76.87
2621	4	62.08	76.87
2621	5	62.08	76.87
2622	0	62.08	76.87
2622	1	62.08	76.87
2622	2	62.08	76.87
2622	3	62.08	76.87
2622	4	62.08	76.87
2622	5	62.08	76.87
2631	0	71.82	70.32
2631	1	72.66	71.01
2631	2	70.31	70.49
2631	3	73.99	71.1
2631	4	71.63	70.52
2631	5	70.35	70.48
2632	0	82.5	80.43
2632	1	82.5	80.43
2632	2	77.36	80.43
2632	3	92.04	80.43
2632	4	82.5	80.43
2632	5	77.36	80.43
2633	0	71.82	70.32
2633	1	72.66	71.01
2633	2	70.31	70.49
2633	3	73.99	71.1
2633	4	71.63	70.52
2633	5	70.35	70.48
2634	0	68.67	74.15
2634	1	72.02	73.43
2634	2	69.27	74.02
2634	3	68.71	74.15
2634	4	68.82	74.12
2634	5	68.77	74.13
2635	0	64.64	58.52
2635	1	64.64	62.03
2635	2	63.13	59.33
2635	3	63.71	61.66
2635	4	63.7	59.35
2635	5	63.78	59.21
2636	0	71.49	68.16
2636	1	71.49	68.16
2636	2	71.49	68.16
2636	3	71.49	68.16
2636	4	71.49	68.16
2636	5	71.49	68.16
2641	0	76.19	80.29
2641	1	76.19	80.29
2641	2	76.19	80.29
2641	3	76.19	80.29
2641	4	76.19	80.29
2641	5	76.19	80.29
2642	0	78.46	76.62
2642	1	78.46	76.62
2642	2	78.46	76.62
2642	3	78.46	76.62
2642	4	78.46	76.62
2642	5	78.46	76.62
2643	0	77.32	78.46
2643	1	77.32	78.46
2643	2	77.32	78.46
2643	3	77.32	78.46
2643	4	77.32	78.46
2643	5	77.32	78.46
2651	0	77.44	79.56
2651	1	77.44	79.56
2651	2	77.44	79.56
2651	3	77.44	79.56
2651	4	77.44	79.56
2651	5	77.44	79.56
2652	0	70.73	88.51
2652	1	70.73	88.51
2652	2	70.73	88.51
2652	3	70.73	88.51
2652	4	70.73	88.51
2652	5	70.73	88.51
2653	0	70.5	77.4
2653	1	70.5	77.4
2653	2	70.5	77.4
2653	3	73.31	77.4
2653	4	73.31	77.4
2653	5	73.31	77.4
2654	0	75.65	79.11
2654	1	75.65	79.11
2654	2	75.65	79.11
2654	3	86.91	79.11
2654	4	86.91	79.11
2654	5	86.91	79.11
2655	0	58.16	62.41
2655	1	58.16	62.41
2655	2	58.16	62.41
2655	3	58.16	62.41
2655	4	58.16	62.41
2655	5	58.16	62.41
2656	0	70.5	77.4
2656	1	70.5	77.4
2656	2	70.5	77.4
2656	3	73.31	77.4
2656	4	73.31	77.4
2656	5	73.31	77.4
2659	0	70.5	77.4
2659	1	70.5	77.4
2659	2	70.5	77.4
2659	3	73.31	77.4
2659	4	73.31	77.4
2659	5	73.31	77.4
3111	0	51.91	59.66
3111	1	51.91	59.66
3111	2	51.91	59.66
3111	3	51.91	59.66
3111	4	51.91	59.66
3111	5	51.91	59.66
3112	0	54.17	52.26
3112	1	56.84	50.84
3112	2	54.12	52.29
3112	3	54.09	52.31
3112	4	54.06	52.33
3112	5	54.26	52.22
3113	0	47.87	50.51
3113	1	47.87	50.51
3113	2	47.87	50.51
3113	3	47.87	50.51
3113	4	47.87	50.51
3113	5	47.87	50.51
3114	0	47.87	50.51
3114	1	47.87	50.51
3114	2	47.87	50.51
3114	3	47.87	50.51
3114	4	47.87	50.51
3114	5	47.87	50.51
3115	0	47.84	50.51
3115	1	47.84	50.51
3115	2	47.84	50.51
