OCCBST	OCC	EMPST	HKTCS	WKTCS	HKSCS	WKSCS	HKRCS	WKRCS
5464	546	4	38.9	31.8	33.4	29.5	45.6	29.8
5465	546	5	38.9	31.8	37.3	35.8	48.9	50.5
5466	546	6	38.9	31.8	33.4	29.5	39.3	35.1
5469	546	9	38.9	41	33.4	29.5	35.3	29.8
5471	547	1	39.5	31.8	50.5	55.6	51.4	55.3
5472	547	2	39.5	31.8	53.7	60.6	73.4	66.3
5473	547	3	39.5	31.8	33.4	29.5	35.3	29.8
5474	547	4	39.5	31.8	33.4	29.5	48.9	29.8
5475	547	5	39.5	31.8	40.3	29.5	48.9	55.9
5476	547	6	39.5	31.8	33.4	29.5	40.7	35.1
5479	547	9	39.5	41	33.4	29.5	35.3	29.8
5481	548	1	26.9	31.8	50.5	55.6	51.4	55.3
5482	548	2	26.9	31.8	60.2	60.6	72.5	66.3
5483	548	3	26.9	31.8	33.4	29.5	35.3	29.8
5484	548	4	26.9	31.8	33.4	29.5	45.6	29.8
5485	548	5	26.9	31.8	27.9	35.8	34.4	50.5
5486	548	6	26.9	31.8	33.4	29.5	28	35.1
5489	548	9	26.9	41	33.4	29.5	35.3	29.8
5491	549	1	34.8	41	50.5	55.6	51.4	55.3
5492	549	2	34.8	41	53.7	60.6	73.4	66.3
5493	549	3	34.8	41	33.4	29.5	35.3	29.8
5494	549	4	34.8	41	33.4	29.5	45.6	29.8
5495	549	5	34.8	41	34.8	29.5	38.4	55.9
5496	549	6	34.8	41	33.4	29.5	37.4	35.1
5499	549	9	34.8	41	33.4	29.5	35.3	29.8
5501	550	1	33	31.8	50.5	55.6	51.4	55.3
5502	550	2	33	31.8	60.2	60.6	72.5	66.3
5503	550	3	33	31.8	33.4	29.5	35.3	29.8
5504	550	4	33	31.8	33.4	29.5	45.6	29.8
5505	550	5	33	31.8	33.4	29.5	41.6	50.5
5506	550	6	33	31.8	33.4	29.5	34.8	29.8
5509	550	9	33	31.8	33.4	29.5	35.3	29.8
5511	551	1	33	31.8	50.5	55.6	51.4	55.3
5512	551	2	33	31.8	60.2	60.6	72.5	66.3
5513	551	3	33	31.8	33.4	29.5	35.3	29.8
5514	551	4	33	31.8	33.4	29.5	45.6	29.8
5515	551	5	33	31.8	33.4	29.5	41.6	50.5
5516	551	6	33	31.8	33.4	29.5	34.8	29.8
5519	551	9	33	31.8	33.4	29.5	35.3	29.8
5521	552	1	33	31.8	50.5	55.6	51.4	55.3
5522	552	2	33	31.8	60.2	60.6	72.5	66.3
5523	552	3	33	31.8	33.4	29.5	35.3	29.8
5524	552	4	33	31.8	33.4	29.5	45.6	29.8
5525	552	5	33	31.8	33.4	29.5	41.6	50.5
5526	552	6	33	31.8	33.4	29.5	34.8	29.8
5529	552	9	33	31.8	33.4	29.5	35.3	29.8
5531	553	1	33	31.8	50.5	55.6	51.4	55.3
5532	553	2	33	31.8	60.2	60.6	72.5	66.3
5533	553	3	33	31.8	33.4	29.5	35.3	29.8
5534	553	4	33	31.8	33.4	29.5	45.6	29.8
5535	553	5	33	31.8	33.4	29.5	41.6	50.5
5536	553	6	33	31.8	33.4	29.5	34.8	29.8
5539	553	9	33	31.8	33.4	29.5	35.3	29.8
5541	554	1	33	31.8	50.5	55.6	51.4	55.3
5542	554	2	33	31.8	60.2	60.6	72.5	66.3
5543	554	3	33	31.8	33.4	29.5	35.3	29.8
5544	554	4	33	31.8	33.4	29.5	45.6	29.8
5545	554	5	33	31.8	33.4	29.5	41.6	50.5
5546	554	6	33	31.8	33.4	29.5	34.8	29.8
5549	554	9	33	31.8	33.4	29.5	35.3	29.8
5551	555	1	33	31.8	50.5	55.6	51.4	55.3
5552	555	2	33	31.8	60.2	60.6	72.5	66.3
5553	555	3	33	31.8	33.4	29.5	35.3	29.8
5554	555	4	33	31.8	33.4	29.5	45.6	29.8
5555	555	5	33	31.8	33.4	29.5	41.6	50.5
5556	555	6	33	31.8	33.4	29.5	34.8	29.8
5559	555	9	33	31.8	33.4	29.5	35.3	29.8
5561	556	1	33	31.8	50.5	55.6	51.4	55.3
5562	556	2	33	31.8	60.2	60.6	72.5	66.3
5563	556	3	33	31.8	33.4	29.5	35.3	29.8
5564	556	4	33	31.8	33.4	29.5	45.6	29.8
5565	556	5	33	31.8	33.4	29.5	41.6	50.5
5566	556	6	33	31.8	33.4	29.5	34.8	29.8
5569	556	9	33	31.8	33.4	29.5	35.3	29.8
5571	557	1	33	31.8	50.5	55.6	51.4	55.3
5572	557	2	33	31.8	60.2	60.6	72.5	66.3
5573	557	3	33	31.8	33.4	29.5	35.3	29.8
5574	557	4	33	31.8	33.4	29.5	45.6	29.8
5575	557	5	33	31.8	33.4	29.5	41.6	50.5
5576	557	6	33	31.8	33.4	29.5	34.8	29.8
5579	557	9	33	31.8	33.4	29.5	35.3	29.8
5581	558	1	33	31.8	50.5	55.6	51.4	55.3
5582	558	2	33	31.8	60.2	60.6	72.5	66.3
5583	558	3	33	31.8	33.4	29.5	35.3	29.8
5584	558	4	33	31.8	33.4	29.5	45.6	29.8
5585	558	5	33	31.8	33.4	29.5	41.6	50.5
5586	558	6	33	31.8	33.4	29.5	34.8	29.8
5589	558	9	33	31.8	33.4	29.5	35.3	29.8
5591	559	1	33	31.8	50.5	55.6	51.4	55.3
5592	559	2	33	31.8	60.2	60.6	72.5	66.3
5593	559	3	33	31.8	33.4	29.5	35.3	29.8
5594	559	4	33	31.8	33.4	29.5	45.6	29.8
5595	559	5	33	31.8	33.4	29.5	41.6	50.5
5596	559	6	33	31.8	33.4	29.5	34.8	29.8
5599	559	9	33	31.8	33.4	29.5	35.3	29.8
5601	560	1	33	31.8	50.5	55.6	51.4	55.3
5602	560	2	33	31.8	60.2	60.6	72.5	66.3
5603	560	3	33	31.8	33.4	29.5	35.3	29.8
5604	560	4	33	31.8	33.4	29.5	45.6	29.8
5605	560	5	33	31.8	33.4	29.5	41.6	50.5
5606	560	6	33	31.8	33.4	29.5	34.8	29.8
5609	560	9	33	31.8	33.4	29.5	35.3	29.8
5611	561	1	33	31.8	50.5	55.6	51.4	55.3
5612	561	2	33	31.8	60.2	60.6	72.5	66.3
5613	561	3	33	31.8	33.4	29.5	35.3	29.8
5614	561	4	33	31.8	33.4	29.5	45.6	29.8
5615	561	5	33	31.8	33.4	29.5	41.6	50.5
5616	561	6	33	31.8	33.4	29.5	34.8	29.8
5619	561	9	33	31.8	33.4	29.5	35.3	29.8
5621	562	1	33	31.8	50.5	55.6	51.4	55.3
5622	562	2	33	31.8	60.2	60.6	72.5	66.3
5623	562	3	33	31.8	33.4	29.5	35.3	29.8
5624	562	4	33	31.8	33.4	29.5	45.6	29.8
5625	562	5	33	31.8	33.4	29.5	41.6	50.5
5626	562	6	33	31.8	33.4	29.5	34.8	29.8
5629	562	9	33	31.8	33.4	29.5	35.3	29.8
5631	563	1	33	31.8	50.5	55.6	51.4	55.3
5632	563	2	33	31.8	60.2	60.6	72.5	66.3
5633	563	3	33	31.8	33.4	29.5	35.3	29.8
5634	563	4	33	31.8	33.4	29.5	45.6	29.8
5635	563	5	33	31.8	33.4	29.5	41.6	50.5
5636	563	6	33	31.8	33.4	29.5	34.8	29.8
5639	563	9	33	31.8	33.4	29.5	35.3	29.8
5641	564	1	33	31.8	50.5	55.6	51.4	55.3
5642	564	2	33	31.8	60.2	60.6	72.5	66.3
5643	564	3	33	31.8	33.4	29.5	35.3	29.8
5644	564	4	33	31.8	33.4	29.5	45.6	29.8
5645	564	5	33	31.8	33.4	29.5	41.6	50.5
5646	564	6	33	31.8	33.4	29.5	34.8	29.8
5649	564	9	33	31.8	33.4	29.5	35.3	29.8
5651	565	1	33	31.8	50.5	55.6	51.4	55.3
5652	565	2	33	31.8	60.2	60.6	72.5	66.3
5653	565	3	33	31.8	33.4	29.5	35.3	29.8
5654	565	4	33	31.8	33.4	29.5	45.6	29.8
5655	565	5	33	31.8	33.4	29.5	41.6	50.5
5656	565	6	33	31.8	33.4	29.5	34.8	29.8
5659	565	9	33	31.8	33.4	29.5	35.3	29.8
5661	566	1	33	31.8	50.5	55.6	51.4	55.3
5662	566	2	33	31.8	60.2	60.6	72.5	66.3
5663	566	3	33	31.8	33.4	29.5	35.3	29.8
5664	566	4	33	31.8	33.4	29.5	45.6	29.8
5665	566	5	33	31.8	33.4	29.5	41.6	50.5
5666	566	6	33	31.8	33.4	29.5	34.8	29.8
5669	566	9	33	31.8	33.4	29.5	35.3	29.8
5671	567	1	33	31.8	50.5	55.6	51.4	55.3
5672	567	2	33	31.8	60.2	60.6	72.5	66.3
5673	567	3	33	31.8	33.4	29.5	35.3	29.8
5674	567	4	33	31.8	33.4	29.5	45.6	29.8
5675	567	5	33	31.8	33.4	29.5	41.6	50.5
5676	567	6	33	31.8	33.4	29.5	34.8	29.8
5679	567	9	33	31.8	33.4	29.5	35.3	29.8
5681	568	1	33	31.8	50.5	55.6	51.4	55.3
5682	568	2	33	31.8	60.2	60.6	72.5	66.3
5683	568	3	33	31.8	33.4	29.5	35.3	29.8
5684	568	4	33	31.8	33.4	29.5	45.6	29.8
5685	568	5	33	31.8	33.4	29.5	41.6	50.5
5686	568	6	33	31.8	33.4	29.5	34.8	29.8
5689	568	9	33	31.8	33.4	29.5	35.3	29.8
5691	569	1	33	31.8	50.5	55.6	51.4	55.3
5692	569	2	33	31.8	60.2	60.6	72.5	66.3
5693	569	3	33	31.8	33.4	29.5	35.3	29.8
5694	569	4	33	31.8	33.4	29.5	45.6	29.8
5695	569	5	33	31.8	33.4	29.5	41.6	50.5
5696	569	6	33	31.8	33.4	29.5	34.8	29.8
5699	569	9	33	31.8	33.4	29.5	35.3	29.8
5701	570	1	33	31.8	50.5	55.6	51.4	55.3
5702	570	2	33	31.8	60.2	60.6	72.5	66.3
5703	570	3	33	31.8	33.4	29.5	35.3	29.8
5704	570	4	33	31.8	33.4	29.5	45.6	29.8
5705	570	5	33	31.8	33.4	29.5	41.6	50.5
5706	570	6	33	31.8	33.4	29.5	34.8	29.8
5709	570	9	33	31.8	33.4	29.5	35.3	29.8
5711	571	1	33	31.8	50.5	55.6	51.4	55.3
5712	571	2	33	31.8	60.2	60.6	72.5	66.3
5713	571	3	33	31.8	33.4	29.5	35.3	29.8
5714	571	4	33	31.8	33.4	29.5	45.6	29.8
5715	571	5	33	31.8	33.4	29.5	41.6	50.5
5716	571	6	33	31.8	33.4	29.5	34.8	29.8
5719	571	9	33	31.8	33.4	29.5	35.3	29.8
5721	572	1	33	31.8	50.5	55.6	51.4	55.3
5722	572	2	33	31.8	60.2	60.6	72.5	66.3
5723	572	3	33	31.8	33.4	29.5	35.3	29.8
5724	572	4	33	31.8	33.4	29.5	45.6	29.8
5725	572	5	33	31.8	33.4	29.5	41.6	50.5
5726	572	6	33	31.8	33.4	29.5	34.8	29.8
5729	572	9	33	31.8	33.4	29.5	35.3	29.8
5731	573	1	33	31.8	50.5	55.6	51.4	55.3
5732	573	2	33	31.8	60.2	60.6	72.5	66.3
5733	573	3	33	31.8	33.4	29.5	35.3	29.8
5734	573	4	33	31.8	33.4	29.5	45.6	29.8
5735	573	5	33	31.8	33.4	29.5	41.6	50.5
5736	573	6	33	31.8	33.4	29.5	34.8	29.8
5739	573	9	33	31.8	33.4	29.5	35.3	29.8
5741	574	1	33	31.8	50.5	55.6	51.4	55.3
5742	574	2	33	31.8	60.2	60.6	72.5	66.3
5743	574	3	33	31.8	33.4	29.5	35.3	29.8
5744	574	4	33	31.8	33.4	29.5	45.6	29.8
5745	574	5	33	31.8	33.4	29.5	41.6	50.5
5746	574	6	33	31.8	33.4	29.5	34.8	29.8
5749	574	9	33	31.8	33.4	29.5	35.3	29.8
5751	575	1	33	31.8	50.5	55.6	51.4	55.3
5752	575	2	33	31.8	60.2	60.6	72.5	66.3
5753	575	3	33	31.8	33.4	29.5	35.3	29.8
5754	575	4	33	31.8	33.4	29.5	45.6	29.8
5755	575	5	33	31.8	33.4	29.5	41.6	50.5
5756	575	6	33	31.8	33.4	29.5	34.8	29.8
5759	575	9	33	31.8	33.4	29.5	35.3	29.8
5761	576	1	33	31.8	50.5	55.6	51.4	55.3
5762	576	2	33	31.8	60.2	60.6	72.5	66.3
5763	576	3	33	31.8	33.4	29.5	35.3	29.8
5764	576	4	33	31.8	33.4	29.5	45.6	29.8
5765	576	5	33	31.8	33.4	29.5	41.6	50.5
5766	576	6	33	31.8	33.4	29.5	34.8	29.8
5769	576	9	33	31.8	33.4	29.5	35.3	29.8
5771	577	1	33	31.8	50.5	55.6	51.4	55.3
5772	577	2	33	31.8	60.2	60.6	72.5	66.3
5773	577	3	33	31.8	33.4	29.5	35.3	29.8
5774	577	4	33	31.8	33.4	29.5	45.6	29.8
5775	577	5	33	31.8	33.4	29.5	41.6	50.5
5776	577	6	33	31.8	33.4	29.5	34.8	29.8
5779	577	9	33	31.8	33.4	29.5	35.3	29.8
5781	578	1	33	31.8	50.5	55.6	51.4	55.3
5782	578	2	33	31.8	60.2	60.6	72.5	66.3
5783	578	3	33	31.8	33.4	29.5	35.3	29.8
5784	578	4	33	31.8	33.4	29.5	45.6	29.8
5785	578	5	33	31.8	33.4	29.5	41.6	50.5
5786	578	6	33	31.8	33.4	29.5	34.8	29.8
5789	578	9	33	31.8	33.4	29.5	35.3	29.8
5791	579	1	33	31.8	50.5	55.6	51.4	55.3
5792	579	2	33	31.8	60.2	60.6	72.5	66.3
5793	579	3	33	31.8	33.4	29.5	35.3	29.8
5794	579	4	33	31.8	33.4	29.5	45.6	29.8
5795	579	5	33	31.8	33.4	29.5	41.6	50.5
5796	579	6	33	31.8	33.4	29.5	34.8	29.8
5799	579	9	33	31.8	33.4	29.5	35.3	29.8
5801	580	1	33	31.8	50.5	55.6	51.4	55.3
5802	580	2	33	31.8	60.2	60.6	72.5	66.3
5803	580	3	33	31.8	33.4	29.5	35.3	29.8
5804	580	4	33	31.8	33.4	29.5	45.6	29.8
5805	580	5	33	31.8	33.4	29.5	41.6	50.5
5806	580	6	33	31.8	33.4	29.5	34.8	29.8
5809	580	9	33	31.8	33.4	29.5	35.3	29.8
5811	581	1	33	31.8	50.5	55.6	51.4	55.3
5812	581	2	33	31.8	60.2	60.6	72.5	66.3
5813	581	3	33	31.8	33.4	29.5	35.3	29.8
5814	581	4	33	31.8	33.4	29.5	45.6	29.8
5815	581	5	33	31.8	33.4	29.5	41.6	50.5
5816	581	6	33	31.8	33.4	29.5	34.8	29.8
5819	581	9	33	31.8	33.4	29.5	35.3	29.8
5821	582	1	33	31.8	50.5	55.6	51.4	55.3
5822	582	2	33	31.8	60.2	60.6	72.5	66.3
5823	582	3	33	31.8	33.4	29.5	35.3	29.8
5824	582	4	33	31.8	33.4	29.5	45.6	29.8
5825	582	5	33	31.8	33.4	29.5	41.6	50.5
5826	582	6	33	31.8	33.4	29.5	34.8	29.8
5829	582	9	33	31.8	33.4	29.5	35.3	29.8
5831	583	1	33	31.8	50.5	55.6	51.4	55.3
5832	583	2	33	31.8	60.2	60.6	72.5	66.3
5833	583	3	33	31.8	33.4	29.5	35.3	29.8
5834	583	4	33	31.8	33.4	29.5	45.6	29.8
5835	583	5	33	31.8	33.4	29.5	41.6	50.5
5836	583	6	33	31.8	33.4	29.5	34.8	29.8
5839	583	9	33	31.8	33.4	29.5	35.3	29.8
5841	584	1	33	31.8	50.5	55.6	51.4	55.3
5842	584	2	33	31.8	60.2	60.6	72.5	66.3
5843	584	3	33	31.8	33.4	29.5	35.3	29.8
5844	584	4	33	31.8	33.4	29.5	45.6	29.8
5845	584	5	33	31.8	33.4	29.5	41.6	50.5
5846	584	6	33	31.8	33.4	29.5	34.8	29.8
5849	584	9	33	31.8	33.4	29.5	35.3	29.8
5851	585	1	33	31.8	50.5	55.6	51.4	55.3
5852	585	2	33	31.8	60.2	60.6	72.5	66.3
5853	585	3	33	31.8	33.4	29.5	35.3	29.8
5854	585	4	33	31.8	33.4	29.5	45.6	29.8
5855	585	5	33	31.8	33.4	29.5	41.6	50.5
5856	585	6	33	31.8	33.4	29.5	34.8	29.8
5859	585	9	33	31.8	33.4	29.5	35.3	29.8
5861	586	1	33	31.8	50.5	55.6	51.4	55.3
5862	586	2	33	31.8	60.2	60.6	72.5	66.3
5863	586	3	33	31.8	33.4	29.5	35.3	29.8
5864	586	4	33	31.8	33.4	29.5	45.6	29.8
5865	586	5	33	31.8	33.4	29.5	41.6	50.5
5866	586	6	33	31.8	33.4	29.5	34.8	29.8
5869	586	9	33	31.8	33.4	29.5	35.3	29.8
5871	587	1	33	31.8	50.5	55.6	51.4	55.3
5872	587	2	33	31.8	60.2	60.6	72.5	66.3
5873	587	3	33	31.8	33.4	29.5	35.3	29.8
