mx_occ	mxo_m	mxo_f
5373	45.66	34.17
5379	48.16	34.17
5380	35.48	35.22
5381	40.8	41.87
5382	58.04	35.22
5383	35.48	41.7
5384	35.48	35.22
5385	35.48	35.22
5386	35.48	35.22
5389	35.48	35.22
5390	34.85	31.42
5400	34.1	36.63
5401	34.1	30.12
5402	28.52	36.63
5403	30.44	32.04
5410	41.66	35.43
5411	41.66	35.43
5420	26.94	27.83
5421	26.94	27.83
5422	28.67	27.83
5423	26.94	36.28
5430	32.16	36.68
5431	32.16	36.68
5432	24.07	36.68
5433	30.35	36.68
5440	39.76	37.03
5441	39.76	37.03
5442	30.32	37.03
5443	39.76	37.03
5450	21.61	29.86
5451	21.61	29.86
5452	16.18	29.86
5453	21.61	29.86
5460	15.91	36.63
5461	20.25	36.63
5470	47.02	43.22
5471	47.02	43.22
5472	47.02	43.22
5480	43.82	37.91
5481	43.82	39.1
5482	37.31	39.1
5483	30.6	39.1
5490	38.38	39.1
5491	38.38	39.1
5492	27.63	39.1
5493	27.96	32.6
5500	26.95	45.24
5501	32.47	45.24
5502	40.13	45.24
5509	40.13	45.24
5510	56.48	45.24
5511	53.48	45.24
5520	48.34	45.24
5521	40.81	45.24
5522	47.28	45.24
5523	42.21	45.24
5529	45.62	45.24
5530	71.12	45.24
5540	40.66	45.24
5541	40.66	45.24
5542	40.66	45.24
5543	40.66	45.24
5549	40.66	45.24
5550	47.28	45.24
5551	47.28	45.24
5590	47.28	45.24
6100	64.12	64.9
6101	65.92	66.7
6102	65.1	67.7
6103	63.15	65.33
6104	62.52	64.9
6109	64.12	64.9
6110	54.02	60.03
6111	53.1	56.78
6112	54.02	60.03
6120	63.25	59.93
6121	65.03	66.83
6122	59.92	53.45
6123	52.62	53.55
6124	51.5	55.08
6129	58.74	53.55
6130	49.51	52.41
6131	61.52	59.47
6139	57.73	59.47
6140	59.71	64.19
6141	57.17	55.31
6142	49.9	50.19
6149	49.9	38.49
6150	56.71	57.09
6151	63.26	70.59
6152	61.15	62.87
6160	48.22	56.46
6161	57.51	60.12
6169	57.51	57.22
6170	52.84	59.91
6171	45.84	48.95
6179	45.84	48.95
6180	51.23	49.6
6181	51.23	49.6
6182	45.98	49.6
6183	51.23	49.6
6189	51.23	49.6
6190	60.93	57.57
7100	53.47	42.12
7110	55.31	52.41
7111	49.1	45.84
7120	47.04	48.76
7121	40.18	39.79
7122	38.06	34.34
7130	60.54	51.39
7131	61.7	57.98
7132	60.54	51.39
7133	64.52	71.93
7134	64.37	51.39
7135	60.54	51.39
7139	60.54	51.39
7190	46.14	39.26
7200	33.96	40.86
7201	41.13	39.15
7202	41.13	39.15
7209	41.58	35.17
7210	34.53	27.24
7211	13.21	27.24
7212	12.58	27.24
7213	34.53	27.24
7219	34.53	27.24
7290	41.13	27.24
8100	39.52	38.27
8101	40.75	38.05
8102	37.73	34.22
8103	40.75	38.27
8104	40.75	67.24
8109	40.75	38.27
8110	47.28	36.15
8111	36.8	40.86
8112	47.28	33.95
8119	47.28	36.64
8120	31.76	34.21
8121	41.28	36.72
8122	39.56	36.72
8123	41.28	36.72
8124	13.68	38.72
8125	24.11	36.72
8130	45.91	51.73
8131	45.91	52.92
8132	45.91	45.24
8140	55.63	53.99
8150	41.28	36.72
8151	41.28	36.72
8152	41.28	36.72
8160	47.33	53.38
8161	52.14	50.16
8162	49.05	50.16
8169	47.33	50.16
8170	41.28	36.72
8190	24.74	36.72
8200	24.13	30.19
8201	24.13	19.99
8202	24.13	31.23
8209	24.13	19.99
8300	43.88	44.65
8301	43.66	48.41
8302	35.38	43.01
8303	35.38	43.01
8304	60.62	43.01
8310	41.22	43.01
8311	52.67	43.01
8312	41.22	43.01
8319	41.22	43.01
8390	35.38	43.01
9900	53.47	60.03
