SOC2000	HJTCS	WJTCS
5241	46.5	43.8
5242	49.1	51.9
5243	41.2	43
5244	46.7	55.1
5245	55.7	55.7
5249	49.1	35.6
5311	30.5	23.4
5312	34.5	46.3
5313	36.2	46.2
5314	43.6	39.3
5315	42.2	43.1
5316	39.7	42
5319	41	41.8
5321	36.8	46.3
5322	44.6	46.1
5323	38.5	46.3
5411	21.4	30.5
5412	43.3	42.8
5413	38.8	30.3
5414	43.2	39.9
5419	42.6	31.6
5421	46.2	50.5
5422	40.6	36.3
5423	37.7	32.8
5424	41.8	31.9
5431	34.5	36
5432	38.9	41.5
5433	23.6	26.1
5434	45.1	41.7
5491	26.7	32.5
5492	45.6	42.8
5493	39.4	41
5494	64.9	58
5495	52.7	37.5
5496	54.3	53.3
5499	33.8	33.5
6111	42.9	46.5
6112	45.5	41.3
6113	44	53.3
6114	59.8	52.6
6115	40.7	38.9
6121	45.8	57.7
6122	45	50.6
6123	45	56.8
6124	45	57.7
6131	50.3	57.8
6139	34.7	41.7
6211	44.3	44.3
6212	60.3	59.8
6213	50.7	56.6
6214	50.9	55.6
6215	35	23
6219	46.7	44.7
6221	45	46.6
6222	46.5	58.6
6231	34.2	41.3
6232	39.9	28.7
6291	45.2	48.5
6292	43.1	44.6
7111	51.9	42.6
7112	36.3	38.6
7113	53.3	46.5
7121	43.6	52
7122	44.9	39.6
7123	38.7	49.7
7124	48.4	45.6
7125	50.8	54
7129	55.7	57.6
7211	51.8	52.2
7212	53.2	53.7
8111	30.1	25
8112	23.7	26.5
8113	22.2	24.2
8114	33.7	32
8115	27.9	20.5
8116	29.6	24.3
8117	30.3	25.3
8118	21.4	24.2
8119	31.8	26.8
8121	33.3	26.7
8122	21.8	31.4
8123	34.6	28.2
8124	37.4	29.2
8125	31.6	21.8
8126	40.9	32.1
8129	34.1	28.6
8131	36.6	30.3
8132	38	28.4
8133	38.7	30.5
8134	31.1	28.7
8135	34.5	41.1
8136	30.5	19.7
8137	34.4	28
8138	51.3	50.4
8139	27.8	29.6
8141	34.6	46.2
8142	26.9	31.1
8143	20.1	28.9
8149	39.5	31.5
8211	33.9	42.6
8212	34.4	42.3
8213	35.1	42.7
8214	41.5	50.7
8215	54.8	63.5
8216	35	25.5
8217	40.3	31.2
8218	32	34.4
8219	34.3	36
8221	23.7	31.3
8222	26.3	31.2
8223	34.7	38.9
8229	28.6	32.2
9111	31	35.5
9112	43.5	41.7
9119	34.3	42
9121	29	31.6
9129	27.8	29.8
9131	24.7	30.2
9132	32.4	34
9133	43	37.6
9134	29.8	24.9
9139	27.9	30.4
9141	30.7	35.4
9149	36.6	35.6
9211	39.4	40.5
9219	51.9	50.4
9221	38.1	38.4
9222	42.1	39.9
9223	44.6	36.2
9224	39.1	39.5
9225	33.1	36
9226	42.7	44.2
9229	41.8	45.9
9231	36.4	27.2
9232	27.5	27.1
9233	34.9	27.3
9234	40.4	28
9235	24.8	34.8
9239	28	35.4
9241	38.3	48
9242	38	38.1
9243	41.1	33.1
9244	43.8	45.4
9245	37.1	27
9249	38.5	37
9251	28.8	38.5
9259	27.5	38.6
