isco88	empst3	mcamsis	fcamsis
220	3	93.70383	90.53304
221	0	87.99855	83.40244
221	1	87.59532	83.31149
221	2	87.59532	83.31149
221	3	88.00812	83.40332
222	0	96.96217	91.87845
222	1	93.90778	91.46387
222	2	93.90778	91.46387
222	3	97.34778	91.9305
223	0	93.6662	90.61103
223	1	93.22993	91.34296
223	2	93.22993	91.34296
223	3	93.70383	90.53304
230	0	85.40662	80.20494
230	1	84.30982	82.21886
230	2	84.30982	82.21886
230	3	85.40858	80.20293
231	0	99	90.57764
231	1	99	82.21886
231	2	99	82.21886
231	3	99	90.57764
232	0	81.04588	79.06422
232	1	81.04533	82.21886
232	2	81.04533	82.21886
232	3	81.04588	79.06056
233	0	85.22104	74.32846
233	1	84.30982	82.21886
233	2	84.30982	82.21886
233	3	85.22104	74.32846
234	0	85.22104	84.57108
234	1	84.30982	82.21886
234	2	84.30982	82.21886
234	3	85.22104	84.57108
235	0	91.09923	92.18939
235	1	84.30982	82.21886
235	2	84.30982	82.21886
235	3	91.09923	92.18939
240	0	85.02067	84.07549
240	1	90.40698	85.67767
240	2	90.40698	85.67767
240	3	84.77861	84.01083
241	0	89.44576	85.28163
241	1	89.47253	81.19429
241	2	89.47253	81.19429
241	3	89.44501	85.43154
242	0	86.62012	84.96054
242	1	93.10973	87.95357
242	2	93.10973	87.95357
242	3	85.55267	84.50638
243	0	95.4915	86.52824
243	1	90.40698	85.67767
243	2	90.40698	85.67767
243	3	95.4915	86.52824
244	0	87.0901	84.07391
244	1	90.68637	83.33572
244	2	90.68637	83.33572
244	3	87.02692	84.08244
245	0	87.40144	79.93646
245	1	83.34295	79.51391
245	2	83.34295	79.51391
245	3	87.82948	79.96167
246	0	77.27541	77.40937
246	1	90.40698	85.67767
246	2	90.40698	85.67767
246	3	77.27541	77.40937
247	0	81.19633	82.51405
247	1	90.40698	85.67767
247	2	90.40698	85.67767
247	3	81.19633	82.51405
248	0	91.48103	95.1665
248	3	91.48103	95.1665
251	0	91.48103	91.32777
251	2	90.57358	88.47282
251	3	91.48103	91.32777
254	0	90.57358	83.01902
254	2	90.57358	88.47282
254	3	90.57358	83.01902
300	0	62.09507	60.73248
300	1	64.30427	66.3362
300	2	64.30427	66.3362
300	3	62.04538	60.67773
310	0	59.43497	57.1721
310	1	61.78041	60.13113
310	2	61.78041	60.13113
310	3	59.41537	57.16468
311	0	58.22121	59.46756
