mx_occ	mxo_m	mxo_f
5266	45.3	42.75
5267	44.97	42.75
5269	38.93	42.75
5270	53.05	59.94
5271	59.16	53.86
5272	57.09	53.86
5279	53.05	53.86
5280	44.16	44.15
5281	48.88	60.34
5290	47.39	43.81
5300	39.85	46.18
5301	44.88	38.95
5302	42.3	35.3
5303	40.32	38.86
5304	45.03	46.33
5305	45.03	35.3
5306	52.06	50.04
5307	43.09	35.3
5309	40.2	44.38
5310	43.72	43.06
5311	55.03	43.06
5312	55.03	43.06
5319	55.03	43.06
5320	43.44	46.35
5321	41.76	44.33
5322	42.75	43.06
5323	41.75	43.87
5324	43.86	39.43
5329	42.55	45.25
5330	42.21	41.93
5331	42.64	48.34
5332	44.67	46.21
5333	51.55	51.32
5334	45.99	46.48
5335	42.21	51.32
5339	42.21	51.32
5340	44.21	47.57
5341	50.76	47.11
5342	45.05	43.51
5343	47.16	47.24
5344	49.77	48.03
5345	50.97	47.11
5349	47.15	49.51
5350	42.31	49.51
5351	39.85	46.05
5352	36.97	46.05
5353	48.07	46.05
5359	36.97	46.05
5360	40.61	43.06
5370	54.82	43.06
5371	46.22	43.06
5379	54.82	43.06
5380	47.95	47.79
5381	55.19	46.06
5382	50.04	51.85
5383	47.48	46.06
5389	47.48	46.06
5390	48.29	48
5400	42.97	42.53
5401	40.86	39.2
5410	44.1	42.53
5411	32.08	42.53
5420	40.08	39.65
5421	40.74	43.1
5430	41.12	48.68
5431	42.07	48.46
5440	43.93	50.94
5441	48.93	45.04
5450	33.36	26.62
5451	36.44	45.37
5460	28.42	28.9
5461	31.57	28.9
5470	55.27	59.43
5480	47.26	47.96
5481	48.95	46.7
5490	43.4	47.2
5491	41.09	46.54
5500	37.82	59.45
5501	46.39	59.45
5502	49.11	59.45
5509	49.11	59.45
5510	62.1	59.45
5511	50.77	59.45
5520	54.12	59.45
5521	49.08	59.45
5522	42.81	59.45
5529	53.43	59.45
5530	73.61	59.98
5540	57.82	72.18
5541	42.5	72.18
5542	42.5	72.18
5543	42.5	72.18
5549	42.5	72.18
5550	34.04	59.45
5551	31.21	59.45
5590	53.21	59.45
6100	72.45	74.95
6101	75.76	77.03
6102	74.33	73.29
6109	75.76	77.03
6110	72.86	74.55
6111	68.46	74.02
6120	75.11	77.16
6121	66.39	72.18
6130	66.61	62.35
6131	80.13	86.56
6132	73.59	68.63
6133	73.26	78.53
6139	66.61	62.35
6140	66.29	74.53
6150	72.25	75.74
6160	65.28	67.65
6170	67.11	76.41
6180	60.81	59.94
6190	72.33	74.76
6200	59.59	65.74
6201	58.45	67.19
6202	66.11	66.39
6203	62.82	59.63
6209	66.11	65.74
6210	57.56	59.23
6211	50.64	60.5
6219	57.56	59.23
6220	62.58	61.63
6221	54.92	57.02
6229	54.92	61.63
6230	65.28	64.21
6231	68.49	76.2
6232	55.75	52.53
6239	55.75	52.53
6240	59.35	60.95
6241	58.13	65.21
6249	58.89	60.95
6250	58.79	64.31
6251	55.43	56.59
6259	55.43	56.59
6260	51.16	56.57
6270	67.76	71.71
6290	66	67.17
7100	56	47.66
7110	56.91	57.71
7111	53.69	50.05
7120	49.83	56.54
7121	47.22	46.57
7130	66.08	54.14
7131	67.46	74.2
7132	74.33	54.14
7133	70.45	79.34
7134	72.13	54.14
7135	66.08	54.14
7139	53.73	41.98
7190	52.56	45.14
7200	42.47	49.48
7201	48.05	49.79
7209	50.33	48.11
7210	41.89	36.78
7211	33.36	36.78
7212	32.89	36.78
7213	38.79	36.78
7219	41.89	36.78
7290	45.77	45.89
8100	53.94	44.22
8101	50.65	49.14
8102	53.94	77.44
8109	53.94	44.22
8110	54.35	51.27
8111	49.15	52.82
8120	45.7	41.56
8121	47.92	45.3
8122	51.36	44.59
8123	50.98	45.56
8124	47.92	45.3
8125	36.23	37.01
8126	37.59	50.38
8129	47.92	45.3
8130	51.91	58.15
8131	51.91	66.22
8132	51.91	55.9
8139	51.91	58.15
8140	61.9	60.81
8150	53.18	61.87
8151	63.24	55.87
8152	56.37	55.87
8159	53.18	55.87
8160	41.58	45.3
8190	45.99	50.03
8200	45.5	30.39
8201	26.69	44.88
8202	49.2	30.39
8203	26.69	30.39
8204	30.49	40.18
8209	26.69	31.02
8300	58.71	59.36
8301	52.18	58.91
8302	65.53	59.36
8303	46.79	59.36
8304	67.24	68.84
8309	46.79	59.36
8310	52.32	59.36
8311	53.73	59.36
8312	52.32	59.36
8319	56.43	59.36
8390	46.79	59.36
