OCC	LEMPST	HCS	WCS
221	8	71.9	83.5
221	9	71.9	83.5
222	0	75.64	90.7
222	1	70.87	90.5
222	2	82.4	90.8
222	3	68.4	90.2
222	4	77.6	90.2
222	5	68.4	90.2
222	6	82.4	90.8
222	7	82.4	90.8
222	8	81.8	87.4
222	9	81.8	87.4
223	0	84.69	90.67
223	1	85.14	90.6
223	2	82.4	90.8
223	3	85.7	90.2
223	4	84.3	90.8
223	5	85.7	90.2
223	6	82.4	90.8
223	7	82.4	90.8
223	8	84.3	90.8
223	9	84.3	90.8
224	0	74.54	88.88
224	1	69.67	89.5
224	2	81.8	88.1
224	3	68.4	90.2
224	4	77.6	90.2
224	5	68.4	90.2
224	6	82.4	88.1
224	7	82.4	88.1
224	8	81.8	87.4
224	9	81.8	87.4
230	0	81.98	94.99
230	1	64.42	75.36
230	2	63.8	81.4
230	3	66.9	63.3
230	4	82.4	95.5
230	5	66.9	63.3
230	6	82.4	95.5
230	7	82.4	95.5
230	8	82.4	95.5
230	9	82.4	95.5
231	0	63.83	78.49
231	1	64.31	79.98
231	2	63.8	81.4
231	3	66.9	63.3
231	4	63.8	78.6
231	5	66.9	63.3
231	6	63.81	78.35
231	7	63.8	78.4
231	8	63.8	78.6
231	9	66.9	63.3
232	0	79.9	87
232	1	79.9	87
232	2	79.9	87
232	3	79.9	87
232	4	79.9	87
232	5	79.9	87
232	6	79.9	87
232	7	79.9	87
232	8	79.9	87
232	9	79.9	87
233	0	70.89	80.54
233	1	68.9	68.45
233	2	70.9	73.6
233	3	66.9	63.3
233	4	70.9	80.6
233	5	66.9	63.3
233	6	70.9	80.58
233	7	70.9	80.6
233	8	70.9	80.6
233	9	70.9	63.3
234	0	65.5	73.8
234	1	65.5	65.26
234	2	65.5	73.6
234	3	65.5	63.3
234	4	65.5	73.9
234	5	65.5	63.3
234	6	65.5	73.89
234	7	65.5	73.9
234	8	65.5	73.9
234	9	66.9	63.3
235	0	65.81	75.2
235	1	65.8	75.2
235	2	65.8	75.2
235	3	65.8	75.2
235	4	65.8	75.2
235	5	65.8	75.2
235	6	65.81	75.2
235	7	65.8	75.2
235	8	65.8	75.2
235	9	66.9	75.2
239	0	66.9	74.27
239	1	66.9	72.87
239	2	66.9	73.6
239	3	66.9	63.3
239	4	66.9	72.7
239	5	66.9	63.3
239	6	66.9	75.76
239	7	66.9	75.8
239	8	66.9	72.7
239	9	66.9	72.7
240	0	87.49	90.8
240	1	88.55	90.8
240	2	95.2	90.8
240	3	81.9	90.8
240	4	81.9	90.8
240	5	81.9	90.8
240	6	85.5	90.8
240	7	85.5	90.8
240	8	84.2	90.8
240	9	84.2	90.8
241	0	84.18	90.8
241	1	83.44	90.8
241	2	95.2	90.8
241	3	81.9	90.8
241	4	81.9	90.8
241	5	81.9	90.8
241	6	85.5	90.8
241	7	85.5	90.8
241	8	84.2	90.8
241	9	84.2	90.8
242	0	83.7	90.8
242	1	82.69	90.8
242	2	95.2	90.8
242	3	81.9	90.8
242	4	84.2	90.8
242	5	81.9	90.8
242	6	85.5	90.8
242	7	85.5	90.8
242	8	84.2	90.8
242	9	84.2	90.8
250	0	73.79	75.81
250	1	77.14	87.93
250	2	74.1	99
250	3	78.4	74.1
250	4	73.7	74.1
250	5	78.4	74.1
250	6	71.7	74.1
250	7	71.7	74.1
250	8	73.7	74.1
250	9	73.7	74.1
251	0	68.2	76.08
251	1	72.06	99
251	2	68	99
251	3	80.2	77.4
251	4	68	77.4
251	5	80.2	77.4
251	6	68	73.9
251	7	68	73.9
251	8	68	77.4
251	9	68	77.4
252	0	75.54	73.9
252	1	77.4	73.9
252	2	75.3	73.9
252	3	80.2	73.9
252	4	75.3	73.9
252	5	80.2	73.9
252	6	75.3	73.9
252	7	75.3	73.9
252	8	75.3	73.9
252	9	75.3	73.9
253	0	81.32	83.25
253	1	83.52	93.46
253	2	84.7	99
253	3	80.2	74.1
253	4	81.2	87.9
253	5	80.2	74.1
253	6	80.3	78
253	7	80.3	78
253	8	81.2	87.9
253	9	81.2	87.9
260	0	80.16	77.9
260	1	80.9	77.9
260	2	79.1	77.9
260	3	82.4	77.9
260	4	80.2	77.9
260	5	82.4	77.9
260	6	79.6	77.9
260	7	79.6	77.9
260	8	80.2	77.9
260	9	80.2	77.9
261	0	86.22	77.9
261	1	85.52	77.9
261	2	86.3	77.9
261	3	82.4	77.9
261	4	86.3	77.9
261	5	82.4	77.9
261	6	86.3	77.9
261	7	86.3	77.9
261	8	86.3	77.9
261	9	86.3	77.9
262	0	69.23	77.9
262	1	83.5	77.9
262	2	85.6	77.9
262	3	82.1	77.9
262	4	69	77.9
262	5	82.1	77.9
262	6	65.9	77.9
262	7	65.9	77.9
262	8	69	77.9
262	9	69	77.9
270	0	86.2	78.6
270	1	86.2	78.6
270	2	86.2	78.6
270	3	86.2	78.6
270	4	86.2	78.6
270	5	86.2	78.6
270	6	86.2	78.6
270	7	86.2	78.6
270	8	86.2	78.6
270	9	86.2	78.6
271	0	76.5	86.1
271	1	76.5	86.1
271	2	76.5	86.1
271	3	76.5	86.1
271	4	76.5	86.1
271	5	76.5	86.1
271	6	76.5	86.1
271	7	76.5	86.1
271	8	76.5	86.1
271	9	76.5	86.1
290	0	90.42	86.4
290	1	78.3	86.4
290	2	78.3	86.4
290	3	78.3	86.4
290	4	95.7	86.4
290	5	78.3	86.4
290	6	95.7	86.4
290	7	95.7	86.4
290	8	95.7	86.4
290	9	95.7	86.4
291	0	79.48	58.8
291	1	80.5	58.8
291	2	80.6	58.8
291	3	79.5	58.8
291	4	79.5	58.8
291	5	79.5	58.8
291	6	79.4	58.8
291	7	79.4	58.8
291	8	79.5	58.8
291	9	79.5	58.8
292	0	82.27	86.4
292	1	80.6	86.4
292	2	80.6	86.4
292	3	80.6	58.8
292	4	82.2	58.8
292	5	80.6	58.8
292	6	82.5	86.4
292	7	82.5	86.4
292	8	82.2	58.8
292	9	82.2	58.8
293	0	73.6	56
293	1	73.6	56
293	2	73.6	56
293	3	73.6	56
293	4	73.6	56
293	5	73.6	56
293	6	73.6	56
293	7	73.6	56
293	8	73.6	56
293	9	73.6	56
300	0	61.36	61.62
300	1	69	79.3
300	2	69	79.3
300	3	69	61.3
300	4	61.9	61.3
300	5	69	61.3
300	6	61.27	61.3
300	7	61.2	61.3
300	8	61.2	61.3
300	9	69	61.3
301	0	51.91	61.3
301	1	69	60.8
301	2	69	60.8
301	3	69	60.8
301	4	51.2	60.8
301	5	69	60.8
301	6	51.22	61.3
301	7	51.2	61.3
301	8	52.3	60.8
301	9	51.2	60.8
302	0	49.71	55.4
302	1	69	60.8
302	2	69	60.8
302	3	49	60.8
302	4	49	60.8
302	5	49	60.8
302	6	49	55.4
302	7	49	55.4
302	8	49	60.8
302	9	49	60.8
303	0	67.44	83.8
303	1	69	83.8
303	2	69	83.8
303	3	67.3	83.8
303	4	67.3	83.8
303	5	67.3	83.8
303	6	67.3	83.8
303	7	67.3	83.8
303	8	67.3	83.8
303	9	67.3	83.8
304	0	58.2	83.8
304	1	58.2	60.8
304	2	58.2	60.8
304	3	58.2	60.8
304	4	58.2	60.8
304	5	58.2	60.8
304	6	58.2	83.8
304	7	58.2	83.8
304	8	58.2	60.8
304	9	58.2	60.8
309	0	51.76	55.4
309	1	69	55.4
309	2	69	55.4
309	3	51.6	55.4
309	4	51.6	55.4
309	5	51.6	55.4
309	6	51.67	55.4
309	7	51.6	55.4
309	8	52.3	55.4
309	9	69	55.4
310	0	59.47	69.04
310	1	69.01	79.3
310	2	69.8	79.3
310	3	61.6	68.4
310	4	61.6	68.4
310	5	59.4	68.4
310	6	58.34	68.4
310	7	57.9	68.4
310	8	61.6	68.4
310	9	61.6	68.4
311	0	63.02	83.8
311	1	74.12	68.4
311	2	71.4	68.4
311	3	78.2	68.4
311	4	62.1	68.4
311	5	78.2	68.4
311	6	62.3	83.8
311	7	62.1	83.8
311	8	62.1	68.4
311	9	78.2	68.4
312	0	70.37	83.1
312	1	73.91	79.3
312	2	71.4	79.3
312	3	78.2	68.4
312	4	70.5	68.4
312	5	78.2	68.4
312	6	69.4	83.8
312	7	69.4	83.8
312	8	70.5	68.4
312	9	70.5	68.4
313	0	63.72	68.4
313	1	72.55	68.4
313	2	70.6	68.4
313	3	78.2	68.4
313	4	78.2	68.4
313	5	78.2	68.4
313	6	62.29	68.4
313	7	62.3	68.4
313	8	61.6	68.4
313	9	63.6	68.4
320	0	69	71.13
320	1	78.69	79.3
320	2	84.4	79.3
320	3	57.5	71
320	4	69.1	71
320	5	57.5	71
320	6	68.48	71
320	7	68.8	71
320	8	69.1	71
320	9	57.5	71
330	0	71.8	67
330	1	62.6	73.31
330	2	62.6	76.4
330	3	62.6	61.9
330	4	62.6	61.9
330	5	62.6	61.9
330	6	71.8	67
330	7	71.8	67
330	8	62.6	63.6
330	9	59	65
331	0	74.58	67
331	1	82.65	73.31
331	2	83.8	76.4
331	3	74.6	61.9
331	4	74.6	61.9
331	5	74.6	61.9
331	6	73.54	67
331	7	71.8	67
331	8	74.6	63.6
331	9	83.8	65
332	0	55.8	61.9
332	1	55.8	73.31
332	2	55.8	76.4
332	3	55.8	61.9
332	4	55.8	61.9
332	5	55.8	61.9
332	6	55.8	61.9
332	7	55.8	61.9
332	8	55.8	63.6
332	9	55.8	65
340	0	52.63	59.43
340	1	53.89	72.1
340	2	57.7	64.9
340	3	52.2	79.3
340	4	52.2	59.3
340	5	52.2	79.3
340	6	52.59	59.32
340	7	49.8	58.4
340	8	57.7	63
340	9	57.7	64.9
341	0	58.3	64.56
341	1	64.92	79.3
341	2	68.9	64.5
341	3	58.7	79.3
341	4	58.7	64.5
341	5	58.7	79.3
341	6	57.5	64.5
341	7	57.3	64.5
341	8	57.7	64.5
341	9	58.7	64.9
342	0	66.3	73.79
342	1	64.92	75.3
342	2	68.9	75.3
342	3	58.7	75.3
342	4	58.7	75.3
342	5	58.7	75.3
342	6	66.3	73.79
342	7	66.3	73.5
342	8	66.3	75.3
342	9	58.7	75.3
343	0	67.38	78.03
343	1	68.9	77
343	2	68.9	77
343	3	68.9	78.4
343	4	58.7	78.4
343	5	68.9	78.4
343	6	66.3	78.13
343	7	66.3	78.4
343	8	66.3	75.3
343	9	58.7	78.4
344	0	67.71	70.35
344	1	68.9	77.3
344	2	68.9	77
344	3	58.7	79.3
344	4	58.7	72.6
344	5	58.7	79.3
344	6	66.53	65.2
344	7	66.3	65.2
344	8	57.7	72.6
344	9	68.9	72.6
345	0	67.16	75.01
345	1	68.9	78.53
345	2	66.3	77
345	3	68.9	79.3
345	4	66.3	73.5
345	5	68.9	79.3
345	6	66.3	73.5
345	7	66.3	73.5
345	8	66.3	73.5
345	9	66.3	73.5
346	0	45.79	61.58
346	1	63.8	76.17
346	2	68.9	77
346	3	58.7	58.8
346	4	58.7	58.8
346	5	58.7	58.8
346	6	41.1	58.8
346	7	41.1	58.8
346	8	57.7	58.8
346	9	58.7	58.8
347	0	67.63	77.46
347	1	68.9	89.75
347	2	68.9	90.7
347	3	68.9	79.3
347	4	58.7	77.2
347	5	68.9	79.3
347	6	66.3	76
347	7	66.3	76
347	8	57.7	77.2
347	9	58.7	77.2
348	0	67.9	54
348	1	67.9	76.86
348	2	67.9	80.8
348	3	67.9	61.6
348	4	67.9	61.6
348	5	67.9	61.6
348	6	67.9	54
348	7	67.9	54
348	8	67.9	63.6
348	9	67.9	64.9
349	0	45.73	54
349	1	68.9	54
349	2	68.9	54
349	3	58	54
349	4	58	54
349	5	58	54
349	6	41.1	54
349	7	41.1	54
349	8	58	54
349	9	58	54
350	0	65.82	71.8
350	1	77.53	71.9
350	2	81	71.9
350	3	73.2	71.9
350	4	64.6	71.9
350	5	73.2	71.9
350	6	64.55	71.8
350	7	60.1	70.7
350	8	64.6	71.9
350	9	68.7	72.7
360	0	56.93	60.2
360	1	78.21	60.2
360	2	81	60.2
360	3	73.2	60.2
360	4	59.9	60.2
360	5	73.2	60.2
360	6	55.46	60.2
360	7	54.2	60.2
360	8	59.9	60.2
360	9	67.7	60.2
361	0	68.09	61.97
361	1	69.38	69.79
361	2	69.3	70.2
361	3	69.57	68.48
361	4	69.5	70.2
361	5	73.2	61.6
361	6	67.7	61.12
361	7	67.7	60
361	8	68.1	61.6
361	9	67.7	72.7
362	0	67.67	65.71
362	1	74.06	70.2
362	2	81	70.2
362	3	73.2	70.2
362	4	67	65.1
362	5	73.2	70.2
362	6	67	65.1
362	7	67	65.1
362	8	67	65.1
362	9	67	65.1
363	0	64.2	66.24
363	1	81	68.2
363	2	81	66.2
363	3	62.5	70.2
363	4	62.5	66.2
363	5	62.5	70.2
363	6	62.5	66.2
363	7	62.5	66.2
363	8	62.5	66.2
363	9	62.5	66.2
364	0	71.51	66.45
364	1	79.22	70.2
364	2	81	70.2
364	3	73.2	70.2
364	4	69.5	65.6
364	5	73.2	70.2
364	6	69.5	65.6
364	7	69.5	65.6
364	8	69.5	65.6
364	9	69.5	65.6
370	0	60.4	51.2
370	1	60.4	61.72
370	2	60.4	61.9
370	3	60.4	61.7
370	4	60.4	61.9
370	5	60.4	49.9
370	6	60.4	48.28
370	7	60.4	49.8
370	8	60.4	49.9
370	9	60.4	45.7
371	0	62.82	58.69
371	1	62.8	61.9
371	2	62.8	61.9
371	3	62.8	58.7
371	4	62.8	58.7
371	5	62.8	58.7
371	6	62.82	58.66
371	7	62.9	56.9
371	8	62.8	58.7
371	9	62.6	65.4
380	0	75.88	86.28
380	1	80.27	93.98
380	2	80.7	94.4
380	3	77	85.8
380	4	77	85.8
380	5	75.7	85.8
380	6	73.65	81.9
380	7	72	79.5
380	8	75.7	85.8
380	9	77	85.8
381	0	72.08	70.12
381	1	74.51	75.73
381	2	76.7	76.3
381	3	63.5	72.4
381	4	63.5	72.4
381	5	71.7	70
381	6	70	65.86
