OCC60	STDEMPST	USEMPST	MCAMSIS	FCAMSIS
93	-4	4	71.1	69.6
93	-3	3	79	76.8
93	0	0	77.28	76.8
93	1	-1	74.7	67.3
93	2	1	74.7	67.3
93	5	2	77.9	67.3
93	6	-2	77.5	76.8
101	-4	4	77.3	65.8
101	-3	3	49.2	65.8
101	0	0	52.83	68.4
101	1	-1	57.9	73.2
101	2	1	57.9	73.7
101	5	2	77.9	67.3
101	6	-2	49.2	65.8
102	-4	4	66.5	62.1
102	-3	3	78.1	80.7
102	0	0	66.5	69.44
102	1	-1	77.9	67.3
102	2	1	77.9	67.3
102	5	2	77.9	67.3
102	6	-2	66.5	69.44
103	-4	4	59.2	55.8
103	-3	3	69	55.8
103	0	0	61.34	55.8
103	1	-1	69	67.3
103	2	1	69	67.3
103	5	2	77.9	67.3
103	6	-2	61.17	55.8
104	-4	4	65.8	69.6
104	-3	3	65.8	67.7
104	0	0	67.64	67.65
104	1	-1	70.3	67.64
104	2	1	70.3	67.9
104	5	2	77.9	67.3
104	6	-2	65.8	67.7
105	-4	4	83.1	73.9
105	-3	3	92.7	73.9
105	0	0	81.1	73.69
105	1	-1	76.3	73.44
105	2	1	76.3	73.9
105	5	2	76.3	67.3
105	6	-2	88.75	73.9
111	-4	4	85.9	68.2
111	-3	3	63.4	66.2
111	0	0	76.69	67.57
111	1	-1	77.9	66.2
111	2	1	77.9	66.2
111	5	2	77.9	66.2
111	6	-2	76.69	67.57
120	-4	4	81.8	73.3
120	-3	3	63.1	65.3
120	0	0	69.5	67.4
120	1	-1	66.5	66.2
120	2	1	66.5	66.2
120	5	2	77.9	67.3
120	6	-2	70.19	68.18
130	-4	4	70.7	55.8
130	-3	3	70.7	55.8
130	0	0	70.86	57.84
130	1	-1	73.1	60.4
130	2	1	73.1	60
130	5	2	74	60.4
130	6	-2	70.7	55.8
131	-4	4	85.9	89.1
131	-3	3	99	89.1
131	0	0	88.45	88.25
131	1	-1	73.1	59.6
131	2	1	73.1	59.6
131	5	2	74	59.6
131	6	-2	90.71	89.1
134	-4	4	79	89.1
134	-3	3	92.3	89.1
134	0	0	86.67	81.05
134	1	-1	73.1	59.6
134	2	1	73.1	59.6
134	5	2	74	59.6
134	6	-2	89.76	89.1
135	-4	4	79.9	90
135	-3	3	88.3	90
135	0	0	83.9	90
135	1	-1	79.9	59.6
135	2	1	79.9	59.6
135	5	2	74	59.6
135	6	-2	84	90
140	-4	4	99	90
140	-3	3	95.8	90
140	0	0	97.02	90
140	1	-1	74	59.6
140	2	1	74	59.6
140	5	2	74	59.6
140	6	-2	97.02	90
145	-4	4	74.7	90
145	-3	3	74.7	90
145	0	0	74.7	90
145	1	-1	74	59.6
145	2	1	74	59.6
145	5	2	74	59.6
145	6	-2	74.7	90
150	-4	4	42.2	58.4
150	-3	3	53.1	61.2
150	0	0	46.49	60.37
150	1	-1	42.2	58.3
150	2	1	42.2	58.3
150	5	2	74	58.3
150	6	-2	46.95	60.57
151	-4	4	42.2	42.8
151	-3	3	79.6	50.6
151	0	0	42.2	48.96
151	1	-1	74	59.6
151	2	1	74	59.6
151	5	2	74	59.6
151	6	-2	42.2	48.96
152	-4	4	73.9	74.5
152	-3	3	80.2	74.5
152	0	0	78.85	70.45
152	1	-1	78.6	65.6
152	2	1	78.6	65.6
152	5	2	74	59.6
152	6	-2	80.2	74.5
153	-4	4	73.9	61.5
153	-3	3	80.2	63.3
153	0	0	78.76	65.6
153	1	-1	78.6	65.6
153	2	1	78.6	65.6
153	5	2	74	59.6
153	6	-2	80.2	62.4
154	-4	4	72.9	67.8
154	-3	3	83	64.2
154	0	0	80.13	65.47
154	1	-1	89.4	66.1
154	2	1	89.4	66.1
154	5	2	74	66.1
154	6	-2	79.91	65.46
160	-4	4	71.2	74.5
160	-3	3	71.2	74.5
160	0	0	74.43	72.44
160	1	-1	80.07	63.35
160	2	1	80.1	65.6
160	5	2	74	59.6
160	6	-2	71.2	74.5
161	-4	4	78.7	56.6
161	-3	3	68.7	56.6
161	0	0	71.39	59.01
161	1	-1	74	66.71
161	2	1	74	67.9
161	5	2	74	59.6
161	6	-2	70.1	56.6
162	-4	4	90.2	80.7
162	-3	3	88.3	79.1
162	0	0	77.33	83.7
162	1	-1	70	91.09
162	2	1	70	91.9
162	5	2	74	59.6
162	6	-2	89.15	79.97
163	-4	4	77.3	84.9
163	-3	3	94.7	84.9
163	0	0	91.96	82.34
