OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
752	75	2	74.9	81.8	76.5	81.4
754	75	4	74.9	81.8	80.5	84
759	75	9	74.9	81.8	76.7	81.6
762	76	2	66.5	65.6	66.3	66
764	76	4	66.5	65.6	66.2	63.7
769	76	9	66.5	65.6	66.3	65.9
772	77	2	71	73.3	70.5	75.1
774	77	4	71	73.3	80.7	84
779	77	9	71	73.3	71.6	75.1
792	79	2	73.1	73.6	68.8	70.3
794	79	4	73.1	73.6	74.8	79.4
799	79	9	73.1	73.6	72.3	74.4
912	91	2	78.5	72.4	77.5	71.9
914	91	4	78.5	72.4	77.9	71.5
919	91	9	78.5	72.4	77.5	71.8
922	92	2	68.5	68.3	67.9	67.5
924	92	4	68.5	68.3	82.5	89.3
929	92	9	68.5	68.3	68.3	68.1
992	99	2	86.8	81	87	81.6
994	99	4	86.8	81	77.9	94.8
999	99	9	86.8	81	85.9	83
1012	101	2	99	85.3	98.8	85.3
1014	101	4	99	85.3	99	91.2
1019	101	9	99	85.3	98.9	85.3
1022	102	2	70.1	68.8	69.4	68.5
1024	102	4	70.1	68.8	60.8	74.3
1029	102	9	70.1	68.8	69.4	68.5
1032	103	2	66.6	64.1	66	63.8
1034	103	4	66.6	64.1	60.8	73.9
1039	103	9	66.6	64.1	65.9	63.9
1042	104	2	73.5	70.1	69.4	69.6
1044	104	4	73.5	70.1	77.8	74.3
1049	104	9	70.1	70.1	76	69.7
1052	105	2	64.7	63.7	63.6	63.2
1054	105	4	64.7	63.7	60.8	63
1059	105	9	64.7	63.7	63.6	63.2
1062	106	2	51	45.7	51.8	45.7
1064	106	4	51	45.7	56.3	53.2
1069	106	9	51	45.7	51.8	45.7
1072	107	2	48.7	40.6	48.4	40.9
1074	107	4	48.7	40.6	56.3	51.4
1079	107	9	48.7	40.6	48.6	41
1092	109	2	55	60.2	51.4	59.4
1094	109	4	55	60.2	62.8	63.5
1099	109	9	55	60.2	53.4	60.5
1112	111	2	69.6	74.1	68.7	73.1
1114	111	4	69.6	74.1	69.5	86
1119	111	9	69.6	74.1	68.9	74.7
1122	112	2	60.9	60	62	59.6
1124	112	4	60.9	60	44.5	70.6
1129	112	9	60.9	60	60.5	59.8
1192	119	2	66.9	85.6	62	84.6
1194	119	4	66.9	85.6	66.1	84.6
1199	119	9	60.9	85.6	66.3	84.6
1212	121	2	91.4	84.7	88.5	89.8
1214	121	4	91.4	84.7	90.3	98.2
1219	121	9	91.4	84.7	88.7	90.3
1222	122	2	91.4	65.7	88.5	65.4
1224	122	4	91.4	65.7	90.3	73.9
1229	122	9	91.4	65.7	88.7	65.6
1232	123	2	91.4	54.1	51.8	54.2
1234	123	4	91.4	54.1	56.3	58
1239	123	9	55	54.1	88.7	54.2
1292	129	2	91.4	58.6	88.5	59.5
1294	129	4	91.4	58.6	90.3	75.2
1299	129	9	91.4	58.6	88.7	59.9
1312	131	2	83.4	75	81.5	75.1
1314	131	4	83.4	75	90.3	73.9
1319	131	9	83.4	75	81.5	75.1
1392	139	2	44.2	55.2	42.3	54.7
1394	139	4	44.2	55.2	56.3	70.7
1399	139	9	44.2	55.2	42.3	54.9
1412	141	2	78.1	78.3	78.4	78.8
1414	141	4	78.1	78.3	79.8	70.6
1419	141	9	78.1	78.3	78.5	77.5
1492	149	2	38.8	44.2	39	42.9
1494	149	4	38.8	44.2	39	51.4
1499	149	9	38.8	44.2	39	42.9
1512	151	2	71.3	68.7	71.5	70.2
1514	151	4	71.3	68.7	63.8	89.8
1519	151	9	71.3	68.7	71.4	70.5
1522	152	2	64	56.5	61	57.5
1524	152	4	64	56.5	58.3	58.5
1529	152	9	64	56.5	61	57.5
1532	153	2	53.3	43.8	53.1	43.7
1534	153	4	53.3	43.8	63.1	54.1
1539	153	9	53.3	43.8	53.1	43.8
1542	154	2	51.5	33.2	50.9	33.7
1544	154	4	51.5	33.2	63.1	41
1549	154	9	51.5	33.2	50.9	33.7
1552	155	2	61.5	40.7	60.5	40.8
1554	155	4	61.5	40.7	63.1	46.9
1559	155	9	61.5	40.7	60.5	40.8
1592	159	2	51.6	37.9	49.7	37.9
1594	159	4	51.6	37.9	63.1	43.9
1599	159	9	51.6	37.9	49.7	38.1
1612	161	2	72.4	75.5	71	74.8
1614	161	4	72.4	75.5	66.2	74.8
1619	161	9	72.4	75.5	71	74.8
1622	162	2	62.7	51.1	61.8	49.9
1624	162	4	62.7	51.1	66.2	75.8
1629	162	9	62.7	51.1	61.8	49.9
1692	169	2	67.1	77.6	65.5	76.8
1694	169	4	67.1	77.6	66.2	76.8
1699	169	9	67.1	77.6	65.5	76.8
1912	191	2	91.1	91.2	87.9	92.1
1914	191	4	91.1	91.2	92.8	98.2
1919	191	9	91.1	91.2	88.7	92.9
1922	192	2	83.6	77.3	65.5	75.6
1924	192	4	83.6	77.3	66.2	87.7
1929	192	9	67.1	77.3	81.3	75.6
1992	199	2	56.5	67	56	65.8
1994	199	4	56.5	67	63.1	87.7
1999	199	9	56.5	67	57	68.2
2012	201	2	76.6	69.8	76.5	69.1
2014	201	4	76.6	69.8	79.1	79.8
2019	201	9	76.6	69.8	76.5	69.2
2022	202	2	76.7	71.4	75.8	73.5
2024	202	4	76.7	71.4	77.1	78
2029	202	9	76.7	71.4	75.8	73.5
2032	203	2	74	68.7	73.1	68.3
2034	203	4	74	68.7	77.1	78
2039	203	9	74	68.7	73.2	68.4
2092	209	2	70.3	73.1	69.4	72.3
2094	209	4	70.3	73.1	77.1	78
2099	209	9	70.3	73.1	69.4	72.3
2112	211	2	67.2	67.1	67.3	66.2
2114	211	4	67.2	67.1	62.9	72
2119	211	9	67.2	67.1	67.2	66.4
2122	212	2	60.2	67.7	59.6	67
2124	212	4	60.2	67.7	66.7	72
2129	212	9	60.2	67.7	59.7	67
2192	219	2	67.9	67	68.1	66.7
2194	219	4	67.9	67	59.1	72
2199	219	9	67.9	67	67.4	66.7
2212	221	2	67.7	69.4	67.4	68.5
2214	221	4	67.7	69.4	82.6	70.7
2219	221	9	67.7	69.4	67.6	68.5
2222	222	2	61.9	68.2	61.5	68.6
2224	222	4	61.9	68.2	82.6	70.7
2229	222	9	61.9	68.2	61.5	68.6
2292	229	2	70.9	67.9	69.6	64
2294	229	4	70.9	67.9	82.6	70.7
2299	229	9	70.9	67.9	69.6	64
2312	231	2	72.3	66.5	72.2	67.4
2314	231	4	72.3	66.5	69.5	66.2
2319	231	9	72.3	66.5	72	67.4
2322	232	2	65.6	55.2	65.2	54.9
2324	232	4	65.6	55.2	64.3	60.6
2329	232	9	65.6	55.2	65.2	55.1
2392	239	2	71.1	65.6	70.8	64.7
2394	239	4	71.1	65.6	69.5	66.2
2399	239	9	71.1	65.6	70.8	64.7
2412	241	2	74.6	64.1	74.1	63.3
2414	241	4	74.6	64.1	60.9	75.4
2419	241	9	74.6	64.1	74.1	63.6
2422	242	2	51.4	47.9	49.9	46.9
2424	242	4	51.4	47.9	60.9	62.9
2429	242	9	51.4	47.9	49.9	47.6
2492	249	2	48.4	50.1	48	49.1
2494	249	4	48.4	50.1	60.9	63.2
2499	249	9	48.4	50.1	48.2	49.3
2512	251	2	71.2	68.5	70.4	68.2
2514	251	4	71.2	68.5	77.9	79.9
2519	251	9	71.2	68.5	70.6	68.4
2522	252	2	51.8	45.9	51.3	45.1
2524	252	4	51.8	45.9	53.6	57.3
2529	252	9	51.8	45.9	51.3	45.3
2592	259	2	59.4	54.1	59	53
2594	259	4	59.4	54.1	53.6	57.3
2599	259	9	59.4	54.1	58.9	53
2612	261	2	75.2	70.8	74.9	70.9
2614	261	4	75.2	70.8	74.1	74
2619	261	9	75.2	70.8	74.8	71
2622	262	2	88.7	82.7	86.9	82.5
