hisco	hiscam	orig
17340	58.06	0
17420	58.06	0
17490	58.06	0
17530	58.06	0
17540	58.06	0
17590	58.06	0
17900	58.06	0
17920	48.51	1
17940	58.06	0
17990	50.62	1
18000	58.06	0
18020	58.06	0
18050	59.99	1
18090	58.06	0
19100	84.96	0
19120	84.96	0
19130	84.96	0
19140	84.96	0
19190	84.96	0
19200	84.96	0
19250	84.96	0
19290	84.96	0
19300	84.96	0
19320	84.96	0
19390	84.96	0
19400	84.96	0
19420	84.96	1
19430	84.96	0
19490	84.96	1
19500	84.96	0
19520	84.96	0
19530	84.96	0
19540	84.96	0
19900	84.96	0
19950	84.96	0
19960	84.96	0
19990	84.96	1
20100	99.00	1
20110	99.00	1
20200	90.86	1
20210	90.86	1
21000	78.76	1
21100	89.18	1
21110	89.18	1
21200	89.18	1
21220	64.12	1
21230	84.96	1
21240	70.92	1
21300	62.25	1
21320	65.16	0
21340	65.35	1
21420	84.96	1
21430	84.96	0
21490	84.96	0
21900	85.47	0
21940	88.68	1
21950	82.62	0
21960	89.18	1
21970	82.62	0
21980	82.62	0
21990	94.64	1
22000	67.65	1
22100	66.44	0
22110	77.02	1
22190	69.84	1
22200	66.44	0
22210	85.48	1
22220	88.28	1
22230	75.37	0
22235	75.37	0
22240	68.53	1
22245	68.53	1
22250	75.37	0
22265	75.37	0
22275	75.37	0
22280	75.37	0
22290	68.53	1
22300	66.44	0
22320	73.76	0
22330	73.76	0
22390	73.76	0
22420	67.65	1
22425	67.65	1
22430	66.76	0
22440	66.76	0
22450	59.89	1
22460	66.76	0
22490	69.35	1
22520	57.56	1
22600	57.75	1
22610	57.75	1
22620	62.59	0
22630	62.59	0
22640	62.59	0
22650	59.51	1
22651	62.59	0
22655	62.59	0
22660	57.75	1
22665	62.59	0
22670	57.75	1
22675	78.50	1
22680	71.13	1
22690	61.49	1
30000	68.95	1
31000	60.92	1
31020	99.00	1
31030	67.64	1
31040	69.72	0
31040	74.74	1
31090	87.98	1
31940	58.02	1
32100	69.72	0
32110	69.72	0
32120	99.00	1
32140	69.72	0
32190	69.72	0
32220	69.72	0
33000	72.94	1
