hisco	hiscam	orig
22690	61.26	1
30000	67.92	1
31000	83.86	1
31020	97.50	1
31030	67.99	1
31040	68.19	0
31040	63.69	1
31090	85.95	1
31940	55.55	1
32100	63.10	1
32110	63.10	1
32120	99.00	1
32140	68.19	0
32190	68.19	0
32220	68.19	0
33000	71.68	1
33100	71.68	1
33110	71.68	1
33120	78.21	1
33130	78.21	1
33135	78.21	1
33140	78.21	1
33150	78.21	1
33160	78.21	1
33170	78.21	1
33190	78.21	1
33900	68.19	0
33920	68.19	0
33930	68.19	0
33940	67.86	1
33990	74.83	1
34120	55.26	0
34230	55.26	0
36000	59.34	1
36020	57.82	1
36040	52.53	1
36090	53.30	1
37000	65.78	1
37010	55.26	0
37020	68.29	1
37030	53.30	1
37040	52.57	1
37090	54.64	1
38000	63.09	1
38020	55.26	0
38030	53.30	1
38040	61.27	1
38090	55.26	0
39100	61.58	1
39110	61.58	1
39120	61.58	1
39130	61.58	1
39140	61.58	1
39150	61.58	1
39190	61.58	1
39230	63.10	1
39310	63.10	1
39320	65.03	1
39340	77.68	1
39350	68.19	0
39390	68.19	0
39410	68.19	0
39440	68.19	0
39490	68.19	0
39520	68.19	0
39530	59.32	1
39900	68.19	0
39940	68.19	0
39960	55.55	1
39990	64.60	1
41000	63.30	0
41020	81.49	1
41025	64.30	1
41030	59.25	1
41035	64.30	1
41040	59.17	1
41525	56.19	1
42200	68.94	1
42220	68.94	1
42230	68.94	1
43100	70.80	0
43120	70.80	0
43200	68.27	1
43220	68.27	1
43230	68.94	1
43290	70.80	0
44100	71.75	1
44120	71.76	1
44130	99.00	1
44140	82.80	1
44190	76.80	1
44200	70.80	0
44220	70.80	0
44230	68.64	1
44300	70.80	0
44320	72.97	1
44330	70.80	0
45100	52.64	0
45120	66.19	1
45125	60.33	1
45130	52.12	1
45140	52.64	0
45150	52.64	0
45190	64.91	1
45220	48.56	1
45225	52.64	0
45230	50.70	1
45240	52.64	0
45250	52.64	0
45290	50.34	1
49020	52.64	0
49030	52.64	0
49090	61.42	1
51000	54.77	1
51020	56.16	1
51030	54.77	1
51040	68.50	1
51050	54.77	1
51090	64.77	1
52000	56.19	1
52290	56.19	1
53100	58.61	1
53120	58.61	1
53130	58.61	1
53140	58.61	0
53150	58.61	1
53190	58.61	0
53200	53.58	1
53210	53.58	1
53220	53.58	1
53240	53.58	1
53250	53.58	1
53290	53.58	1
53330	39.90	1
54000	39.90	1
54010	39.90	1
54020	39.90	1
54030	39.90	1
54035	43.40	0
54040	43.40	0
54050	39.90	1
54055	43.40	0
54060	43.40	0
54090	52.95	1
55100	58.02	1
55120	63.09	1
55125	59.83	1
55130	66.03	1
55140	62.95	1
55190	39.90	1
55200	43.40	0
55220	43.40	0
55220	43.40	0
55230	43.40	0
55230	43.40	0
55240	47.39	1
55290	45.83	1
56000	51.09	1
56010	51.09	1
56030	43.40	0
56030	51.09	1
56040	51.09	1
56050	51.09	1
56060	51.09	1
56065	51.09	1
56070	51.09	1
56090	51.09	1
57000	53.68	1
57025	53.68	1
57030	53.68	0
57030	53.68	1
57070	53.68	1
57090	53.68	1
58100	52.38	1
58110	52.38	1
58200	62.70	1
58220	52.38	1
58225	55.00	1
58230	59.11	0
58240	59.11	0
58300	55.01	1
58320	99.00	1
58320	59.11	0
58330	56.32	1
58340	47.12	1
58490	59.11	0
58900	59.11	0
58920	59.11	0
58930	59.11	0
58930	59.95	1
58940	48.51	1
58990	58.36	1
59100	55.80	0
59200	55.80	0
59220	55.67	1
59230	55.80	0
59290	56.19	1
59900	55.80	0
59920	55.80	0
59940	48.31	1
59950	57.59	1
59990	56.19	1
71100	45.59	1
71105	45.59	1
71110	48.96	1
71120	46.75	0
71125	45.59	1
71130	45.59	1
71150	46.75	0
71160	45.59	1
71170	46.75	0
71190	53.85	1
71200	46.75	0
71220	51.47	1
71250	45.59	1
71290	46.75	0
71300	45.59	1
71380	45.59	1
71390	46.75	0
72000	49.90	1
72100	46.03	1
72120	49.60	0
72130	49.60	0
72160	49.60	0
72170	49.60	0
72190	45.92	1
72200	54.39	1
72220	49.60	0
72230	49.60	0
72250	50.63	1
72260	49.60	0
72290	49.60	0
72320	49.60	0
72330	49.60	0
