hisco	hiscam
19950	82.87
19960	91.90
19990	91.90
20100	99.00
20110	97.44
20200	91.27
20210	91.27
21000	75.95
21100	90.75
21110	87.50
21200	80.02
21220	69.80
21230	81.56
21240	68.76
21300	71.62
21320	64.88
21340	62.50
21420	82.87
21430	77.72
21490	80.30
21900	91.27
21940	80.02
21950	80.02
21960	87.50
21970	80.02
21980	80.02
21990	90.01
22000	67.41
22100	67.41
22110	77.95
22190	67.41
22200	74.01
22210	83.86
22220	76.12
22230	67.72
22235	76.01
22240	71.79
22245	66.86
22250	71.79
22265	71.79
22275	83.86
22280	71.79
22290	62.75
22300	65.09
22320	67.41
22330	67.41
22390	87.94
22420	66.13
22425	66.13
22430	66.02
22440	66.02
22450	57.90
22460	67.41
22490	67.41
22520	55.65
22600	55.88
22610	55.33
22620	60.36
22630	60.36
22640	60.36
22650	61.81
22651	60.36
22655	60.36
22660	55.33
22665	65.22
22670	55.33
22675	75.76
22680	66.16
22690	63.68
30000	68.08
31000	87.00
31020	87.77
31030	59.81
31040	67.79
31090	88.36
31940	56.49
32100	63.49
32110	63.49
32120	63.49
32140	69.52
32190	66.54
32220	66.54
33000	73.23
33100	73.00
33110	73.00
33120	82.94
33130	82.94
33135	82.94
33140	82.94
33150	82.94
33160	82.94
33170	82.94
33190	82.94
33900	66.54
33920	69.52
33930	66.54
33940	70.76
33990	71.83
34120	55.84
34230	55.84
36000	57.24
36020	55.22
36040	51.09
36090	54.52
37000	68.04
37010	55.84
37020	69.90
37030	53.34
37040	49.65
37090	57.50
38000	60.52
38020	53.34
38030	53.34
38040	57.45
38090	54.52
39100	60.83
39110	60.83
39120	60.83
39130	60.83
39140	60.83
39150	60.83
39190	60.83
39230	63.49
39310	63.49
39320	65.45
39340	78.30
39350	66.54
39390	63.49
39410	66.54
39440	69.52
39490	69.52
39520	66.54
39530	63.49
39900	63.49
39940	66.54
39960	56.49
39990	60.52
41000	77.04
41020	82.51
41025	59.83
41030	61.63
41035	59.83
41040	63.50
41525	56.81
42200	69.05
42220	69.05
42230	69.05
43100	69.83
43120	72.29
43200	69.83
43220	69.83
43230	69.05
43290	72.29
44100	69.83
44120	72.58
44130	86.30
44140	85.00
44190	75.72
44200	72.29
44220	70.38
44230	69.83
44300	72.00
44320	70.38
44330	70.38
45100	63.00
45120	67.41
45125	63.13
45130	50.09
45140	53.06
45150	53.06
45190	66.05
45220	47.16
45225	47.16
45230	49.31
45240	51.77
45250	53.06
45290	48.54
49020	53.06
49030	51.77
49090	64.09
51000	55.31
51020	56.90
51030	56.15
51040	64.41
51050	56.15
51090	65.51
52000	53.72
52290	53.72
53100	60.45
53120	60.45
53130	60.45
53140	59.38
53150	60.45
53190	60.45
53200	53.43
53210	53.43
53220	53.43
53240	53.43
53250	53.43
53290	53.43
53330	39.56
54000	45.77
54010	45.77
54020	45.77
54030	45.77
54035	46.04
54040	43.27
54050	45.77
54055	50.13
54060	50.13
54090	50.13
55100	58.75
55120	64.12
55125	62.59
55130	65.69
55140	63.06
55190	39.56
55200	50.02
55220	50.02
55230	50.02
55240	48.65
55290	50.13
56000	49.15
56010	49.15
56030	51.41
56040	49.15
56050	49.15
56060	49.15
56065	49.15
56070	49.15
56090	49.15
57000	54.41
57025	54.41
57030	54.41
57070	54.41
57090	54.41
58100	53.22
58110	53.22
58200	66.33
58220	53.22
58225	51.29
58230	53.22
58240	59.90
58300	63.97
58320	99.00
58330	55.79
58340	49.74
58490	59.34
