hisco	hiscam
17920	49.08
17940	58.90
17990	58.90
18000	58.90
18020	59.18
18050	59.18
18090	58.90
19100	74.90
19120	74.90
19130	74.90
19140	88.98
19190	88.98
19200	88.98
19250	74.90
19290	88.98
19300	74.90
19320	74.90
19390	88.98
19400	88.98
19420	88.98
19430	88.98
19490	88.98
19500	88.98
19520	74.90
19530	88.98
19540	74.90
19900	74.90
19950	88.98
19960	88.98
19990	74.90
20100	99.00
20110	99.00
20200	90.83
20210	90.83
21000	73.98
21100	87.81
21110	87.81
21200	81.80
21220	64.30
21230	86.58
21240	68.38
21300	62.65
21320	64.26
21340	64.50
21420	88.98
21430	71.22
21490	79.54
21900	86.58
21940	81.80
21950	81.80
21960	81.80
21970	81.80
21980	80.73
21990	87.06
22000	69.25
22100	69.25
22110	76.93
22190	69.25
22200	68.19
22210	79.73
22220	99.00
22230	78.22
22235	73.93
22240	69.16
22245	69.16
22250	74.69
22265	73.93
22275	74.69
22280	74.69
22290	74.69
22300	65.15
22320	69.25
22330	85.23
22390	85.23
22420	69.25
22425	69.25
22430	70.62
22440	68.75
22450	59.29
22460	69.25
22490	69.25
22520	55.49
22600	61.84
22610	56.20
22620	63.50
22630	61.84
22640	60.95
22650	61.84
22651	63.50
22655	63.50
22660	61.84
22665	63.50
22670	59.43
22675	82.23
22680	63.50
22690	61.84
30000	68.43
31000	86.68
31020	98.18
31030	71.73
31040	66.36
31090	83.23
31940	55.11
32100	68.43
32110	62.68
32120	71.16
32140	67.80
32190	67.80
32220	67.80
33000	71.31
33100	71.31
33110	71.31
33120	72.98
33130	72.98
33135	72.98
33140	72.98
33150	77.86
33160	72.98
33170	72.98
33190	72.98
33900	71.16
33920	67.80
33930	67.80
33940	65.66
33990	80.45
34120	54.83
34230	54.83
36000	65.87
36020	58.45
36040	52.90
36090	56.24
37000	59.54
37010	56.24
37020	72.02
37030	52.90
37040	54.36
37090	51.47
38000	56.24
38020	52.90
38030	52.86
38040	65.87
38090	52.90
39100	62.24
39110	62.24
39120	62.24
39130	62.24
39140	62.24
39150	62.24
39190	62.24
39230	62.68
39310	64.81
39320	63.52
39340	77.20
39350	71.16
39390	71.16
39410	71.16
39440	67.80
39490	67.80
39520	67.80
39530	58.90
39900	71.16
39940	71.16
39960	56.29
39990	68.43
41000	67.72
41020	76.87
41025	67.19
41030	60.22
41035	63.90
41040	62.97
41525	53.40
42200	71.55
42220	71.55
42230	71.55
43100	70.41
43120	70.41
43200	67.97
43220	67.97
43230	71.55
43290	70.41
44100	71.55
44120	71.55
44130	99.00
44140	78.16
44190	78.69
44200	70.41
44220	71.55
44230	73.87
44300	73.87
44320	73.87
44330	73.87
45100	53.59
45120	61.72
45125	58.52
45130	53.79
45140	52.20
45150	52.20
45190	58.77
45220	50.20
45225	52.20
45230	50.20
45240	53.59
45250	52.20
45290	50.20
49020	53.59
49030	53.59
49090	64.45
51000	56.86
51020	55.33
51030	54.08
51040	69.59
51050	54.08
51090	64.20
52000	53.40
52290	53.40
53100	57.52
53120	57.52
53130	57.52
53140	58.18
53150	57.52
53190	57.52
53200	51.70
53210	51.70
53220	51.70
53240	51.70
53250	51.70
53290	51.70
53330	40.54
54000	40.54
54010	40.54
54020	40.54
54030	40.54
54035	46.88
54040	40.54
54050	44.18
54055	42.93
54060	40.54
54090	52.50
55100	57.59
55120	62.68
55125	57.68
55130	65.62
55140	63.70
55190	40.54
55200	42.38
55220	42.38
55230	42.93
55240	47.40
55290	40.54
56000	52.25
56010	52.25
56030	50.63
56040	52.25
56050	50.63
56060	52.25
56065	52.25
56070	50.63
56090	52.25
57000	52.75
57025	52.75
57030	52.75
57070	52.75
57090	52.75
58100	47.74
58110	47.74
58200	57.84
58220	51.86
58225	51.86
58230	59.43
58240	51.86
58300	53.25
58320	99.00
58330	57.06
58340	47.74
58490	58.68
58900	59.43
58920	58.68
58930	58.93
58940	48.56
58990	63.58
59100	55.36
59200	54.75
59220	56.68
59230	55.36
59290	53.11
59900	54.75
59920	52.58
59940	48.02
59950	59.70
59990	53.40
61100	50.52
61110	50.52
61115	47.52
61120	50.65
61220	52.13
61230	52.13
61235	50.11
61240	52.38
61250	52.54
61260	52.13
61270	58.97
61290	53.15
62100	48.91
62105	48.93
62110	48.91
62120	45.59
62200	49.38
62210	49.38
62220	49.68
62230	49.38
62240	49.38
62260	49.68
62290	49.38
62320	49.45
62330	49.45
62390	49.45
62400	50.97
62410	49.58
62420	49.58
62430	47.84
62440	49.58
62460	51.63
62490	52.43
62510	50.36
62520	50.50
62600	49.45
62610	49.47
62660	49.47
62690	49.45
62700	50.93
62720	52.11
62730	52.00
62740	52.52
62790	52.00
62800	49.45
62820	49.45
62920	52.52
62940	53.65
62950	52.52
62960	53.65
62970	53.65
62990	53.65
63100	50.38
63110	48.27
63120	50.29
63130	50.38
63140	50.38
63190	52.75
63200	52.58
63220	52.86
63230	52.58
63250	52.13
63290	51.81
64100	52.18
64120	52.18
64130	53.09
64900	52.29
64920	52.29
64930	52.29
64940	52.13
64960	54.15
64990	51.84
71100	46.09
71105	46.09
71110	49.45
71120	46.29
71125	46.09
71130	45.13
71150	46.29
71160	48.15
71170	46.29
71190	52.43
71200	46.09
71220	52.68
71250	48.15
71290	48.15
71300	48.15
71380	45.13
71390	46.09
72000	51.40
72100	50.93
72120	51.40
72130	51.40
72160	51.40
72170	51.81
72190	49.18
72200	56.84
72220	49.15
72230	51.81
72250	50.18
72260	49.15
72290	49.15
72320	51.40
72330	49.15
72390	51.81
72400	51.40
72420	52.41
72490	51.81
72500	51.81
72520	51.40
72530	49.15
72540	50.18
72555	51.81
72560	49.15
72590	51.81
72600	51.81
72620	49.15
72630	51.81
72640	49.15
72700	51.40
72725	51.81
72730	51.81
72740	51.81
72790	50.18
72800	51.81
72820	51.40
72830	51.40
72890	51.40
72900	51.40
72930	51.40
72940	51.81
72980	50.18
72990	50.41
73100	48.29
73130	50.08
73200	50.06
73210	50.06
73240	49.11
73270	50.06
73290	50.06
73320	50.08
73350	48.29
