hisco	hiscam
72500	49.15
72520	49.86
72530	48.74
72540	49.72
72555	49.86
72560	48.74
72590	48.74
72600	48.74
72620	48.74
72630	48.74
72640	48.74
72700	48.74
72725	46.65
72730	46.65
72740	48.74
72790	49.72
72800	48.74
72820	49.72
72830	49.86
72890	47.31
72900	48.74
72930	49.86
72940	49.86
72980	49.72
72990	52.95
73100	47.91
73130	46.88
73200	46.88
73210	46.88
73240	46.88
73270	46.88
73290	46.88
73320	48.70
73350	47.91
73360	47.91
73390	47.91
73400	46.88
73430	46.70
73460	46.70
73490	46.88
74100	50.25
74120	52.65
74140	49.91
74200	49.63
74220	46.02
74240	46.02
74400	46.02
74470	52.70
74490	46.02
74500	50.16
74900	50.16
74910	50.16
74920	50.16
74925	46.02
74930	50.16
74990	50.16
75000	46.38
75100	51.68
75115	47.25
75120	47.25
75130	47.25
75135	47.25
75140	51.68
75145	47.25
75150	51.68
75155	51.68
75190	47.25
75220	52.66
75230	49.08
75240	49.08
75250	49.08
75290	52.66
75300	46.90
75320	46.90
75340	44.47
75350	46.90
75390	48.68
75400	46.38
75415	48.68
75420	46.90
75422	46.90
75430	46.90
75432	55.79
75435	44.47
75440	46.90
75445	44.47
75450	46.90
75452	48.68
75455	46.90
75457	46.90
75465	46.38
75470	44.47
75475	46.90
75490	46.38
75500	50.75
75520	44.47
75530	46.38
75535	46.90
75540	46.90
75590	48.68
75600	51.56
75615	51.56
75620	52.77
75622	51.56
75625	52.77
75635	52.77
75650	52.77
75655	52.77
75660	52.77
75670	52.77
75690	51.56
75700	46.90
75710	46.38
75720	46.90
75922	46.38
75925	46.90
75990	59.11
76100	57.11
76125	56.15
76130	56.15
76132	56.15
76145	57.11
76150	57.11
76155	56.15
76190	57.11
76200	48.68
76220	48.68
76230	46.90
76290	46.90
77100	55.15
77120	48.36
77140	56.15
77190	55.86
77200	55.15
77250	52.25
77260	52.25
77290	54.02
77300	55.15
77310	55.59
77320	51.66
77330	55.15
77340	55.15
77390	54.93
77410	56.15
77415	55.15
77440	56.15
77450	55.15
77460	56.15
77490	55.15
77500	49.24
77510	50.79
77530	50.79
77540	50.79
77590	49.24
77600	55.15
77610	56.15
77620	53.59
77630	66.83
77640	56.15
77650	52.25
77660	51.75
77690	59.84
77700	55.15
77750	55.15
77790	52.25
77800	59.38
77810	50.25
77820	59.38
77830	59.38
77835	59.38
77840	59.38
77850	59.38
77860	59.38
77870	59.38
77880	59.38
77890	59.38
77900	55.15
77920	49.34
77940	52.25
77990	55.15
78100	51.63
78120	56.15
78130	56.15
78155	49.41
78170	56.15
78190	55.15
78200	46.95
78290	55.15
78390	48.09
79100	51.75
79120	50.22
79130	52.74
79140	51.79
79190	52.74
79200	50.22
79220	51.79
79290	51.79
79300	50.22
79310	58.45
79320	49.13
79390	51.79
79400	54.79
79420	54.79
79430	54.79
79440	51.79
79450	51.79
79475	51.79
79490	54.79
79500	49.13
79510	50.22
79520	50.22
79550	50.22
79560	50.22
79565	51.79
79590	49.13
79600	52.74
79620	59.13
79630	52.74
79640	51.79
79690	53.47
79900	50.22
79920	55.56
79930	50.22
79990	51.79
80110	51.79
80120	49.13
80130	51.79
80190	52.74
80200	51.79
80220	52.74
80222	52.74
80225	50.22
80245	50.22
80250	52.74
80255	50.22
80290	49.56
80300	50.22
80310	52.74
80320	52.74
80330	50.22
80340	50.22
80360	50.22
80390	50.22
81000	53.09
81100	50.45
81120	53.75
