soc2000	stdempst	usempst	mcamsis	fcamsis
94	6	-2	63.75	53.35
95	-6	5	65.3	55.2
95	-5	4	70.4	58.2
95	-4	3	67.6	51.6
95	-3	1	79.3	54.2
95	0	0	67.46	55.7
95	1	-1	75.14	54.76
95	2	-5	75.14	53.11
95	5	2	66.5	74.5
95	6	-2	66.13	55.74
100	-6	5	65.7	64.3
100	-5	4	63.8	62
100	-4	3	74.9	72.6
100	-3	1	72.8	80.4
100	0	0	66.2	64.57
100	1	-1	73.67	77.67
100	2	-5	73.81	77.67
100	5	2	61.2	64.6
100	6	-2	65.31	63.75
101	-6	5	63.2	66.8
101	-5	4	62.7	63.5
101	-4	3	72.5	79.3
101	-3	1	74.8	75.6
101	0	0	63.98	66.74
101	1	-1	73.49	76.87
101	2	-5	73.63	76.81
101	5	2	61.2	79.3
101	6	-2	63.13	66.17
102	-6	5	70.7	72.4
102	-5	4	68.8	63.7
102	-4	3	78	72.6
102	-3	1	81.4	69.8
102	0	0	70.95	71.02
102	1	-1	79.3	70.87
102	2	-5	79.38	70.87
102	5	2	61.2	70.9
102	6	-2	70.52	71.02
103	-6	5	65.4	66.1
103	-5	4	63.9	63.2
103	-4	3	75.2	74.4
103	-3	1	74.8	77.1
103	0	0	68.1	69.34
103	1	-1	70.4	72.46
103	2	-5	75	75.75
103	5	2	61.2	65.9
103	6	-2	64.65	64.65
104	-6	5	58.1	58.1
104	-5	4	57.3	59.2
104	-4	3	84.4	75.7
104	-3	1	80.2	75.7
104	0	0	58.52	59.02
104	1	-1	81.12	75.7
104	2	-5	81.89	75.7
104	5	2	61.2	75.7
104	6	-2	57.9	58.45
105	-6	5	65.4	66.1
105	-5	4	63.9	63.2
105	-4	3	75.2	74.4
105	-3	1	74.8	77.1
105	0	0	68.1	69.34
105	1	-1	70.4	72.46
105	2	-5	75	75.75
105	5	2	61.2	65.9
105	6	-2	64.65	64.65
106	-6	5	66.8	66.3
106	-5	4	68.3	62.6
106	-4	3	84.4	73.1
106	-3	1	72.9	75
106	0	0	67.51	65.65
106	1	-1	77.82	74.36
106	2	-5	77.82	74.36
106	5	2	67.2	65.3
106	6	-2	67.13	65.25
110	-6	5	62.2	59
110	-5	4	60.6	63.3
110	-4	3	84.4	73.1
110	-3	1	72.9	75
110	0	0	61.99	60.49
110	1	-1	78.01	74.72
110	2	-5	78.01	74.72
110	5	2	61.8	60.3
110	6	-2	61.78	60.29
111	-6	5	63.2	68.3
111	-5	4	65.8	63.1
111	-4	3	72.7	73.1
111	-3	1	72.9	75
111	0	0	64.56	68.04
111	1	-1	72.61	74.46
111	2	-5	72.82	74.52
111	5	2	61.2	73.1
111	6	-2	63.61	67.04
120	-6	5	80.1	77.1
120	-5	4	66.4	77.1
120	-4	3	72.7	77.1
120	-3	1	72.9	85.8
120	0	0	78.4	77.49
120	1	-1	72.75	82.9
120	2	-5	72.75	82.9
120	5	2	80.1	77.1
120	6	-2	78.85	77.1
121	-6	5	65.4	66.1
121	-5	4	63.9	63.2
121	-4	3	75.2	74.4
121	-3	1	74.8	77.1
121	0	0	68.1	69.34
121	1	-1	70.4	72.46
121	2	-5	75	75.75
121	5	2	61.2	65.9
121	6	-2	64.65	64.65
122	-6	5	67.3	65.6
122	-5	4	69.8	66.5
122	-4	3	72.7	85.8
122	-3	1	72.9	85.8
122	0	0	68.84	66.77
122	1	-1	72.81	85.8
122	2	-5	72.81	85.8
122	5	2	68.6	67
122	6	-2	68.62	66.18
123	-6	5	65.4	66.1
123	-5	4	63.9	63.2
123	-4	3	75.2	74.4
123	-3	1	74.8	77.1
123	0	0	68.1	69.34
123	1	-1	70.4	72.46
123	2	-5	75	75.75
123	5	2	61.2	65.9
123	6	-2	64.65	64.65
124	-6	5	78.1	75.8
124	-5	4	66.4	75.3
124	-4	3	72.7	75.5
124	-3	1	72.9	85.8
124	0	0	72.15	75.8
124	1	-1	72.76	85.8
124	2	-5	72.76	85.8
124	5	2	71.8	75.5
124	6	-2	72.13	75.51
130	-6	5	75.7	75.5
130	-5	4	71.6	82.2
130	-4	3	75.4	82.8
130	-3	1	79.6	84.2
130	0	0	76.12	78.89
130	1	-1	77.87	83.82
130	2	-5	77.87	83.83
130	5	2	76.1	82.8
130	6	-2	75.11	76.69
131	-6	5	60.8	62.2
131	-5	4	59.6	53.3
131	-4	3	75.9	76.7
131	-3	1	80.1	76.7
131	0	0	63.77	58.83
131	1	-1	77.75	76.7
131	2	-5	77.75	76.7
131	5	2	63.8	57.7
131	6	-2	60.28	57.75
132	-6	5	67.3	81.5
132	-5	4	66.1	81.5
132	-4	3	76.5	81.5
132	-3	1	74.3	76.7
132	0	0	67.25	81.41
132	1	-1	74.92	76.7
132	2	-5	74.92	76.7
132	5	2	67.1	81.5
132	6	-2	67.16	81.5
133	-6	5	60.3	61.1
133	-5	4	61.2	63.2
133	-4	3	73.7	82.8
133	-3	1	74.2	78
133	0	0	66.16	69.48
133	1	-1	69.76	74.36
133	2	-5	73.95	80.4
133	5	2	61.4	62.3
133	6	-2	60.75	62.15
134	-6	5	60.3	61.1
134	-5	4	61.2	63.2
134	-4	3	73.7	82.8
134	-3	1	74.2	78
134	0	0	66.16	69.48
134	1	-1	69.76	74.36
134	2	-5	73.95	80.4
134	5	2	61.4	62.3
134	6	-2	60.75	62.15
135	-6	5	72.4	74.8
135	-5	4	72.4	74.8
