us_occ	uso_m	uso_f
330	61.7630615234375	61.4434089660645
331	58.9590721130371	66.7906036376953
332	60.9710159301758	55.5522232055664
340	53.7077941894531	44.6304359436035
341	52.277271270752	45.5659141540527
350	47.8887825012207	40.2566680908203
351	50.8994903564453	43.4708938598633
352	59.3838958740234	47.8080062866211
353	62.4482498168945	49.7459144592285
354	64.6341400146484	64.4359817504883
360	45.1038208007813	30.8454284667969
361	62.1117553710938	55.0052719116211
362	66.6829071044922	50.1609916687012
363	71.4411163330078	62.812686920166
364	56.6619071960449	48.7230987548828
365	51.5104103088379	44.9176788330078
370	49.835521697998	47.9470825195313
371	58.9234657287598	53.8177337646484
372	60.1617774963379	55.6388702392578
373	52.9744186401367	55.6388702392578
374	56.9251747131348	49.7137260437012
375	55.2380180358887	51.4800338745117
380	46.4031829833984	36.5595321655273
382	64.3701019287109	60.528751373291
384	55.7019920349121	39.9492454528809
385	56.8818054199219	52.7410583496094
390	41.6606140136719	41.7943534851074
391	64.2743453979492	59.5264739990234
392	41.1126441955566	38.6721839904785
394	35.176685333252	39.0211639404297
395	55.718936920166	40.0062370300293
400	39.0107192993164	41.5943450927734
401	41.1858406066895	36.4384727478027
402	22.5237236022949	28.1524562835693
403	24.7925395965576	30.9665145874023
404	43.1699371337891	35.6339645385742
405	31.8737049102783	29.2494201660156
406	35.7710456848145	32.2941513061523
411	38.1965370178223	33.8660087585449
412	28.9664192199707	33.1563987731934
413	19.5791511535645	32.5625953674316
414	12.8040084838867	19.3570537567139
415	42.3936996459961	39.3883399963379
420	45.7350616455078	34.2740898132324
421	49.3027877807617	51.2402191162109
422	35.6534118652344	29.0244941711426
423	28.4354591369629	25.6017017364502
424	48.3481407165527	41.1352386474609
425	35.6754379272461	39.6647453308105
430	48.5221557617188	46.1729278564453
432	55.3439064025879	49.5642623901367
434	51.2358932495117	57.165470123291
435	45.621223449707	43.3470764160156
440	39.3838920593262	37.9766159057617
441	60.4650726318359	37.9766159057617
442	40.8765983581543	46.3081207275391
443	46.3048248291016	41.9744186401367
446	50.0939674377441	59.0884819030762
450	46.0966644287109	41.8644104003906
451	54.5577507019043	43.1010704040527
452	35.2731704711914	48.0341453552246
453	37.5945854187012	44.7467842102051
454	53.1058120727539	62.0087394714355
455	53.732250213623	70.8972778320313
460	49.8351516723633	42.3971710205078
461	41.8220100402832	31.8056297302246
462	60.0134773254395	60.7359161376953
464	51.6081047058105	40.5234336853027
465	35.2785491943359	50.0364532470703
470	55.5841331481934	45.4379806518555
471	59.8281860351563	55.3611946105957
472	41.3987846374512	29.414701461792
474	45.5384254455566	34.3069343566895
475	45.3610916137695	32.7128562927246
476	55.3039703369141	50.2822113037109
480	65.2105102539063	62.7876129150391
481	64.3722381591797	52.2693824768066
482	74.5737838745117	63.3731918334961
483	64.0236282348633	63.6478118896484
484	62.7811508178711	59.1794815063477
485	60.7815818786621	58.2017555236816
490	53.1838455200195	50.4262771606445
492	65.7125854492188	67.5573577880859
493	70.1240539550781	76.8181228637695
494	47.3051910400391	37.2117691040039
495	41.5046844482422	48.0991134643555
496	61.7222862243652	66.7177200317383
500	54.8918190002441	55.7701110839844
501	47.0329818725586	38.8913421630859
502	50.385326385498	39.4882507324219
503	51.1055679321289	43.4412612915039
510	52.0431289672852	43.5620498657227
511	56.3174743652344	45.8170356750488
512	55.1407890319824	50.607234954834
513	34.7158546447754	26.6122570037842
514	51.5610427856445	47.4286651611328
515	58.0066757202148	49.565559387207
516	50.619457244873	43.415412902832
520	62.2597999572754	58.9869232177734
522	55.3534164428711	47.7544784545898
523	63.3839302062988	48.1022109985352
524	55.4017105102539	46.7563209533691
525	60.3813819885254	48.4040336608887
526	51.0489120483398	47.0482940673828
530	41.721435546875	36.681224822998
531	54.4368629455566	43.6216201782227
532	64.0530166625977	58.8200988769531
533	64.1770172119141	52.0217475891113
534	64.2268829345703	48.7302589416504
535	41.626766204834	42.4093284606934
536	54.5549621582031	48.5418128967285
540	57.0418510437012	47.2954177856445
541	55.4747314453125	53.0021667480469
542	58.9897842407227	50.0416946411133
550	49.9061737060547	43.4033088684082
551	48.2242584228516	42.1548194885254
552	45.9396057128906	40.2117729187012
553	43.2079772949219	36.3939781188965
554	50.3517799377441	40.9564018249512
555	50.3448944091797	38.0546112060547
556	47.2565422058105	39.4587707519531
560	54.3590812683105	50.7444190979004
561	35.8510589599609	32.666633605957
562	37.3171043395996	35.0586700439453
563	38.6632957458496	31.7698020935059
570	59.6008338928223	53.3380126953125
580	54.7378044128418	46.1789855957031
581	52.5186347961426	44.3863983154297
582	50.295841217041	49.6329536437988
583	67.2131805419922	63.7738761901855
584	61.8753890991211	47.7767639160156
585	43.8227081298828	37.0272827148438
586	50.9696998596191	48.336799621582
590	45.8955612182617	38.2524490356445
591	63.5893440246582	59.9048271179199
592	57.4687614440918	54.4043235778809
593	58.5216217041016	54.3676452636719
600	41.343204498291	38.9442138671875
601	51.3020820617676	37.0821495056152
604	28.3435478210449	18.5078659057617
605	27.254186630249	26.2038326263428
610	39.1334037780762	35.769474029541
612	35.0056953430176	39.9738426208496
613	28.2476005554199	32.8475456237793
620	47.0508460998535	53.4553604125977
621	39.2122840881348	32.893238067627
622	33.7572174072266	32.1927642822266
623	39.6082763671875	35.3117485046387
624	37.0634803771973	39.481819152832
625	30.5975952148438	29.4986705780029
626	31.3064384460449	32.893238067627
630	26.5989646911621	37.532527923584
632	36.9618225097656	27.6391582489014
633	29.8094692230225	32.0627517700195
635	45.815860748291	37.532527923584
636	42.7449073791504	38.8882217407227
640	32.8864822387695	28.9692916870117
642	34.5300598144531	40.9457130432129
643	48.0962104797363	51.6735610961914
644	41.2249984741211	37.0911140441895
646	30.206787109375	40.9457130432129
651	26.5455513000488	31.4513149261475
652	40.0963706970215	29.665433883667
653	38.244010925293	35.9300079345703
660	27.5758934020996	31.1251945495605
666	55.5268173217773	48.1376914978027
670	52.5511283874512	30.8604145050049
671	29.1780261993408	30.8604145050049
672	34.8383140563965	43.414249420166
673	36.6061897277832	30.8604145050049
674	33.897144317627	30.8604145050049
675	35.3814086914063	30.8604145050049
676	34.8547477722168	29.2367076873779
680	29.511116027832	32.3822288513184
682	37.5689163208008	32.3822288513184
683	40.6631698608398	29.9706363677979
684	35.6084785461426	32.3822288513184
694	31.2099304199219	25.8874645233154
700	47.7158622741699	52.496208190918
701	52.9679336547852	50.649845123291
702	49.7917060852051	47.4546394348145
703	47.5580291748047	39.4980430603027
704	42.6809120178223	31.5156288146973
710	45.2772903442383	32.0445327758789
711	42.1653366088867	39.7107238769531
712	43.5351066589355	44.8815155029297
713	48.8111534118652	39.7107238769531
714	48.4258079528809	39.7107238769531
715	36.2981567382813	31.1634674072266
716	37.231143951416	39.7107238769531
720	36.94921875	33.9408378601074
721	37.5769195556641	36.0962371826172
722	38.8266716003418	39.576545715332
