   41   -6    1 39.5 32.7    1  3.2
   41   -5    2 39.5 32.7    2  3.2
   41    3    3 39.5 32.7   12  3.2
   41   -4    4 39.5 32.7    1  2.2
   41   -3    5 39.5 32.7    2  2.2
   41   -2    6 43.8 32.7    8  3.2
   41   -1    7 37.6 32.7    9  3.2
   42    2   -3 35.0 28.5          
   42    4   -2 35.0 28.5          
   42    6   -1 33.7 28.5          
   42    0    0 33.7 28.5          
   42   -6    1 35.0 28.5    1  3.2
   42   -5    2 35.0 28.5    2  3.2
   42    3    3 35.0 28.5   12  3.2
   42   -4    4 35.0 28.5    1  2.2
   42   -3    5 35.0 28.5    2  2.2
   42   -2    6 44.2 28.5    8  3.2
   42   -1    7 32.8 28.5    9  3.2
   43    2   -3 38.4 32.7          
   43    4   -2 38.4 32.7          
   43    6   -1 38.6 32.7          
   43    0    0 38.6 32.7          
   43   -6    1 38.4 32.7    1  3.2
   43   -5    2 38.4 32.7    2  3.2
   43    3    3 38.4 32.7   12  3.2
   43   -4    4 38.4 32.7    1  2.2
   43   -3    5 38.4 32.7    2  2.2
   43   -2    6 44.0 32.7    8  3.2
   43   -1    7 38.4 32.7    9  3.2
   44    2   -3 25.9 32.7          
   44    4   -2 25.9 32.7          
   44    6   -1 27.5 32.7          
   44    0    0 27.5 32.7          
   44   -6    1 25.9 32.7    1  4.2
   44   -5    2 25.9 32.7    2  4.2
   44    3    3 25.9 32.7   12  4.2
   44   -4    4 25.9 32.7    1  3.2
   44   -3    5 25.9 32.7    2  3.2
   44   -2    6 44.0 32.7    8  3.2
   44   -1    7 25.9 32.7   10  4.2
   45    2   -3 32.9 35.9          
   45    4   -2 32.9 35.9          
   45    6   -1 33.2 35.9          
   45    0    0 33.2 35.9          
   45   -6    1 32.9 35.9    1  4.2
   45   -5    2 32.9 35.9    2  4.2
   45    3    3 32.9 35.9   12  4.2
   45   -4    4 32.9 35.9    1  3.2
   45   -3    5 32.9 35.9    2  3.2
   45   -2    6 44.0 35.9    8  3.2
   45   -1    7 32.9 35.9   10  4.2
   50    2   -3 59.9 39.8          
   50    4   -2 67.5 39.8          
   50    6   -1 60.9 39.8          
   50    0    0 60.8 39.8          
   50   -6    1 67.5 39.8    1  3.2
   50   -5    2 67.5 39.8    2  3.2
   50    3    3 56.6 39.8   12  3.2
   50   -4    4 60.8 39.8    1  2.2
   50   -3    5 60.8 39.8    2  2.2
   50   -2    6 50.7 39.8    8  3.2
   50   -1    7 61.2 39.8    9  3.2
   51    2   -3 67.5 25.6          
   51    4   -2 67.5 25.6          
   51    6   -1 56.1 25.6          
   51    0    0 56.1 25.6          
   51   -6    1 67.5 25.6    1  3.2
   51   -5    2 67.5 25.6    2  3.2
   51    3    3 63.0 25.6   12  3.2
   51   -4    4 56.2 25.6    1  2.2
   51   -3    5 56.2 25.6    2  2.2
   51   -2    6 48.1 25.6    8  3.2
   51   -1    7 57.0 25.6    9  3.2
   52    2   -3 66.0 39.8          
   52    4   -2 67.5 39.8          
   52    6   -1 42.6 39.8          
   52    0    0 42.6 39.8          
   52   -6    1 67.5 39.8    1  3.2
   52   -5    2 67.5 39.8    2  3.2
   52    3    3 63.0 39.8   12  3.2
   52   -4    4 41.9 39.8    1  2.2
   52   -3    5 41.9 39.8    2  2.2
   52   -2    6 50.7 39.8    8  3.2
   52   -1    7 41.9 39.8    9  3.2
   53    2   -3 66.0 42.4          
   53    4   -2 67.5 42.4          
   53    6   -1 52.2 42.4          
   53    0    0 52.8 42.4          
   53   -6    1 67.5 42.4    1  3.2
   53   -5    2 67.5 42.4    2  3.2
   53    3    3 64.6 42.4   12  3.2
   53   -4    4 53.3 42.4    1  2.2
   53   -3    5 53.3 42.4    2  2.2
   53   -2    6 52.8 42.4    8  3.2
   53   -1    7 52.1 42.4    9  3.2
   54    2   -3 64.8 40.0          
   54    4   -2 67.5 40.0          
   54    6   -1 54.8 40.0          
   54    0    0 54.9 40.0          
   54   -6    1 67.5 40.0    1  3.2
   54   -5    2 67.5 40.0    2  3.2
   54    3    3 63.0 40.0   12  3.2
   54   -4    4 53.9 40.0    1  2.2
   54   -3    5 53.9 40.0    2  2.2
   54   -2    6 48.1 40.0    8  3.2
   54   -1    7 55.6 40.0    9  3.2
   55    2   -3 63.0 39.6          
   55    4   -2 67.5 39.6          
   55    6   -1 39.7 39.6          
   55    0    0 39.8 39.6          
   55   -6    1 67.5 39.6    1  4.2
   55   -5    2 67.5 39.6    2  4.2
   55    3    3 63.0 39.6   12  4.2
   55   -4    4 37.7 39.6    1  3.2
   55   -3    5 37.7 39.6    2  3.2
   55   -2    6 50.7 39.6    8  3.2
   55   -1    7 37.7 39.6   10  4.2
   56    2   -3 64.7 39.8          
   56    4   -2 67.5 39.8          
   56    6   -1 52.8 39.8          
   56    0    0 52.8 39.8          
   56   -6    1 67.5 39.8    1  3.2
   56   -5    2 67.5 39.8    2  3.2
   56    3    3 63.0 39.8   12  3.2
   56   -4    4 52.8 39.8    1  2.2
   56   -3    5 52.8 39.8    2  2.2
   56   -2    6 50.7 39.8    8  3.2
   56   -1    7 52.8 39.8    9  3.2
   60    2   -3 55.3 34.0          
   60    4   -2 64.4 34.0          
   60    6   -1 48.4 33.6          
   60    0    0 48.6 33.6          
   60   -6    1 64.4 34.0    1  3.2
   60   -5    2 64.4 34.0    2  3.2
   60    3    3 48.0 34.0   12  3.2
   60   -4    4 48.8 34.0    1  2.2
   60   -3    5 48.8 34.0    2  2.2
   60   -2    6 52.2 44.7    8  3.2
   60   -1    7 48.2 33.5    9  3.2
   61    2   -3 60.4 34.0          
   61    4   -2 64.4 34.0          
   61    6   -1 40.5 33.5          
   61    0    0 40.8 33.5          
   61   -6    1 64.4 34.0    1  3.2
   61   -5    2 64.4 34.0    2  3.2
   61    3    3 54.2 34.0   12  3.2
   61   -4    4 39.7 34.0    1  2.2
   61   -3    5 39.7 34.0    2  2.2
   61   -2    6 49.7 44.7    8  3.2
   61   -1    7 39.7 33.5    9  3.2
   62    2   -3 58.3 31.2          
   62    4   -2 64.4 31.2          
   62    6   -1 39.4 31.2          
   62    0    0 39.5 31.2          
   62   -6    1 64.4 31.2    1  3.2
   62   -5    2 64.4 31.2    2  3.2
   62    3    3 54.2 31.2   12  3.2
   62   -4    4 38.8 31.2    1  2.2
   62   -3    5 38.8 31.2    2  2.2
