ISCO	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
341	0	0	60.81	58.51	-999	-999
341	2	4	60.9	66.68	-999	-999
341	6	2	60.81	58.35	-999	-999
342	0	0	56.95	58.18	-999	-999
342	2	4	55.49	65.34	-999	-999
342	6	2	56.96	58.13	-999	-999
343	0	0	59.65	67.06	-999	-999
343	2	4	66.7	71.9	-999	-999
343	6	2	59.6	67	-999	-999
344	0	0	70.16	68.03	-999	-999
344	2	4	75.42	74.96	-999	-999
344	6	2	70.13	68	-999	-999
345	0	0	63.74	62.1	-999	-999
345	2	4	66.02	72.38	-999	-999
345	6	2	63.64	61.73	-999	-999
346	0	0	56.35	67.39	-999	-999
346	2	4	63.1	87.6	-999	-999
346	6	2	56	65.8	-999	-999
347	0	0	70.46	69.2	-999	-999
347	2	4	69.72	75.06	-999	-999
347	6	2	70.54	68.34	-999	-999
348	0	0	67.18	59.16	-999	-999
348	2	4	60.5	62.5	-999	-999
348	6	2	67.2	59.1	-999	-999
400	0	0	53.4	53.77	-999	-999
400	2	4	56.76	64.38	-999	-999
400	6	2	53.34	53.44	-999	-999
410	0	0	52.95	53.6	-999	-999
410	2	4	54.3	64.6	-999	-999
410	6	2	52.94	53.26	-999	-999
411	0	0	69.95	62.74	-999	-999
411	2	4	60.9	74.04	-999	-999
411	6	2	70.16	62.47	-999	-999
412	0	0	64.36	59.3	-999	-999
412	2	4	53.6	57.33	-999	-999
412	6	2	64.4	59.32	-999	-999
413	0	0	46.91	44.25	-999	-999
413	2	4	53.7	43.3	-999	-999
413	6	2	46.81	44.3	-999	-999
414	0	0	47.88	44.48	-999	-999
414	2	4	44.07	50.62	-999	-999
414	6	2	47.92	44.41	-999	-999
419	0	0	49.82	49.81	-999	-999
419	2	4	62.22	63.17	-999	-999
419	6	2	49.63	49.25	-999	-999
420	0	0	61.99	59.94	-999	-999
420	2	4	61.38	59.22	-999	-999
420	6	2	62.07	59.98	-999	-999
421	0	0	61.99	59.94	-999	-999
421	2	4	61.38	59.22	-999	-999
421	6	2	62.07	59.98	-999	-999
422	0	0	61.99	59.94	-999	-999
422	2	4	61.38	59.22	-999	-999
422	6	2	62.07	59.98	-999	-999
500	0	0	54	41.04	-999	-999
500	2	4	48.33	47.62	-999	-999
500	6	2	54.17	40.83	-999	-999
510	0	0	49.79	40.41	-999	-999
510	2	4	45.61	47.96	-999	-999
510	6	2	50.02	40.13	-999	-999
511	0	0	42.84	60.71	-999	-999
511	2	4	44.76	50.96	-999	-999
511	6	2	42.83	60.79	-999	-999
512	0	0	44.05	37.66	-999	-999
512	2	4	40.94	42.36	-999	-999
512	6	2	44.45	37.49	-999	-999
513	0	0	50.74	40.29	-999	-999
513	2	4	58.32	48.79	-999	-999
513	6	2	50.66	40.19	-999	-999
514	0	0	48.39	47.86	-999	-999
514	2	4	47.07	49.11	-999	-999
514	6	2	49.59	46.18	-999	-999
515	0	0	49.79	40.41	-999	-999
515	2	4	45.61	47.96	-999	-999
515	6	2	50.02	40.13	-999	-999
516	0	0	53.06	47.28	-999	-999
516	2	4	50.98	53.01	-999	-999
516	6	2	53.08	47.25	-999	-999
520	0	0	56.84	43.46	-999	-999
520	2	4	56.2	40.9	-999	-999
520	6	2	56.85	43.48	-999	-999
521	0	0	56.84	43.46	-999	-999
521	2	4	56.2	40.9	-999	-999
521	6	2	56.85	43.48	-999	-999
522	0	0	56.84	43.46	-999	-999
522	2	4	56.2	40.9	-999	-999
522	6	2	56.85	43.48	-999	-999
523	0	0	56.84	43.46	-999	-999
523	2	4	56.2	40.9	-999	-999
523	6	2	56.85	43.48	-999	-999
600	0	0	37.85	33.78	-999	-999
600	2	4	40.92	46.86	-999	-999
600	6	2	37.22	31.37	-999	-999
610	0	0	37.85	33.78	-999	-999
610	2	4	40.92	46.86	-999	-999
610	6	2	37.22	31.37	-999	-999
611	0	0	37.23	36.77	-999	-999
611	2	4	48.04	49.56	-999	-999
611	6	2	35.56	33.87	-999	-999
612	0	0	37.02	29.1	-999	-999
612	2	4	47.01	42.36	-999	-999
612	6	2	35.47	27.37	-999	-999
613	0	0	53.81	52.14	-999	-999
613	2	4	49.71	39.1	-999	-999
613	6	2	54.05	54.54	-999	-999
614	0	0	32.2	22.88	-999	-999
614	2	4	36.2	41.4	-999	-999
614	6	2	31.41	22.28	-999	-999
615	0	0	38.32	34.01	-999	-999
615	2	4	36.76	39.29	-999	-999
615	6	2	42.68	27.27	-999	-999
620	0	0	37.85	33.78	-999	-999
620	2	4	40.92	46.86	-999	-999
620	6	2	37.22	31.37	-999	-999
621	0	0	37.85	33.78	-999	-999
621	2	4	40.92	46.86	-999	-999
621	6	2	37.22	31.37	-999	-999
700	0	0	37.22	30.55	-999	-999
700	2	4	43.42	54.08	-999	-999
700	6	2	36.65	29.42	-999	-999
710	0	0	37.53	24.64	-999	-999
710	2	4	42.64	43	-999	-999
710	6	2	36.92	22.29	-999	-999
711	0	0	30.05	28.16	-999	-999
711	2	4	37.32	52.03	-999	-999
711	6	2	29.66	27.11	-999	-999
712	0	0	37.27	33.42	-999	-999
712	2	4	43.4	49.8	-999	-999
712	6	2	36.63	28.95	-999	-999
713	0	0	39.83	41.24	-999	-999
713	2	4	43.6	44.67	-999	-999
713	6	2	39.34	40.37	-999	-999
714	0	0	37.51	15.91	-999	-999
714	2	4	40.21	32.4	-999	-999
714	6	2	36.99	14.83	-999	-999
720	0	0	36.78	30.36	-999	-999
720	2	4	43.06	55.5	-999	-999
720	6	2	36.37	29.88	-999	-999
721	0	0	32.28	26.29	-999	-999
721	2	4	41.61	51.93	-999	-999
721	6	2	31.66	25.5	-999	-999
722	0	0	33.95	21.72	-999	-999
722	2	4	44.19	58.49	-999	-999
722	6	2	32.8	19.66	-999	-999
723	0	0	35.26	31.79	-999	-999
723	2	4	40.35	52.1	-999	-999
723	6	2	34.88	31.57	-999	-999
724	0	0	43.2	34.32	-999	-999
724	2	4	49.27	64.24	-999	-999
724	6	2	42.89	34.01	-999	-999
730	0	0	43.72	36.58	-999	-999
730	2	4	55.5	66.69	-999	-999
730	6	2	42.43	35.08	-999	-999
731	0	0	49.09	41.65	-999	-999
731	2	4	57.48	68.32	-999	-999
731	6	2	47.8	39.25	-999	-999
732	0	0	29.6	27.2	-999	-999
732	2	4	60.25	55.56	-999	-999
732	6	2	27.8	24.57	-999	-999
733	0	0	38.75	27.16	-999	-999
733	2	4	52.28	66.74	-999	-999
733	6	2	36.73	24.42	-999	-999
734	0	0	46.95	40.29	-999	-999
734	2	4	55.03	72.06	-999	-999
734	6	2	46.67	39.53	-999	-999
740	0	0	34.4	28.82	-999	-999
740	2	4	42.3	52.03	-999	-999
740	6	2	33.23	26.85	-999	-999
741	0	0	36.2	29.54	-999	-999
741	2	4	40.99	46.11	-999	-999
741	6	2	35.48	28.06	-999	-999
742	0	0	31.05	21	-999	-999
742	2	4	42.8	39.8	-999	-999
742	6	2	30.2	20.4	-999	-999
743	0	0	38.38	29.71	-999	-999
743	2	4	46.5	55.17	-999	-999
743	6	2	36.17	27.44	-999	-999
744	0	0	32.14	26.21	-999	-999
744	2	4	36.94	44.2	-999	-999
744	6	2	28.35	23.82	-999	-999
750	0	0	37.22	30.55	-999	-999
750	2	4	43.42	54.08	-999	-999
750	6	2	36.65	29.42	-999	-999
751	0	0	37.22	30.55	-999	-999
751	2	4	43.42	54.08	-999	-999
751	6	2	36.65	29.42	-999	-999
752	0	0	37.22	30.55	-999	-999
752	2	4	43.42	54.08	-999	-999
752	6	2	36.65	29.42	-999	-999
753	0	0	37.22	30.55	-999	-999
753	2	4	43.42	54.08	-999	-999
753	6	2	36.65	29.42	-999	-999
800	0	0	34.29	27.61	-999	-999
800	2	4	40.74	44.72	-999	-999
800	6	2	33.58	26.62	-999	-999
810	0	0	32.42	24.03	-999	-999
810	2	4	45.94	41.6	-999	-999
810	6	2	32.05	23.61	-999	-999
811	0	0	38.09	27.8	-999	-999
811	2	4	48.3	27.8	-999	-999
811	6	2	36.7	27.8	-999	-999
812	0	0	26.31	22.3	-999	-999
812	2	4	35.7	52.1	-999	-999
812	6	2	26.27	22.18	-999	-999
813	0	0	27.87	20.68	-999	-999
813	2	4	55.5	46.9	-999	-999
813	6	2	26.87	19.8	-999	-999
814	0	0	29.89	21.27	-999	-999
814	2	4	45.72	40.25	-999	-999
814	6	2	29.14	20.55	-999	-999
815	0	0	33.31	30.02	-999	-999
815	2	4	57.4	48.4	-999	-999
815	6	2	33	29.9	-999	-999
816	0	0	43.95	48.35	-999	-999
816	2	4	37.8	37.3	-999	-999
816	6	2	44	48.7	-999	-999
817	0	0	32.42	24.03	-999	-999
817	2	4	45.94	41.6	-999	-999
817	6	2	32.05	23.61	-999	-999
820	0	0	34.72	26.53	-999	-999
820	2	4	46.08	57.03	-999	-999
820	6	2	34.34	25.93	-999	-999
821	0	0	31.4	26.09	-999	-999
821	2	4	37.1	52.1	-999	-999
821	6	2	31.3	25.7	-999	-999
822	0	0	35.95	38.95	-999	-999
822	2	4	46.57	70.25	-999	-999
822	6	2	35.47	37.86	-999	-999
823	0	0	30.88	21.16	-999	-999
823	2	4	48.69	48.4	-999	-999
823	6	2	29.93	20.8	-999	-999
824	0	0	23.7	20.16	-999	-999
824	2	4	42.6	39.8	-999	-999
824	6	2	23.4	20	-999	-999
825	0	0	42.45	35.3	-999	-999
825	2	4	51.34	69.08	-999	-999
825	6	2	42.11	34.22	-999	-999
826	0	0	30.18	25.95	-999	-999
826	2	4	45.36	48.03	-999	-999
826	6	2	29.15	25.11	-999	-999
827	0	0	32.27	25.66	-999	-999
827	2	4	42.35	47.46	-999	-999
827	6	2	31.92	25.12	-999	-999
828	0	0	40.38	23.35	-999	-999
828	2	4	48.81	54.5	-999	-999
828	6	2	39.87	23.02	-999	-999
829	0	0	34.72	26.53	-999	-999
829	2	4	46.08	57.03	-999	-999
829	6	2	34.34	25.93	-999	-999
830	0	0	34.74	34.04	-999	-999
830	2	4	39.79	41.54	-999	-999
830	6	2	33.74	32.35	-999	-999
831	0	0	47.71	44.64	-999	-999
831	2	4	44.55	41.54	-999	-999
831	6	2	47.72	44.64	-999	-999
832	0	0	36.16	38.94	-999	-999
832	2	4	40.28	41.7	-999	-999
832	6	2	35.19	38.02	-999	-999
833	0	0	29.85	20.49	-999	-999
833	2	4	38.25	36.77	-999	-999
833	6	2	28.52	20.12	-999	-999
834	0	0	36.19	31	-999	-999
834	2	4	35.5	41.54	-999	-999
834	6	2	36.21	31	-999	-999
840	0	0	34.29	27.61	-999	-999
840	2	4	40.74	44.72	-999	-999
840	6	2	33.58	26.62	-999	-999
900	0	0	39.02	29.68	-999	-999
900	2	4	47.58	47.25	-999	-999
900	6	2	38.72	29.17	-999	-999
910	0	0	42.34	30.62	-999	-999
910	2	4	48.98	47.88	-999	-999
910	6	2	42	30.06	-999	-999
911	0	0	42.34	30.62	-999	-999
911	2	4	48.98	47.88	-999	-999
911	6	2	42	30.06	-999	-999
912	0	0	42.34	30.62	-999	-999
912	2	4	48.98	47.88	-999	-999
912	6	2	42	30.06	-999	-999
913	0	0	41.77	28.74	-999	-999
913	2	4	50.05	47.55	-999	-999
913	6	2	40.53	28.11	-999	-999
914	0	0	43.45	36.41	-999	-999
914	2	4	49.1	40	-999	-999
914	6	2	43.33	36.23	-999	-999
915	0	0	39.72	51.85	-999	-999
915	2	4	41.11	62.35	-999	-999
915	6	2	39.68	51.64	-999	-999
916	0	0	37.84	41.8	-999	-999
916	2	4	51.1	51.7	-999	-999
916	6	2	35.3	35.2	-999	-999
920	0	0	39.02	29.68	-999	-999
920	2	4	47.58	47.25	-999	-999
920	6	2	38.72	29.17	-999	-999
921	0	0	39.02	29.68	-999	-999
921	2	4	47.58	47.25	-999	-999
921	6	2	38.72	29.17	-999	-999
930	0	0	33.92	25.7	-999	-999
930	2	4	38.77	40.69	-999	-999
930	6	2	33.86	25.51	-999	-999
931	0	0	33.92	25.7	-999	-999
931	2	4	38.77	40.69	-999	-999
931	6	2	33.86	25.51	-999	-999
932	0	0	28.01	21.69	-999	-999
932	2	4	44.68	41.07	-999	-999
932	6	2	27.72	21.43	-999	-999
933	0	0	34.84	31.61	-999	-999
933	2	4	37.39	40.08	-999	-999
933	6	2	34.81	31.51	-999	-999
990	0	0	39.02	29.68	-999	-999
990	2	4	47.58	47.25	-999	-999
990	6	2	38.72	29.17	-999	-999
999	0	0	39.02	29.68	-999	-999
999	2	4	47.58	47.25	-999	-999
999	6	2	38.72	29.17	-999	-999
1000	0	0	56.65	51.86	55	51
1000	2	4	49.25	43.37	55	51
1000	6	2	63.01	57.14	55	51
1100	0	0	75.85	69.35	70	67
1100	2	4	78.75	79.68	70	67
1100	6	2	75.83	69.27	70	67
1110	0	0	75.85	69.35	77	64
1110	2	4	78.75	79.68	77	64
1110	6	2	75.83	69.27	77	64
1120	0	0	75.85	69.35	77	71
1120	2	4	78.75	79.68	77	71
1120	6	2	75.83	69.27	77	71
1130	0	0	75.85	69.35	66	63
1130	2	4	78.75	79.68	66	63
1130	6	2	75.83	69.27	66	63
1140	0	0	75.85	69.35	58	63
1140	2	4	78.75	79.68	58	63
1140	6	2	75.83	69.27	58	63
1141	0	0	75.85	69.35	58	63
1141	2	4	78.75	79.68	58	63
1141	6	2	75.83	69.27	58	63
1142	0	0	75.85	69.35	58	63
1142	2	4	78.75	79.68	58	63
1142	6	2	75.83	69.27	58	63
1143	0	0	75.85	69.35	58	63
1143	2	4	78.75	79.68	58	63
1143	6	2	75.83	69.27	58	63
1200	0	0	64.37	54.55	68	60
1200	2	4	58.88	56.61	68	60
1200	6	2	64.71	54.49	68	60
1210	0	0	67.2	78.18	70	70
1210	2	4	82.9	89.6	70	70
1210	6	2	67	78.1	70	70
1220	0	0	60	50.43	67	63
1220	2	4	54.79	54.34	67	63
1220	6	2	60.55	50.31	67	63
1221	0	0	60	50.43	67	60
1221	2	4	54.79	54.34	67	60
1221	6	2	60.55	50.31	67	60
