NYK83	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS
631	1	4	41.5	44.6
631	6	2	47.7	44.6
640	0	0	40.71	38.87
640	1	4	41.5	41.1
640	6	2	40.5	38.1
641	0	0	34.29	39.86
641	1	4	39.7	43.3
641	6	2	33.1	38.6
642	0	0	42.29	34.1
642	1	4	41.5	34.1
642	6	2	42.3	34.1
643	0	0	38.29	50.39
643	1	4	42.7	43.3
643	6	2	37	51.1
649	0	0	39.58	46.2
649	1	4	42.7	46.2
649	6	2	39.5	46.2
651	0	0	63.4	66.6
651	1	4	63.4	66.6
651	6	2	63.4	66.6
652	0	0	41.9	44.29
652	1	4	42.7	43.3
652	6	2	41.9	44.3
653	0	0	40.2	45.65
653	1	4	42.7	43.3
653	6	2	40.2	45.7
659	0	0	40.2	45.7
659	1	4	42.9	54.4
659	6	2	40.2	45.7
661	0	0	49.81	44.3
661	1	4	53.7	53.7
661	6	2	49.8	44.3
662	0	0	63.7	65.4
662	1	4	63.7	65.4
662	6	2	63.7	65.4
663	0	0	47.81	44.7
663	1	4	53.7	44.7
663	6	2	47.8	44.7
664	0	0	47.5	44.25
664	1	4	53.7	43.3
664	6	2	47.4	44.3
669	0	0	49.97	44.3
669	1	4	53.7	53.7
669	6	2	49.8	44.3
671	0	0	53.25	50.57
671	1	4	46.8	57.8
671	6	2	53.3	50.5
673	0	0	53.9	45.9
673	1	4	53.9	45.9
673	6	2	53.9	45.9
674	0	0	53.84	49.87
674	1	4	46.8	53.4
674	6	2	54	49.8
675	0	0	53.7	44.5
675	1	4	46.8	44.5
675	6	2	53.8	44.5
679	0	0	50.15	52.45
679	1	4	46.8	55.2
679	6	2	53.5	49.7
681	0	0	48.4	39.55
681	1	4	48.8	45.3
681	6	2	48.4	39.5
682	0	0	40.62	52.23
682	1	4	42.8	65.8
682	6	2	40.6	52
689	0	0	36.69	32.46
689	1	4	38.5	40.1
689	6	2	36.6	32.3
691	0	0	34.97	44.3
691	1	4	53.7	49.6
691	6	2	34.9	44.3
699	0	0	40.2	48.3
699	1	4	34.9	49.6
699	6	2	40.2	47
701	0	0	23.1	18.7
701	1	4	41.9	58.6
701	6	2	23.1	18.7
702	0	0	25.07	19.46
702	1	4	41.9	58.6
702	6	2	23.1	18.7
703	0	0	30.51	27.59
703	1	4	41.9	58.6
703	6	2	29.7	25.4
705	0	0	28.25	20.84
705	1	4	41.9	58.6
705	6	2	28.1	20.1
706	0	0	31.68	31.33
706	1	4	41.9	58.6
706	6	2	31.1	29.6
707	0	0	23.2	25.7
707	1	4	41.9	58.6
707	6	2	23.2	25.3
709	0	0	24.19	27.75
709	1	4	41.9	58.6
709	6	2	23.2	25.9
711	0	0	37.05	59.73
711	1	4	37.2	62.8
711	6	2	36.9	58.8
712	0	0	50.16	60.88
712	1	4	49.3	62.8
712	6	2	50.7	58.8
713	0	0	50.7	57.16
713	1	4	46.6	62.8
713	6	2	50.7	52.7
714	0	0	39.06	33.1
714	1	4	46.3	56.2
714	6	2	36.2	29.8
715	0	0	36.5	39.99
715	1	4	46.3	73
715	6	2	35.8	37.4
716	0	0	46.73	28.37
716	1	4	53.5	52.6
716	6	2	44.7	26.4
719	0	0	42.09	27.93
719	1	4	56.5	57.7
719	6	2	39.2	25.5
721	0	0	36.21	45.24
721	1	4	36.3	44.2
721	6	2	36.1	46.1
722	0	0	21.56	21.34
722	1	4	47.3	44.2
722	6	2	18.9	20.6
723	0	0	36.37	28.03
723	1	4	47.3	44.2
723	6	2	33.9	27.1
729	0	0	34.6	34.65
729	1	4	38.2	44.2
729	6	2	31	25.1
731	0	0	27.22	26.2
731	1	4	35.7	52.1
731	6	2	27.2	26.1
732	0	0	23.41	11.2
732	1	4	35.7	11.2
732	6	2	23.4	11.2
733	0	0	26.82	17
733	1	4	35.7	17
733	6	2	26.8	17
735	0	0	17.7	19.4
735	1	4	35.7	19.4
735	6	2	17.5	19.4
736	0	0	35.64	13.2
736	1	4	44.3	52.1
736	6	2	34.2	7.5
737	0	0	20.74	10.43
737	1	4	35.7	52.1
737	6	2	20.5	9.5
739	0	0	26.07	22.25
739	1	4	35.7	52.1
739	6	2	26	22.1
741	0	0	46.73	37.13
741	1	4	57.6	61.7
741	6	2	46.3	36.4
742	0	0	50.02	51.21
742	1	4	50.7	70.8
742	6	2	49.5	48.2
743	0	0	57.52	58.2
743	1	4	68.6	69.8
743	6	2	55.7	57.5
744	0	0	61.62	59.51
744	1	4	64.9	69.8
744	6	2	60.9	58.3
745	0	0	56.16	57.46
745	1	4	60.7	70.8
745	6	2	54	52.4
746	0	0	48.56	42.85
746	1	4	65	61.7
746	6	2	42.8	33.7
749	0	0	46.3	39.21
749	1	4	60.6	61.7
749	6	2	46.3	36.4
751	0	0	31.4	26.09
751	1	4	37.1	52.1
751	6	2	31.3	25.7
752	0	0	33.78	31.48
752	1	4	46.4	52.1
752	6	2	33.6	31.4
753	0	0	35.81	34.3
753	1	4	40	52.1
753	6	2	35.4	33.1
754	0	0	37.42	26.87
754	1	4	42.2	52.1
754	6	2	36.9	25.7
755	0	0	39.86	41.9
755	1	4	44.2	41.9
755	6	2	39.4	41.9
756	0	0	29.29	25.33
756	1	4	37.5	52.1
756	6	2	29	25.1
757	0	0	36.11	32.44
757	1	4	44.6	52.1
757	6	2	35.4	31.5
758	0	0	28.88	26.89
758	1	4	37.2	52.1
758	6	2	28.6	26.2
759	0	0	32.3	27.47
759	1	4	42.5	52.1
759	6	2	31.6	26.6
761	0	0	43.17	34.42
761	1	4	49.9	64.5
761	6	2	42.7	32.4
762	0	0	38.08	20.41
762	1	4	43	54.5
762	6	2	37.8	19.6
763	0	0	39.63	22.62
763	1	4	46.7	54.5
763	6	2	39.2	22.4
764	0	0	43.86	32.25
764	1	4	48.2	64.5
764	6	2	43.6	32
765	0	0	43.4	45.5
765	1	4	48.2	45.5
765	6	2	43.4	45.5
766	0	0	62.98	63.1
766	1	4	64.1	63.1
766	6	2	62.9	63.1
769	0	0	45.44	25.38
769	1	4	67.1	54.5
769	6	2	44.4	24.8
771	0	0	24.86	12.5
771	1	4	42.6	47.8
771	6	2	24.6	12.5
772	0	0	28.67	13.97
772	1	4	42.6	39.8
