PCS4	fr06pcs4_m	fr06pcs4_f
5264	47.719051361084	47.2810478210449
5310	49.8797874450684	44.9672164916992
5311	42.6461563110352	43.8012237548828
5312	44.3902206420898	39.1763229370117
5320	45.7950401306152	44.841480255127
5321	44.327953338623	43.6465835571289
5322	49.1336326599121	49.8876838684082
5330	48.9910469055176	45.6233406066895
5331	36.2817611694336	46.6311988830566
5332	41.9338798522949	46.6311988830566
5340	36.5766143798828	37.0051689147949
5341	39.8367004394531	45.3346366882324
5410	49.6836471557617	46.4754180908203
5413	48.4790267944336	43.160530090332
5420	54.6934356689453	47.033992767334
5421	54.856273651123	47.2663040161133
5430	51.5727615356445	45.8458290100098
5433	48.8531837463379	46.7131767272949
5440	49.8204307556152	39.9623031616211
5450	56.262321472168	53.4052925109863
5451	53.1802177429199	49.8167381286621
5452	52.696647644043	48.4737701416016
5453	53.3175277709961	52.8558616638184
5460	46.1401672363281	41.8197479248047
5461	45.0926246643066	43.2099189758301
5462	59.4896507263184	68.9682540893555
5463	56.0264167785645	48.2079391479492
5464	48.2534561157227	50.1243286132813
5510	39.8554992675781	34.7186737060547
5520	41.8429946899414	33.9330749511719
5530	46.2075881958008	42.2115135192871
5540	40.7352294921875	31.496000289917
5541	41.2883224487305	41.3308067321777
5542	42.7747001647949	37.5569076538086
5543	51.2664604187012	43.6800155639648
5544	47.8295593261719	45.7329292297363
5545	53.9739227294922	48.4281997680664
5546	41.3109321594238	42.4001655578613
5547	34.179931640625	31.9780521392822
5549	46.9969596862793	44.4785537719727
5550	52.2457313537598	41.7397689819336
5560	45.7314643859863	48.5291061401367
5610	40.4310722351074	33.6742057800293
5613	34.5972061157227	32.283275604248
5614	46.0981101989746	40.6827926635742
5615	38.7853851318359	30.6949920654297
5620	43.9347152709961	46.0052032470703
5621	43.9347152709961	37.4376525878906
5630	51.6752395629883	39.4173126220703
5631	34.8053245544434	28.1575660705566
5632	49.4523696899414	32.4459190368652
5640	29.5992259979248	31.1361675262451
5641	45.6813201904297	49.6483573913574
6210	32.8939590454102	37.1467132568359
