mx_occ	mxo_m	mxo_f
8342	51.9	58.27
8343	53.23	58.27
8344	43.48	50.73
8349	54.4	58.27
8351	50.45	58.27
8352	52.67	58.27
8999	52.6	50.68
9111	38.06	35.41
9112	39.65	32.92
9113	37.51	31.61
9121	36.38	33.1
9122	36.38	32.44
9123	36.38	26.62
9124	28.19	11.31
9211	43.95	42.14
9212	52.87	42.14
9221	34.22	34.76
9222	44.71	34.76
9231	46.51	53.23
9232	50.68	53.33
9233	46.82	49.91
9234	42.14	47.64
9235	43.96	42.23
9236	42.39	42.14
9237	39.4	39.15
9239	48.73	52.45
9311	45.59	52.65
9312	45.59	52.65
9321	36.35	52.65
9322	36.35	52.65
9331	41.34	52.65
9332	41.34	52.65
9411	44.98	46.95
9511	46.4	53.03
9512	45.84	49.33
9521	42.56	39.58
9601	56.67	52.61
9611	41.25	39.09
9621	55.01	47.61
9622	57.74	49.08
9623	45.01	44.28
9624	35.44	47.61
9631	47.72	50.63
9632	41.22	50.63
9633	48.91	50.63
9634	42.1	50.63
9641	53.86	51.79
9642	50.61	55.29
9643	53.86	31.26
9651	43.08	39.09
9661	42.47	39.11
9662	45.09	44.19
9663	42.47	39.11
9711	56.51	47.06
9712	42.53	47.06
9713	52.22	54.5
9721	58.39	67.65
9722	57.8	59.57
9723	43.42	46.14
9731	61.67	47.06
9733	43.42	47.06
9888	49.86	49.54
