ve_occ	veo_m	veo_f
799	42.57	37.32
801	31.64	40.17
802	36.94	40.17
803	36.94	40.17
811	30.1	40.17
812	30.1	40.17
819	30.1	40.17
820	47.66	40.17
831	40.02	40.17
832	40.02	40.17
833	40.02	40.17
834	40.02	40.17
835	40.02	40.17
839	40.76	40.17
841	47.66	40.17
842	50.85	40.17
843	43.48	40.17
844	47.66	40.17
849	47.66	40.17
851	52.31	44.17
852	46.74	44.17
853	46.74	44.17
854	44.16	44.17
855	46.74	44.17
856	46.74	44.17
857	51.91	44.17
859	46.74	44.17
861	53.45	40.17
862	53.45	40.17
871	34.52	40.17
872	38.58	40.17
873	40.54	40.17
874	38.58	40.17
880	47.66	40.17
891	32.88	41.6
892	32.88	41.6
893	32.88	41.6
894	32.88	41.6
895	32.88	41.6
899	32.88	41.6
901	36.93	32.54
902	36.93	32.54
910	43.12	37.48
921	50.1	43.53
922	50.1	43.53
924	50.1	43.53
925	50.1	43.53
926	50.1	43.53
927	50.1	43.53
929	50.1	43.53
931	26.24	37.48
939	35.75	37.48
941	51.46	45.86
942	51.46	45.86
943	26.17	45.86
949	51.46	45.86
951	22.1	38.43
952	21.36	38.43
953	22.1	38.43
954	28.08	38.43
955	22.1	38.43
956	22.1	38.43
957	22.1	38.43
959	36.01	38.43
961	41.27	37.48
969	41.27	37.48
971	33.17	37.48
972	33.17	37.48
973	38.52	37.48
974	37.33	37.48
979	33.17	37.48
981	37.83	52.12
982	43.12	52.12
983	43.12	52.12
985	43.12	52.12
989	43.12	52.12
991	52.95	51.57
992	52.95	51.57
