secocc	ves_m	ves_f
942	36.13	43.21
943	36.13	43.21
949	36.13	43.21
951	25.15	36.85
952	25.01	36.85
953	25.15	36.85
954	30.84	36.85
955	25.15	36.85
956	25.15	36.85
957	25.15	36.85
959	34.56	36.85
961	39.81	36.85
969	39.81	36.85
971	33.28	36.85
972	33.28	36.85
973	38.08	36.85
974	36.58	36.85
979	33.28	36.85
981	38.74	47.9
982	41.82	47.9
983	41.82	47.9
985	41.82	47.9
989	41.82	47.9
991	50.71	49.22
992	50.71	49.22
10011	73.21	81.7
10012	73.21	81.7
10013	73.21	81.7
10014	73.21	81.7
10019	73.21	81.7
10020	77.61	82.74
10021	82.11	82.74
10022	80.3	81.7
10023	80.01	82.74
10024	81.24	82.74
10025	80.3	82.74
10026	80.3	82.74
10027	80.3	82.74
10028	80.3	82.74
10029	79.45	82.74
10030	65.95	76.49
10031	67.55	76.49
10032	64.2	76.49
10033	67.55	76.49
10034	67.55	76.49
10035	67.55	76.49
10036	67.55	76.49
10037	67.55	76.49
10038	67.55	76.49
10039	68.5	76.49
10041	71.92	81.7
10042	71.92	81.7
10043	71.92	81.7
10051	67.34	78.52
10052	67.34	78.52
10053	67.34	78.52
10054	67.34	78.52
10061	75.87	78.59
10062	67	56.52
10063	75.87	78.59
10064	67	56.52
10065	75.87	78.59
10067	75.87	78.59
10068	67	77.39
10069	67	78.59
10070	75.87	78.59
10071	67	58.18
10072	67	56.52
10073	73.84	58.18
10075	75.87	78.59
10076	67	78.59
10077	75.87	78.59
10079	75.87	78.59
10081	73.86	76.78
10082	73.86	76.78
10083	73.86	76.78
10085	73.86	76.78
10089	73.86	76.78
10090	79.15	84.05
10091	76.92	84.05
10092	73.99	84.05
10093	79.15	84.05
10110	72.35	74.56
10121	75.22	79.27
10122	75.22	79.27
10129	68.83	71.95
10131	80.26	81.46
10132	68.24	71.58
10133	61.1	60.54
10134	67	65.11
10135	67	78.23
10139	67	66.29
10141	67	60.54
10151	70.61	60.54
10159	70.61	60.54
10161	68.06	60.54
10162	68.06	60.54
10163	68.06	60.54
10171	69.98	60.54
10172	69.98	60.54
10173	69.98	60.54
10174	69.98	60.54
10175	69.98	60.54
10179	69.98	60.54
10180	68.07	60.54
10190	71.12	65.15
10191	71.12	77.09
10192	71.12	82.54
10193	71.12	65.15
10194	71.12	65.15
10195	71.12	65.15
10196	71.12	65.15
10197	69.72	65.15
10198	71.12	65.15
10199	71.12	75.63
10201	76.27	75.6
10202	76.27	75.6
10203	76.27	75.6
10204	76.27	75.6
10205	76.27	75.6
10209	76.27	75.6
10211	70.16	74.99
10212	71.95	74.99
10213	71.95	74.99
10214	71.95	74.99
10215	71.95	74.99
10216	72.16	74.99
10217	80.31	74.99
10218	75.83	74.99
10219	71.95	74.99
10220	75.01	75.6
10230	73.7	75.6
10240	75.56	75.6
10250	75.01	75.6
10260	75.14	75.6
10290	72.78	75.5
10300	71.29	72.08
10310	69.64	77.69
10319	69.64	77.69
10321	65.14	66.91
10322	65.14	66.91
10331	64.62	63.37
10339	65.83	69.72
10341	66.47	66.91
10342	66.47	66.91
10352	65.07	66.91
10359	65.07	66.91
10360	66.99	66.91
10370	65.07	66.91
10380	65.07	66.91
10391	66.97	65.73
10392	65.07	65.73
10393	65.07	65.73
10394	65.07	65.73
10395	65.07	63.91
10399	66.71	72.51
10401	76.31	73.49
10402	70.8	73.49
10409	70.8	73.49
10410	63.48	66.43
10421	66.66	66.19
10422	66.66	66.19
10431	66.96	66.19
10432	66.96	66.19
10439	66.96	66.19
10441	69.89	66.19
10442	69.89	66.19
10443	69.89	66.19
10451	65.13	66.19
10452	64.04	61.05
10490	65.13	66.19
10510	56.49	48.02
10520	56.49	48.02
10531	46.87	48.02
10532	46.87	48.02
10540	56.49	48.02
10551	57.2	43.42
10552	57.2	43.42
10560	56.49	48.02
10570	56.49	48.02
10581	56.49	48.02
10582	56.49	48.02
10583	56.49	48.02
10589	56.49	48.02
10591	70.33	56.41
10592	70.33	56.41
10593	70.33	56.41
10594	70.33	56.41
10596	70.33	56.41
10599	70.33	56.41
10601	69.52	60.54
10602	69.52	60.54
10611	69.52	60.54
10612	69.52	60.54
10613	69.52	60.54
10614	69.52	60.54
10621	67	60.54
10622	67	60.54
10624	67	60.54
10625	67	60.54
10626	67	60.54
10627	67	60.54
10628	67	60.54
10629	67	60.54
10631	67	60.54
10632	67	60.54
10641	67	60.54
10700	64.01	70.15
10711	64.01	51.27
10712	64.01	51.27
10713	64.01	51.27
10721	64.01	51.27
10726	64.01	51.27
10728	64.01	51.27
10729	64.01	51.27
10732	64.01	51.27
10734	64.01	51.27
10741	62.88	51.27
10744	62.88	51.27
10745	62.88	51.27
10749	62.88	51.27
10754	64.01	51.27
10755	64.01	51.27
10756	64.01	51.27
10759	64.01	51.27
10771	64.01	51.27
10772	64.01	51.27
10773	64.01	51.27
10774	64.01	51.27
10775	64.01	51.27
10776	64.01	51.27
10778	64.01	51.27
10779	64.01	51.27
10783	64.01	51.27
10791	64.01	51.27
10792	64.01	51.27
10794	64.01	51.27
10795	64.01	51.27
10796	64.01	51.27
10799	64.01	51.27
10801	55.54	60.54
10802	55.54	60.54
10803	55.54	60.54
10811	55.54	60.54
10819	55.54	60.54
10820	54.94	60.54
10831	55.54	60.54
10832	55.54	60.54
10834	55.54	60.54
10835	55.54	60.54
10839	55.54	60.54
10841	58.34	60.54
10842	58.34	60.54
10843	52.66	60.54
10844	58.34	60.54
10849	58.34	60.54
10851	55.54	60.54
10852	55.54	60.54
10853	55.54	60.54
10854	55.54	60.54
10855	55.54	60.54
10856	55.54	60.54
10857	55.54	60.54
10859	55.54	60.54
10861	55.54	60.54
10862	55.54	60.54
10871	47.03	60.54
10872	47.03	60.54
10873	47.03	60.54
10874	47.03	60.54
10880	55.54	60.54
10891	55.54	60.54
10892	55.54	60.54
10899	55.54	60.54
10901	55.31	63.68
10902	55.31	63.68
10910	55.31	63.68
10921	55.31	63.68
10922	55.31	63.68
10924	55.31	63.68
10925	55.31	63.68
10926	55.31	63.68
10927	55.31	63.68
10929	55.31	63.68
10931	55.31	63.68
10939	55.31	63.68
10943	55.31	63.68
10949	55.31	63.68
10951	46.24	63.68
10952	57.34	63.68
10953	57.34	63.68
10954	57.34	63.68
10955	57.34	63.68
10957	57.34	63.68
10959	57.34	63.68
10961	55.31	63.68
10969	55.31	63.68
10971	55.31	63.68
10973	55.31	63.68
10974	55.31	63.68
10981	55.31	63.68
10985	55.31	63.68
