   43.00     2.00    40.73    27.02 
   43.00     4.00    36.71    39.29 
   44.00      .00    32.31    22.97 
   44.00     2.00    31.53    22.37 
   44.00     4.00    36.20    41.40 
   50.00      .00    30.43    27.69 
   50.00     2.00    30.14    27.29 
   50.00     4.00    36.27    40.45 
   60.00      .00    54.59    31.00 
   60.00     2.00    54.70    31.00 
   60.00     4.00    51.90    49.60 
   61.00      .00    36.19    31.00 
   61.00     2.00    36.21    31.00 
   61.00     4.00    35.50    31.00 
   62.00      .00    73.50    75.30 
   62.00     2.00    73.50    75.30 
   62.00     4.00    73.50    75.30 
   63.00      .00    47.68    44.60 
   63.00     2.00    47.70    44.60 
   63.00     4.00    41.50    44.60 
   64.00      .00    50.27    54.00 
   64.00     2.00    50.23    54.23 
   64.00     4.00    53.87    43.30 
   65.00      .00    35.01    44.30 
   65.00     2.00    34.94    44.30 
   65.00     4.00    53.70    49.60 
   66.00      .00    53.39    49.69 
   66.00     2.00    53.45    49.63 
   66.00     4.00    46.80    54.07 
   67.00      .00    35.01    44.30 
   67.00     2.00    34.94    44.30 
   67.00     4.00    53.70    49.60 
   70.00      .00    28.17    26.50 
   70.00     2.00    27.51    24.77 
   70.00     4.00    41.90    58.60 
   71.00      .00    40.74    29.90 
   71.00     2.00    38.58    27.63 
   71.00     4.00    46.85    54.86 
   72.00      .00    33.32    26.97 
   72.00     2.00    30.35    25.25 
   72.00     4.00    38.38    44.20 
   73.00      .00    26.75    19.05 
   73.00     2.00    26.17    18.56 
   73.00     4.00    42.78    50.67 
   74.00      .00    52.31    52.07 
   74.00     2.00    50.96    50.45 
   74.00     4.00    60.86    68.27 
   75.00      .00    34.33    28.99 
   75.00     2.00    33.87    28.53 
   75.00     4.00    41.26    51.61 
   76.00      .00    43.37    32.10 
   76.00     2.00    43.04    31.77 
   76.00     4.00    49.67    62.05 
   77.00      .00    31.73    21.59 
   77.00     2.00    30.39    20.29 
   77.00     4.00    46.89    47.88 
   78.00      .00    38.13    16.85 
   78.00     2.00    37.58    15.62 
   78.00     4.00    40.89    32.40 
   79.00      .00    37.58    41.74 
   79.00     2.00    36.95    38.30 
   79.00     4.00    43.35    52.20 
   80.00      .00    45.59    41.27 
   80.00     2.00    45.29    40.29 
   80.00     4.00    52.56    71.39 
   81.00      .00    27.48    22.71 
   81.00     2.00    26.56    21.84 
   81.00     4.00    55.50    46.11 
   82.00      .00    34.75    26.42 
   82.00     2.00    34.03    25.32 
   82.00     4.00    41.31    46.40 
   83.00      .00    31.75    23.43 
   83.00     2.00    31.06    23.14 
   83.00     4.00    49.79    48.40 
   84.00      .00    29.80    21.70 
   84.00     2.00    29.75    21.59 
   84.00     4.00    40.60    48.40 
   85.00      .00    31.48    22.35 
   85.00     2.00    30.23    20.42 
   85.00     4.00    49.44    57.86 
   86.00      .00    29.38    29.45 
   86.00     2.00    28.80    27.90 
   86.00     4.00    35.20    40.20 
   87.00      .00    30.27    21.20 
   87.00     2.00    29.13    20.83 
   87.00     4.00    38.27    36.81 
   88.00      .00    33.91    26.18 
   88.00     2.00    33.87    26.00 
   88.00     4.00    37.34    40.03 
   90.00      .00    52.44    47.36 
   90.00     2.00    52.46    47.32 
   90.00     4.00    51.15    52.69 
   91.00      .00    47.14    40.24 
   91.00     2.00    47.28    40.00 
   91.00     4.00    46.35    45.89 
   92.00      .00    45.10    37.04 
   92.00     2.00    44.20    36.73 
   92.00     4.00    49.60    38.22 
   93.00      .00    42.59    27.75 
   93.00     2.00    42.40    27.50 
   93.00     4.00    47.24    39.07 
   94.00      .00    48.84    48.32 
   94.00     2.00    47.93    47.88 
   94.00     4.00    52.87    54.80 
   97.00      .00    57.11    58.54 
   97.00     2.00    56.94    58.15 
   97.00     4.00    64.30    71.99 
   98.00      .00    58.90    61.20 
   98.00     2.00    58.88    61.20 
   98.00     4.00    65.70    61.20 
