   56.00     2.00   77.1   85.1     56     69
   56.00     5.00   64.4   95.1     56     69
   56.00     6.00   69.7   72.8     56     69
   57.00      .00   65.3   60.5     66     67
   57.00     1.00   65.3   60.5     66     67
   57.00     2.00   72.0   72.0     66     67
   57.00     5.00   69.2   76.7     66     67
   57.00     6.00   65.1   60.2     66     67
   58.00      .00   71.0   76.0     56     69
   58.00     1.00   71.0   76.0     56     69
   58.00     2.00   77.1   85.1     56     69
   58.00     5.00   64.4   95.1     56     69
   58.00     6.00   69.7   72.8     56     69
   59.00      .00   71.0   76.0     56     69
   59.00     1.00   71.0   76.0     56     69
   59.00     2.00   77.1   85.1     56     69
   59.00     5.00   64.4   95.1     56     69
   59.00     6.00   69.7   72.8     56     69
   63.00      .00   70.6   73.5     58     56
   63.00     1.00   70.6   73.5     58     56
   63.00     2.00   74.0   73.4     58     56
   63.00     5.00   69.3   78.0     58     56
   63.00     6.00   69.3   73.6     58     56
   64.00      .00   72.0   71.0     51     71
   64.00     1.00   72.0   71.0     51     71
   64.00     2.00   75.4   72.0     51     71
   64.00     5.00   77.3   72.0     51     71
   64.00     6.00   71.7   70.9     51     71
   65.00      .00   72.0   71.0     51     71
   65.00     1.00   72.0   71.0     51     71
   65.00     2.00   75.4   72.0     51     71
   65.00     5.00   77.3   72.0     51     71
   65.00     6.00   71.7   70.9     51     71
   66.00      .00   65.3   66.3     69     71
   66.00     1.00   65.3   66.3     69     71
   66.00     2.00   75.2   72.0     69     71
   66.00     5.00   65.0   72.0     69     71
   66.00     6.00   65.0   66.2     69     71
   67.00      .00   67.8   70.2     55     71
   67.00     1.00   67.8   70.2     55     71
   67.00     2.00   72.4   72.0     55     71
   67.00     5.00   67.7   70.2     55     71
   67.00     6.00   67.7   70.2     55     71
   68.00      .00   67.8   70.2     55     71
   68.00     1.00   67.8   70.2     55     71
   68.00     2.00   72.4   72.0     55     71
   68.00     5.00   67.7   70.2     55     71
   68.00     6.00   67.7   70.2     55     71
   69.00      .00   87.3   79.3     75     74
   69.00     1.00   87.4   79.3     75     74
   69.00     2.00   76.8   81.9     75     74
   69.00     5.00   87.9   78.0     75     74
